LCIA category,Flow,Flow property,Flow unit,Location,Factor
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,00012c0a-9bff-4787-a7eb-56c3d2f43692,Mass,g,,2.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,0015315d-a2b8-4b72-8e60-0d34a72e6de8,Mass,g,,155.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,007d4ecd-0831-4984-b5e2-814d129c932b,Mass,g,,51500.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,0084f973-7133-4d7a-9009-fa46c1f7460c,Mass,g,,3780.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,00946913-24e1-4db7-ab0f-940016ce2343,Mass,g,,17300.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,01056d4b-f9b0-4dfc-b8d9-8407c8376efb,Mass,g,,24.2
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,0125d40c-b7e8-4f98-a5ac-09115efeb568,Mass,g,,21000.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,014bd81b-88c7-4a81-b872-201dcbfb8bbf,Mass,g,,26.4
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,01a0ee45-df98-4286-a8ee-fe5660c3177a,Mass,g,,20.3
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,01b798f0-b8bb-41eb-9e5b-fb6bb096ebeb,Mass,g,,29.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,01d3db13-7970-4d67-acb9-a89d69523403,Mass,g,,28.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,024b1a73-0cff-4b49-9e1e-7d75110f1e31,Mass,g,,0.751
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,0264738d-175c-4a9f-bc9b-1970eba444de,Mass,g,,689.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,02d18acf-ec93-467e-a467-cfb4452fb55b,Mass,g,,0.846
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,0315d855-dff2-44af-bb37-1b855df53d69,Mass,g,,1.21
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,037120b3-baa8-402f-980f-825dcb8ba5d3,Mass,g,,0.617
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,0371cc30-26c5-34b6-99a8-45bb8395b248,Mass,g,,0.0362
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,03758df7-503a-400e-bc7b-ec05825761a5,Mass,g,,18.9
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,0380b284-8e7f-4881-b7cc-528743631d3f,Mass,g,,3130.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,03b279a7-4626-4703-a451-d0650599dbd9,Mass,g,,6360.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,03dd3813-732b-39e4-87b9-c8565fb50e43,Mass,g,,2.29E12
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,04512c78-0228-4291-8c4d-7e64b6ad670c,Mass,g,,1410.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,045f7de9-60d5-4916-a504-5a1002a6e97e,Mass,g,,0.55
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,04614676-78d6-4dae-ade0-d1d15639e7c0,Mass,g,,49.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,04e44140-9bcd-30c2-9d1e-0fbfc7d9d1e8,Mass,g,,4080.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,04fe7cbf-f98b-406b-8cfb-5626c5a458e3,Mass,g,,2.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,050bf288-a71b-4c54-bf5d-0ccc99e15f8e,Mass,g,,11.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,0545c382-2312-43b6-9ec3-63dbb1438565,Mass,g,,8260.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,0555dc8e-d8b3-4da1-afaa-a2144758d590,Mass,g,,0.18
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,05e54306-21b3-4629-afcc-f6e58ee13a7f,Mass,g,,34.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,05f078ed-c834-45e3-aea0-05609ca93b4c,Mass,g,,2.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,06278bba-5079-4c7d-a7a2-b722efb6b98a,Mass,g,,0.00814
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,066fe0d8-92d7-417c-8d3a-9ae8755258c8,Mass,g,,0.0627
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,06e9118b-4445-4f3c-a67b-8c4e7379a6e3,Mass,g,,11200.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,06f0a67c-ec68-435d-8c32-0decd79a4a1a,Mass,g,,3.91
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,074a80c1-dc5f-4808-b46e-0e22be2246bc,Mass,g,,125.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,0822b867-9dca-4d5a-93c3-319d39b592cd,Mass,g,,283.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,082903e4-45d8-4078-94cb-736b15279277,Mass,g,,2.29E12
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,08351d0e-94b3-3bc8-a9a6-9afcd5e10999,Mass,g,,21000.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,0848c390-abd4-45e0-bbb3-5645c0052a05,Mass,g,,0.415
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,086f6b04-002c-49a0-9be8-2bad29a9c17a,Mass,g,,2180.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,0872e18e-bb91-355d-aed2-4b2a81deca40,Mass,g,,0.139
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,088d3606-22f8-434f-b021-f22c323ee72b,Mass,g,,34.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,089dde8e-85ac-4e2b-ba74-b57bfa9f5167,Mass,g,,0.797
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,08a6fadc-4bae-43cc-885c-a27be8d3c7cf,Mass,g,,1660.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,08a91e70-3ddc-11dd-91e3-0050c2490048,Mass,g,,51500.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,08a91e70-3ddc-11dd-94eb-0050c2490048,Mass,g,,35.6
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,08a91e70-3ddc-11dd-954c-0050c2490048,Mass,g,,0.059
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,08a91e70-3ddc-11dd-96d0-0050c2490048,Mass,g,,66.8
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,08a91e70-3ddc-11dd-9993-0050c2490048,Mass,g,,0.0627
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,08a91e70-3ddc-11dd-9f77-0050c2490048,Mass,g,,689.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,08a91e70-3ddc-11dd-9f7b-0050c2490048,Mass,g,,6360.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,08ba6a82-89d5-4cc6-bc09-b2aa18f9eda2,Mass,g,,51500.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,093b5695-c6be-4f8f-b2db-fadfc90d98c3,Mass,g,,66.8
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,09655fbc-1bba-4006-b942-cea246f08ae1,Mass,g,,9.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,0985a2b2-b411-4c95-a955-1aa5bb64bd08,Mass,g,,0.55
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,09b890d8-05cd-4e72-b22d-26dfddad3ef3,Mass,g,,11.0
0b65bca5-b93c-3231-8cb7-251dd07dc7e4,09e231fa-b1c2-4d63-9c57-7ea0e2210858,Mass,g,,12300.0
