LCIA category,Flow,Flow property,Flow unit,Location,Factor
0d4ca54a-eeea-3564-93a5-03906d763cdb,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,0.36
0d4ca54a-eeea-3564-93a5-03906d763cdb,0b7e10a8-6ca0-4a50-a39b-f2a019cb3610,Mass,kg,,0.36
0d4ca54a-eeea-3564-93a5-03906d763cdb,0c143a06-6761-3c47-8006-ffcad7b58a10,Mass,kg,,1.0
0d4ca54a-eeea-3564-93a5-03906d763cdb,0e9e6b81-0a68-4350-8368-566c083bd3e0,Mass,kg,,0.27
0d4ca54a-eeea-3564-93a5-03906d763cdb,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Mass,kg,,1.96
0d4ca54a-eeea-3564-93a5-03906d763cdb,1275ddeb-f87b-3f52-94a4-1eb8e2ac6c06,Mass,kg,,1.33
0d4ca54a-eeea-3564-93a5-03906d763cdb,13825fb9-6e24-409a-bfcd-5dc4fd61ef98,Mass,kg,,0.8
0d4ca54a-eeea-3564-93a5-03906d763cdb,15ca802b-f541-44aa-bd33-35560a053193,Mass,kg,,0.27
0d4ca54a-eeea-3564-93a5-03906d763cdb,16521d00-4b6f-464f-b5dd-8da4a27b15ca,Mass,kg,,1.0
0d4ca54a-eeea-3564-93a5-03906d763cdb,17f7e776-7934-54af-8c3c-ed0247cb697b,Mass,kg,,0.552
0d4ca54a-eeea-3564-93a5-03906d763cdb,205617ae-ebc5-4245-8df6-8710d5d40615,Mass,kg,,0.27
0d4ca54a-eeea-3564-93a5-03906d763cdb,2b50f643-216a-412b-a0e5-5946867aa2ed,Mass,kg,,1.96
0d4ca54a-eeea-3564-93a5-03906d763cdb,3268d8df-59cc-4740-a89f-dee8355ad7c3,Mass,kg,,0.8
0d4ca54a-eeea-3564-93a5-03906d763cdb,3caec0e2-2d07-4463-abae-bef6a0d4bbdb,Mass,kg,,0.65
0d4ca54a-eeea-3564-93a5-03906d763cdb,4490af97-53d7-4849-aa85-34b5a50e516b,Mass,kg,,0.36
0d4ca54a-eeea-3564-93a5-03906d763cdb,4841a0fe-c250-4a39-94a1-1bc31426c0f1,Mass,kg,,0.36
0d4ca54a-eeea-3564-93a5-03906d763cdb,51f0e6bf-5824-4247-a0f0-7766035da159,Mass,kg,,0.65
0d4ca54a-eeea-3564-93a5-03906d763cdb,5c9d8310-f7e1-4e98-8e73-7eece0435676,Mass,kg,,0.65
0d4ca54a-eeea-3564-93a5-03906d763cdb,5e7cf95c-9cc3-4479-89af-55377b3db99c,Mass,kg,,0.27
0d4ca54a-eeea-3564-93a5-03906d763cdb,64b8332b-b659-3e22-b06f-3f522ea9662c,Mass,kg,,0.65
0d4ca54a-eeea-3564-93a5-03906d763cdb,65634b3e-5481-4e61-b4fa-b67cb7c4ffc3,Mass,kg,,1.0
0d4ca54a-eeea-3564-93a5-03906d763cdb,65e1e004-ceed-4b40-ab2b-5f34b07fdb99,Mass,kg,,1.0
0d4ca54a-eeea-3564-93a5-03906d763cdb,675d7403-504b-422c-aa11-7dc8e79e4486,Mass,kg,,1.0
0d4ca54a-eeea-3564-93a5-03906d763cdb,6ce44f77-d181-4396-8fa2-2276eeeb4c08,Mass,kg,,1.0
0d4ca54a-eeea-3564-93a5-03906d763cdb,751d9555-8e2e-30e8-9c64-dc1b09681bba,Mass,kg,,0.552
0d4ca54a-eeea-3564-93a5-03906d763cdb,77357947-ccc5-438e-9996-95e65e1e1bce,Mass,kg,,0.36
0d4ca54a-eeea-3564-93a5-03906d763cdb,78c3efe4-421c-4d30-82e4-b97ac5124993,Mass,kg,,1.0
0d4ca54a-eeea-3564-93a5-03906d763cdb,7ecc2b66-8dde-4266-8832-f492f564377b,Mass,kg,,0.65
0d4ca54a-eeea-3564-93a5-03906d763cdb,8494ed3c-0416-4aa5-b100-51a2b2bcadbd,Mass,kg,,1.96
0d4ca54a-eeea-3564-93a5-03906d763cdb,87883a4e-1e3e-4c9d-90c0-f1bea36f8014,Mass,kg,,1.96
0d4ca54a-eeea-3564-93a5-03906d763cdb,8c356c12-29dd-3a6d-9f9d-d3ebd106db5b,Mass,kg,,1.33
0d4ca54a-eeea-3564-93a5-03906d763cdb,8c52f40c-69b7-4538-8923-b371523c71f5,Mass,kg,,1.0
