LCIA category,Flow,Flow property,Flow unit,Location,Factor
0e45786f-67fa-3b8a-b8a3-73a7c316434c,007f79d8-5492-3378-a2cf-4de2cdd8a165,Mass,kg,,0.086
0e45786f-67fa-3b8a-b8a3-73a7c316434c,01918e03-46b5-4d15-9e48-01e3332859cc,Mass,kg,,5.9
0e45786f-67fa-3b8a-b8a3-73a7c316434c,024c9722-1e88-412b-8c4b-10c532be8dca,Mass,kg,,0.085
0e45786f-67fa-3b8a-b8a3-73a7c316434c,03599e77-3732-41ae-8d66-5e15c8bb34ba,Mass,kg,,0.227
0e45786f-67fa-3b8a-b8a3-73a7c316434c,0704ef18-e419-3d75-890a-6097e4aa894b,Mass,kg,,0.264
0e45786f-67fa-3b8a-b8a3-73a7c316434c,079339c7-49a2-3a17-9aa7-9b14b5c47560,Mass,kg,,6.13
0e45786f-67fa-3b8a-b8a3-73a7c316434c,08386c0e-decf-4125-8bde-dfd8c07bb798,Energy,MJ,,0.144
0e45786f-67fa-3b8a-b8a3-73a7c316434c,08d8474a-1b6a-42e4-b509-e9684d170ea1,Volume,m3,,5.49
0e45786f-67fa-3b8a-b8a3-73a7c316434c,0a0aa3d6-72c7-36d3-8a81-ed1056109de4,Mass,kg,,0.227
0e45786f-67fa-3b8a-b8a3-73a7c316434c,0e3139fc-4b5d-37e1-b328-2f4ae75b6482,Mass,kg,,0.155
0e45786f-67fa-3b8a-b8a3-73a7c316434c,0e652c80-3587-4af3-8c40-d6e6607f7ea8,Mass,kg,,6.04
0e45786f-67fa-3b8a-b8a3-73a7c316434c,116985c9-8bd9-3925-afbe-1127b16a7e1c,Volume,m3,,5530.0
0e45786f-67fa-3b8a-b8a3-73a7c316434c,17604ce7-783f-4f9e-be49-09ad847fa75d,Mass,kg,,7.02
0e45786f-67fa-3b8a-b8a3-73a7c316434c,17cbbbbd-bd78-325d-bd76-2b6fcf81faaf,Mass,kg,,0.264
0e45786f-67fa-3b8a-b8a3-73a7c316434c,17fe5abb-4e12-3050-b173-f1fa379c757e,Mass,kg,,6.04
0e45786f-67fa-3b8a-b8a3-73a7c316434c,1be19e70-468e-43dc-bfd0-f650dfb1db40,Mass,kg,,0.165
0e45786f-67fa-3b8a-b8a3-73a7c316434c,213fa9a5-5d8d-4990-9b38-f2c064161346,Mass,kg,,0.213
0e45786f-67fa-3b8a-b8a3-73a7c316434c,2b648e3c-dfe7-314d-8248-58d4e40656c1,Mass,kg,,5.9
0e45786f-67fa-3b8a-b8a3-73a7c316434c,3054566f-830a-3ffd-ad5b-cb8f12d18642,Mass,kg,,0.086
0e45786f-67fa-3b8a-b8a3-73a7c316434c,31334b63-ce85-3198-94a0-01b5cdb83bf2,Energy,MJ,,0.00859
0e45786f-67fa-3b8a-b8a3-73a7c316434c,334b9535-0044-302f-965a-26e6167e7b60,Energy,MJ,,0.15
0e45786f-67fa-3b8a-b8a3-73a7c316434c,35009b58-7a33-41aa-a15e-95b37717842b,Volume,m3,,5.49
0e45786f-67fa-3b8a-b8a3-73a7c316434c,3a5a2032-f878-33dd-89d1-89272cb2d2dd,Mass,kg,,6.13
0e45786f-67fa-3b8a-b8a3-73a7c316434c,3e24fcde-b31f-3bb3-a3f4-8d2647e3690b,Energy,MJ,,0.144
0e45786f-67fa-3b8a-b8a3-73a7c316434c,3ed5f377-344f-423a-b5ec-9a9a1162b944,Volume,m3,,5.97
0e45786f-67fa-3b8a-b8a3-73a7c316434c,499c30fe-0313-39d2-81a5-4677ec647e7e,Mass,kg,,5.9
0e45786f-67fa-3b8a-b8a3-73a7c316434c,4eda4c18-fe9f-3ee8-9e9e-1132b8fe02f5,Mass,kg,,5.9
0e45786f-67fa-3b8a-b8a3-73a7c316434c,4fe0ec4c-3f18-360c-9f19-ee1cdef7aaa7,Mass,kg,,0.155
0e45786f-67fa-3b8a-b8a3-73a7c316434c,506689e7-7821-48e8-a12c-0ee9a3b9e6ee,Mass,kg,,0.252
0e45786f-67fa-3b8a-b8a3-73a7c316434c,52977b58-f9d3-411b-8620-0dc8d2d33cba,Mass,kg,,0.155
0e45786f-67fa-3b8a-b8a3-73a7c316434c,55031fb3-9c72-4bcc-b320-e190790bbc74,Mass,kg,,6.6
0e45786f-67fa-3b8a-b8a3-73a7c316434c,55c0da10-4977-3302-a190-63962ad16cbf,Mass,kg,,0.165
0e45786f-67fa-3b8a-b8a3-73a7c316434c,55e2d07c-aaf6-45e4-a512-9c6ab19e09f9,Mass,kg,,5.9
0e45786f-67fa-3b8a-b8a3-73a7c316434c,57705642-2dff-46b4-a776-6ae778997801,Volume,m3,,5.75
0e45786f-67fa-3b8a-b8a3-73a7c316434c,593de2c4-0be4-3445-b86a-40e25630b80d,Energy,MJ,,0.144
0e45786f-67fa-3b8a-b8a3-73a7c316434c,5bea06b9-bffe-484a-815c-ff5d934b911b,Mass,kg,,4.55
0e45786f-67fa-3b8a-b8a3-73a7c316434c,5cf8e94c-94ee-4a99-be6e-592cad4abba1,Mass,kg,,6.15
0e45786f-67fa-3b8a-b8a3-73a7c316434c,5d1c7444-561f-41a5-90bc-db10b6d47e19,Mass,kg,,6.13
0e45786f-67fa-3b8a-b8a3-73a7c316434c,5df3c6a9-a888-4b5d-9a94-f3f610d38756,Volume,m3,,5.25
0e45786f-67fa-3b8a-b8a3-73a7c316434c,5e94ceb8-e8ac-3a24-b02e-f24ad54a7393,Volume,m3,,5.97
0e45786f-67fa-3b8a-b8a3-73a7c316434c,65b57348-143d-3f95-9229-9c6999296d04,Energy,MJ,,0.144
0e45786f-67fa-3b8a-b8a3-73a7c316434c,6ce75e2f-5859-33d5-b738-84800e921a5f,Energy,MJ,,0.15
0e45786f-67fa-3b8a-b8a3-73a7c316434c,6ea27a5b-fb6d-489d-b874-90cca86a30c6,Volume,m3,,5530.0
0e45786f-67fa-3b8a-b8a3-73a7c316434c,7045c96d-7cef-33cf-8f3d-cf7198b6faab,Energy,MJ,,0.00859
0e45786f-67fa-3b8a-b8a3-73a7c316434c,71e1cd1c-c0f1-35dd-b0d8-fbc23850d056,Mass,kg,,0.069
0e45786f-67fa-3b8a-b8a3-73a7c316434c,72b01564-92f0-4d8e-ba33-80c71b19b113,Volume,m3,,5.97
0e45786f-67fa-3b8a-b8a3-73a7c316434c,76f1e69d-4a81-3589-86a8-56bb42226342,Volume,m3,,5530.0
0e45786f-67fa-3b8a-b8a3-73a7c316434c,78f765aa-0178-3a2e-b72e-1a2c99779265,Volume,m3,,5.97
0e45786f-67fa-3b8a-b8a3-73a7c316434c,7ae371af-8532-11e0-9d78-0800200c9a66,Mass,kg,,0.227
0e45786f-67fa-3b8a-b8a3-73a7c316434c,7ae371b0-8532-11e0-9d78-0800200c9a66,Mass,kg,,0.264
0e45786f-67fa-3b8a-b8a3-73a7c316434c,7ae398b4-8532-11e0-9d78-0800200c9a66,Mass,kg,,7.02
0e45786f-67fa-3b8a-b8a3-73a7c316434c,7ae398bf-8532-11e0-9d78-0800200c9a66,Mass,kg,,6.04
0e45786f-67fa-3b8a-b8a3-73a7c316434c,7c337428-fb1b-45c7-bbb2-2ee4d29e17ba,Volume,m3,,5.75
0e45786f-67fa-3b8a-b8a3-73a7c316434c,7cbdcfba-7fe3-3178-bdf6-52d6d27a2dcd,Volume,m3,,5.25
0e45786f-67fa-3b8a-b8a3-73a7c316434c,7e196533-8ba1-354e-8a60-bb23ab44e794,Mass,kg,,7.19
0e45786f-67fa-3b8a-b8a3-73a7c316434c,7fe7f6f1-c9cb-4fe3-9322-a1194d5a7ce3,Mass,kg,,5.9
0e45786f-67fa-3b8a-b8a3-73a7c316434c,7ff56da9-d736-4903-b1ea-80ed85c5cfe0,Mass,kg,,0.086
0e45786f-67fa-3b8a-b8a3-73a7c316434c,7ff5e639-4e7e-4708-8947-c4d1c499d331,Mass,kg,,6.15
0e45786f-67fa-3b8a-b8a3-73a7c316434c,81b88765-3ac1-4206-a936-fec23c319ec1,Mass,kg,,4.55
0e45786f-67fa-3b8a-b8a3-73a7c316434c,88951df2-e064-468f-acd6-ae90c30b08ca,Mass,kg,,5.9
0e45786f-67fa-3b8a-b8a3-73a7c316434c,88d06db9-59a1-4719-9174-afeb1fa4026a,Mass,kg,,6.6
0e45786f-67fa-3b8a-b8a3-73a7c316434c,897eac83-f116-4c80-9264-38916e1877e3,Mass,kg,,6.04
0e45786f-67fa-3b8a-b8a3-73a7c316434c,8cdcb4a5-5f12-4dd2-9fa4-15663ae85528,Mass,kg,,7.47
0e45786f-67fa-3b8a-b8a3-73a7c316434c,968b74b0-8018-464a-9376-7d881851072a,Volume,m3,,5.25
0e45786f-67fa-3b8a-b8a3-73a7c316434c,9854e081-33dc-489d-aca2-d164c87220da,Volume,m3,,5.25
0e45786f-67fa-3b8a-b8a3-73a7c316434c,a23a7124-2817-421d-9a0f-6ed680978fde,Mass,kg,,0.213
0e45786f-67fa-3b8a-b8a3-73a7c316434c,a65e5f73-a72a-4bc8-a4e3-58bfaf33baaa,Mass,kg,,6.04
0e45786f-67fa-3b8a-b8a3-73a7c316434c,a816a3b7-0e97-43c4-992e-6a4028316699,Mass,kg,,7.02
0e45786f-67fa-3b8a-b8a3-73a7c316434c,a93979da-6c68-33b1-a5d3-a08b0388935e,Mass,kg,,0.069
0e45786f-67fa-3b8a-b8a3-73a7c316434c,a977e260-0b46-3dad-ae6e-d3db06fa7fef,Energy,MJ,,0.144
0e45786f-67fa-3b8a-b8a3-73a7c316434c,ab131c31-ecd8-462c-ace9-3c4e9a9213e3,Mass,kg,,0.227
0e45786f-67fa-3b8a-b8a3-73a7c316434c,b01c02f3-088d-3795-a608-0d83370582d2,Volume,m3,,5.25
0e45786f-67fa-3b8a-b8a3-73a7c316434c,b4502f91-3aba-4ab2-b495-7f124807c5d6,Mass,kg,,0.069
0e45786f-67fa-3b8a-b8a3-73a7c316434c,b612133f-0c68-4e67-a749-9c18f828df77,Mass,kg,,0.155
0e45786f-67fa-3b8a-b8a3-73a7c316434c,b6d0042d-0ef8-49ed-9162-a07ff1ccf750,Mass,kg,,0.165
0e45786f-67fa-3b8a-b8a3-73a7c316434c,b8b73d09-394b-4e05-8e08-6e77387dc2e4,Mass,kg,,7.47
0e45786f-67fa-3b8a-b8a3-73a7c316434c,ba92adb0-868f-37dc-9521-d7e25d11fe35,Mass,kg,,7.19
0e45786f-67fa-3b8a-b8a3-73a7c316434c,bb7aa805-00c6-416a-9e93-4ee7b33671da,Energy,MJ,,0.00859
0e45786f-67fa-3b8a-b8a3-73a7c316434c,bcf19d0b-b0d3-332d-a510-848c4f55a5e2,Volume,m3,,5.25
0e45786f-67fa-3b8a-b8a3-73a7c316434c,c1a1cd50-d4e8-32da-8864-7f4565b4076b,Mass,kg,,6.04
0e45786f-67fa-3b8a-b8a3-73a7c316434c,c447e6a9-1e2e-343e-8b6d-6eee1a32e533,Mass,kg,,0.227
0e45786f-67fa-3b8a-b8a3-73a7c316434c,c5f0467d-ea04-49db-ae3a-ee4c90a0394e,Mass,kg,,0.085
0e45786f-67fa-3b8a-b8a3-73a7c316434c,c963b1c1-ef1f-33a0-9ce4-af41995e66ba,Energy,MJ,,0.00859
0e45786f-67fa-3b8a-b8a3-73a7c316434c,cad92813-6ec8-35c0-855b-5f3864fa77c3,Volume,m3,,5.97
0e45786f-67fa-3b8a-b8a3-73a7c316434c,cec69965-a131-444d-94ed-a00677f6ef13,Mass,kg,,0.252
0e45786f-67fa-3b8a-b8a3-73a7c316434c,d273ad44-cce7-40c2-9fbe-77c7be2a66c3,Energy,MJ,,0.144
0e45786f-67fa-3b8a-b8a3-73a7c316434c,d508c71c-0761-421a-89e2-eb408051fe37,Mass,kg,,7.02
