LCIA category,Flow,Flow property,Flow unit,Location,Factor
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,04eb6f40-8671-3a31-b27b-ef82f04be46f,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,0b71699f-f013-3465-b171-b25083c0c257,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,11b3f160-360b-3d4d-8481-e32dd5113c14,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,135816ab-f119-4a64-b608-a61cb788af7d,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,16835899-c22f-4e78-8076-0d4d340c6f60,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,18636f13-f552-4136-a353-3b5a8e5f87d1,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,1896b498-8d13-4f58-8c17-21fe57740158,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,19f84b2e-e6ff-4351-ba3a-8b650fc20d14,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,1a01977a-d170-4ac1-86df-aae792cbeb8f,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,1b0a8570-eab4-46c2-9b67-c9b918e75676,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,23309f61-c8db-3224-abcc-d65ae4800611,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,248bf3d1-f5c5-3783-b8b0-7bd58af34bf1,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,250de680-25a7-4a3b-93c9-a9ed44bb4e0c,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,2843362e-6942-48fb-acdc-cea07d6e08cc,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,2925111b-3464-4e34-9d02-b73c1c033e91,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,2997b0b4-f6ec-4df0-9481-4bdab4e86507,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,2b1ded62-11d4-3758-a70e-0a58e428cebe,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,2c701803-1116-3c24-ae30-a3aeabea7d74,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,3295a31d-855c-4ed1-ace4-e81d0a7f04c6,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,34b81b2a-3230-3939-879c-1559f65badf7,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,36e3de27-9337-37bb-8e42-6402adc97f58,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,377086c9-230f-3b09-acb6-512f046e4b74,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,3afbc2d8-1b51-4d43-87a7-e68291c1e999,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,42d9ad9b-d218-3047-a014-6a2c14e554c2,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,4498615d-0ed6-4ca4-8a87-267f31f624b0,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,45e60c3e-a8ac-3d36-a6d2-ef0e4dc1f160,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,4bf710db-8c17-35e3-a99b-9a3466ee3747,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,50b14562-ddeb-49d7-899c-dcbf9dfed004,Area*time,m2*a,,0.4
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,5826d648-5ff2-31e1-9b9e-b193d406c44e,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,59734866-f67e-3c7e-a2de-6d269f99788c,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,59ded913-17fe-4b3e-80cb-79b97cdbef9a,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,5ba2a89f-819f-358d-ab0d-bfcd70083e3d,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,5d369409-5f43-30e4-9f98-eb99ba5fcd79,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,5db2250f-278c-4b47-8c45-561ae9ff448d,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,67884dbf-8895-42ca-9a2a-37aef1189d3b,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,680016d9-59a9-37ad-9e51-8a476db6b732,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,69c7d771-04fc-499e-84f8-6c7b923b8ced,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,6f3af90a-61f9-3dcf-90d7-a4fdabe343df,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,77e63dc5-3fbd-3535-90cb-18fdcb6bad17,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,7d143ee5-e848-47d0-91e8-f10f7c86963d,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,7e7d6ebb-8c9c-4ecb-b64b-23a8c2c908c4,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,895e2457-4921-360d-a896-4ca3ad621fe3,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,8c173ca1-5f74-4a6e-89e5-dd18e0f18d1a,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,92f8f25e-135a-48df-b90c-c6c4547fe94d,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,98b723d4-3362-4b38-8b1e-1bedacfd5e27,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,9fd128fe-d8c5-476f-af42-2795d5f5d227,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,a029c026-6970-40a0-b597-5ebd8dfbaa97,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,a4c4b2e8-7611-4690-b00f-80789d4eb9fe,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,a6889a22-e99e-42ea-85cd-4a68d7975dcd,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,a923740c-61a1-380c-9501-8edda44211e4,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,ab295ced-caf0-4281-96a2-7ebc2203c508,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,aca1714f-0040-4a65-a73a-0e38aa9f50f4,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,b91d0527-9a01-4a86-b420-c62b70629ba4,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,bafff3e8-f51e-42d6-8924-dcab1098c8ef,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,bd8b5007-b9c9-3821-83ed-eb587def77f7,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,c07f2328-335a-3db4-8d9e-1b085d702e35,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,c199261c-8234-43c5-b906-5b67707e4395,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,c4a82f46-381f-474c-a362-3363064b9c33,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,c5aafa60-495c-461c-a1d4-b262a34c45b9,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,c7cb5880-4219-4051-9357-10fdd08c6f2b,Area*time,m2*a,,0.4
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,c9461a73-d00a-4fc7-a890-a9eda6af3185,Area*time,m2*a,,1.0
0f3f4d9b-3bda-3b40-bfd0-f9a6adefc2da,ca69a1af-870b-318a-b22b-370d7e0ecb15,Area*time,m2*a,,1.0
