LCIA category,Flow,Flow property,Flow unit,Location,Factor
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,0015315d-a2b8-4b72-8e60-0d34a72e6de8,Mass,kg,,13000.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,0059893e-77af-3691-9259-9bb80a19fed7,Mass,kg,,1.0E7
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,007d4ecd-0831-4984-b5e2-814d129c932b,Mass,kg,,175000.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,0084f973-7133-4d7a-9009-fa46c1f7460c,Mass,kg,,171700.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,00946913-24e1-4db7-ab0f-940016ce2343,Mass,kg,,1138000.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,00a2a7bc-77ce-4eb7-a56a-900689923e63,Mass,kg,,1300.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,00df6667-d2c4-41e5-bc52-f3c9c8eb9d0e,Mass,kg,,265300.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,00ef96ed-55fd-401e-96f8-3b0c783404c3,Mass,kg,,1.86E8
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,01056d4b-f9b0-4dfc-b8d9-8407c8376efb,Mass,kg,,60670.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,017dbcb7-85b1-4f9d-99cc-14949c24b907,Mass,kg,,2097.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,01a0ee45-df98-4286-a8ee-fe5660c3177a,Mass,kg,,13000.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,01d1039e-c661-4441-9663-76385df59449,Mass,kg,,896.6
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,01dbf755-4e65-4be2-8345-eeef40a82937,Mass,kg,,1182000.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,02381700-f27e-4ffa-b58f-e7309ad7f9e7,Mass,kg,,95590.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,024b1a73-0cff-4b49-9e1e-7d75110f1e31,Mass,kg,,52000.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,0264738d-175c-4a9f-bc9b-1970eba444de,Mass,kg,,60670.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,029af65d-7b19-4189-9c92-81fc03909665,Mass,kg,,2889.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,02b13ec3-7cbd-3379-9ce4-c59fc40ce29b,Mass,kg,,130000.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,02dd56e0-b54c-4174-a132-7d6c3386b95a,Mass,kg,,15660.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,02f7a0e7-a7e6-4bfe-9874-d9a9a84982fc,Mass,kg,,68420.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,030145f6-dcf3-3230-9fb6-22a09b54d5bf,Mass,kg,,12450.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,031dc658-8670-401b-b93e-3ae642a5c3ee,Mass,kg,,20310.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,032772ba-7689-4e69-ac11-d8c707bca25b,Mass,kg,,361100.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,03334f95-1847-4f5c-9240-b4c933324f05,Mass,kg,,68420.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,0357b92a-fc54-42b9-aa7f-621e96c56d19,Mass,kg,,100000.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,03d0f26c-bb7e-472b-b562-31a9c671b905,Mass,kg,,59090.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,043c960d-3a6a-4adf-9dc8-583d1911895b,Mass,kg,,5000.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,04468f8a-54e6-4126-b1b7-b43aa68cf541,Mass,kg,,5000.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,04512c78-0228-4291-8c4d-7e64b6ad670c,Mass,kg,,3640.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,045f7de9-60d5-4916-a504-5a1002a6e97e,Mass,kg,,13000.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,0467cf4c-58d2-4c61-9b5c-829060035986,Mass,kg,,61900.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,047f1c04-df23-442c-8c69-dc989891b4c5,Mass,kg,,100.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,04de9b65-c6bb-4a47-a61b-b90bb0b06b11,Mass,kg,,1182.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,050bf288-a71b-4c54-bf5d-0ccc99e15f8e,Mass,kg,,213100.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,0534a957-9ba0-4909-bf12-9c24fecd6568,Mass,kg,,1625.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,057488ba-e758-410e-9137-20221f5db6a1,Mass,kg,,2050.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,0584f867-daec-435c-936c-39e547c151b1,Mass,kg,,213100.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,05d248c7-0159-49c6-88f8-bd4aa70f4894,Mass,kg,,1300.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,061c7a46-3728-48fa-8240-7a8841e6ca6f,Mass,kg,,260.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,0650f48f-c6c9-44ae-ac49-c3bae05220c3,Mass,kg,,565.2
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,066a3120-783d-4490-b5a5-68499b48b9a0,Mass,kg,,295500.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,06712273-8e47-4516-88a0-2e0ff5eabe4c,Mass,kg,,1.3E7
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,06849578-34b2-4ea1-bb29-82c529273b5e,Mass,kg,,1182000.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,0692d393-88c2-4e89-aa2d-946cad7de916,Mass,kg,,1625.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,070f9c6e-584d-40ed-8b07-6b1f7f75dd3f,Mass,kg,,56870.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,071efe89-12e0-4ff8-80d1-4e6cf1e37233,Mass,kg,,17330.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,07d11fc4-8b0c-4dd8-a2a1-44294d7b2721,Mass,kg,,406200.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,081ea9c3-9cbe-41d7-a962-840833ba98db,Mass,kg,,61900.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,0852738b-4fe9-41b1-b9a9-f0ece365ead4,Mass,kg,,20310.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,08a6fadc-4bae-43cc-885c-a27be8d3c7cf,Mass,kg,,6.5E9
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,08a91e70-3ddc-11dd-91e3-0050c2490048,Mass,kg,,175000.0
1134bd92-15e1-38c1-9a0d-ee8435b5aae3,08a91e70-3ddc-11dd-94eb-0050c2490048,Mass,kg,,91000.0
