LCIA category,Flow,Flow property,Flow unit,Location,Factor
128cda13-4869-379e-82c7-bd14d7855318,0017271e-7df5-40bc-833a-36110c1fe5d5,Mass,kg,,0.3
128cda13-4869-379e-82c7-bd14d7855318,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,0.039
128cda13-4869-379e-82c7-bd14d7855318,066872fe-7faf-4fa1-b6b7-a347c395976f,Mass,kg,,0.3
128cda13-4869-379e-82c7-bd14d7855318,08a91e70-3ddc-11dd-954c-0050c2490048,Mass,kg,,1.18
128cda13-4869-379e-82c7-bd14d7855318,08a91e70-3ddc-11dd-954d-0050c2490048,Mass,kg,,0.087
128cda13-4869-379e-82c7-bd14d7855318,09257c34-f323-436a-81be-ef90e9171ed2,Mass,kg,,0.3
128cda13-4869-379e-82c7-bd14d7855318,0b7e10a8-6ca0-4a50-a39b-f2a019cb3610,Mass,kg,,0.039
128cda13-4869-379e-82c7-bd14d7855318,0c150bb4-fd1a-43f8-b6c9-5dfda8dadb6c,Mass,kg,,1.0
128cda13-4869-379e-82c7-bd14d7855318,0e9e6b81-0a68-4350-8368-566c083bd3e0,Mass,kg,,0.028
128cda13-4869-379e-82c7-bd14d7855318,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Mass,kg,,0.092
128cda13-4869-379e-82c7-bd14d7855318,10d61f4b-01ce-4f02-8140-a0d22777b405,Mass,kg,,0.3
128cda13-4869-379e-82c7-bd14d7855318,130cedc6-f6ed-4f1b-bd1e-881177f79e74,Mass,kg,,0.78
128cda13-4869-379e-82c7-bd14d7855318,13331e67-6006-48c4-bdb4-340c12010036,Mass,kg,,0.78
128cda13-4869-379e-82c7-bd14d7855318,143e1c14-8bfa-4054-8f0a-363cc02ce682,Mass,kg,,0.54
128cda13-4869-379e-82c7-bd14d7855318,14855254-9651-473b-92a2-1d0e4438ddbd,Mass,kg,,1.0
128cda13-4869-379e-82c7-bd14d7855318,1550e897-623b-4f0a-9c90-10f88b4850e3,Mass,kg,,0.3
128cda13-4869-379e-82c7-bd14d7855318,15ca802b-f541-44aa-bd33-35560a053193,Mass,kg,,0.028
128cda13-4869-379e-82c7-bd14d7855318,15cfc784-a719-4230-ad2e-f4104d56c427,Mass,kg,,1.0
128cda13-4869-379e-82c7-bd14d7855318,17f7e776-7934-54af-8c3c-ed0247cb697b,Mass,kg,,0.06
128cda13-4869-379e-82c7-bd14d7855318,180520a0-34e8-4058-bac9-27cbbb32c527,Mass,kg,,0.23
128cda13-4869-379e-82c7-bd14d7855318,1febb3ea-a4ee-4b7d-a6e7-0c4b6da28188,Mass,kg,,0.771
128cda13-4869-379e-82c7-bd14d7855318,205617ae-ebc5-4245-8df6-8710d5d40615,Mass,kg,,0.028
128cda13-4869-379e-82c7-bd14d7855318,20f29bd4-6e59-4955-ac42-6f6e4a7335d6,Mass,kg,,1.43
128cda13-4869-379e-82c7-bd14d7855318,216f4b84-9df0-3713-949b-02c7a135c60f,Mass,kg,,0.073
