LCIA category,Flow,Flow property,Flow unit,Location,Factor
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,00637e13-cdda-3715-97c6-e0b881ea5969,Area,m2,,100.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,00907a61-b501-4f47-b688-1dc2b51d48c1,Area,m2,,-5250.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,01fa974b-b5b5-3a42-bd53-fd95cd3f3ebc,Area,m2,,-1100.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,023aa5cc-a9cd-39d4-b10b-91e92ed69b1d,Area,m2,,100.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,032542d3-7078-4f85-bd95-75fdac9268d2,Area,m2,,-3750.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,0384e43e-b51f-36e2-8adb-bf96beec088f,Area,m2,,20.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,04eb0695-e67b-46e5-9516-da6bde119822,Area,m2,,3750.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,04eb6f40-8671-3a31-b27b-ef82f04be46f,Area*time,m2*a,,9.7
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,06037f74-fb71-3996-bdd1-2c5ef86bc048,Area,m2,,-20.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,061259d7-7bcc-4298-af3a-63d084191988,Area*time,m2*a,,0.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,062a6faf-b1a5-4a6a-aa02-47ae3ec566a8,Area*time,m2*a,,15.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,0782d8ff-80e5-47a7-a2ba-3ba40ab60b60,Area,m2,,0.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,07a366fe-1c9e-4651-ad1a-1da666316417,Area,m2,,100.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,07d4460c-ae27-4717-9db9-9e0b1ea12dd5,Area,m2,,-485.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,07f05619-bee3-3524-a7d8-b2b3dac9cbb2,Area,m2,,125.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,080bf4c6-fab3-4e21-88c7-20b435aa42e8,Area*time,m2*a,,14.6
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,090e9aa9-a9a9-4878-9634-3ad0ba7fbc91,Area,m2,,0.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,0930b6b8-d9c6-4462-966f-ac7495b63bed,Area,m2,,-20.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,0abf9db7-b5a2-4c18-8ec6-aca3a7fb5579,Area,m2,,3750.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,0b062583-0e24-373c-beb5-e3e639619895,Area,m2,,245.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,0b71699f-f013-3465-b171-b25083c0c257,Area*time,m2*a,,5.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,0d7c280e-9f07-48b7-bf01-5cfd0d475e1c,Area,m2,,-3750.0
1d5fb5db-5de3-3a87-9a8a-65ef0c905f5f,0ecf9899-f14e-3d0d-b3dd-ac895bf518f2,Area,m2,,125.0
