LCIA category,Flow,Flow property,Flow unit,Location,Factor
1f1dd9ef-8732-33d8-8df4-ea13a31bba08,0008f382-604e-3f6d-ae1a-68e836ef6030,Mass,kg,,1.67E-8
1f1dd9ef-8732-33d8-8df4-ea13a31bba08,00143719-33a7-5738-aa1b-131f97b4fef3,Mass,kg,,1.4E-11
1f1dd9ef-8732-33d8-8df4-ea13a31bba08,0124b342-4bdd-5cbf-ba2a-dce8a259755c,Mass,kg,,0.0411
1f1dd9ef-8732-33d8-8df4-ea13a31bba08,02d3f72f-0497-3d01-8235-797d923687d2,Mass,kg,,1.67E-8
1f1dd9ef-8732-33d8-8df4-ea13a31bba08,02e8658e-3c88-404c-865d-4d4934661ea6,Mass,kg,,1.57E-5
1f1dd9ef-8732-33d8-8df4-ea13a31bba08,0305b169-255d-4041-8f5d-6e095bcb6358,Mass,kg,,1.09E-9
1f1dd9ef-8732-33d8-8df4-ea13a31bba08,05a7548c-51aa-35d7-bfc9-dc95fcbb5218,Mass,kg,,1.18
1f1dd9ef-8732-33d8-8df4-ea13a31bba08,06874cbb-2daf-4981-a55e-2c38be5b7277,Mass,kg,,0.0178
1f1dd9ef-8732-33d8-8df4-ea13a31bba08,080132f4-d8a5-4ff3-b926-c85847efd77c,Mass,kg,,5.69E-7
1f1dd9ef-8732-33d8-8df4-ea13a31bba08,0878c1c6-4c1d-4f90-a2de-a9383855d5c6,Mass,kg,,1.46E-7
1f1dd9ef-8732-33d8-8df4-ea13a31bba08,08a91e70-3ddc-11dd-96d2-0050c2490048,Mass,kg,,1.93E-5
1f1dd9ef-8732-33d8-8df4-ea13a31bba08,08a91e70-3ddc-11dd-a0f6-0050c2490048,Mass,kg,,0.0411
1f1dd9ef-8732-33d8-8df4-ea13a31bba08,094ded20-e873-4338-8d81-b570a1d65acc,Mass,kg,,0.00427
1f1dd9ef-8732-33d8-8df4-ea13a31bba08,095dbf93-42f8-4aa6-a6df-2e3d1461ad0d,Mass,kg,,4.06E-5
