LCIA category,Flow,Flow property,Flow unit,Location,Factor
2d0a4c8e-3af2-344e-a4af-6191359bd649,0097618c-4552-42d9-b14c-00a07d78c0dc,Radioactivity,kBq,,4.62E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,0097bf60-3729-40b6-94d0-06bd6146cfc2,Radioactivity,kBq,,1.01E-4
2d0a4c8e-3af2-344e-a4af-6191359bd649,01f511e2-7030-45f0-abb7-c24a4fae698b,Radioactivity,kBq,,1.51E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,029057c8-f489-433f-927e-fc18e8b1a51b,Radioactivity,kBq,,5.41E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,033fb239-a6c7-4486-9f92-f5a80b346778,Radioactivity,kBq,,1.02E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,03606bd1-8f71-4667-9b93-4f5e3b28249e,Radioactivity,kBq,,1.72E-4
2d0a4c8e-3af2-344e-a4af-6191359bd649,03bd55c6-c37d-4205-aaa2-3c1f3759a0cd,Radioactivity,kBq,,6.83E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,03e91172-fca0-47f3-9014-22ae3136251b,Radioactivity,kBq,,1.04E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,04d64aaa-b414-4dea-bf43-78b8b68a1894,Radioactivity,kBq,,1.01E-4
2d0a4c8e-3af2-344e-a4af-6191359bd649,077b92b0-0610-48ba-9ff8-55c13e98364b,Radioactivity,kBq,,4.62E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,09bdb17a-1ba0-4116-b2c1-969c093799b8,Radioactivity,kBq,,4.62E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,0ac31b4a-b16d-40c8-928f-cdb8053d988f,Radioactivity,kBq,,1.01E-4
2d0a4c8e-3af2-344e-a4af-6191359bd649,0b28fc38-9334-42a9-bac1-a04c2832e79d,Radioactivity,kBq,,2.6E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,0c1f1396-1b8f-4958-858c-1fde3a746125,Radioactivity,kBq,,1.37E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,0c5de0d2-eb1e-4afe-a8de-b600d899516f,Radioactivity,kBq,,1.01E-4
2d0a4c8e-3af2-344e-a4af-6191359bd649,0ca60abc-2853-4cac-977f-2709702658bd,Radioactivity,kBq,,2.33E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,0cdaaa7e-3c23-419d-8ad5-12dc93c2e1e3,Radioactivity,kBq,,4.61E-9
2d0a4c8e-3af2-344e-a4af-6191359bd649,0e066010-5511-4ce5-b7ff-446e58417a65,Radioactivity,kBq,,4.62E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,0fc1db69-f50d-4a88-b9d8-1446e691063c,Radioactivity,kBq,,5.41E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,10ec2732-3828-4232-914e-941c38bdd08b,Radioactivity,kBq,,1.51E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,126cb24a-a5ac-38ac-96a8-4d1124da0171,Radioactivity,kBq,,7.06E-6
2d0a4c8e-3af2-344e-a4af-6191359bd649,1329e7f0-ff40-45e2-8e46-a2192b87e407,Radioactivity,kBq,,5.7E-6
2d0a4c8e-3af2-344e-a4af-6191359bd649,134ec0d7-3701-473c-a1a1-1982fd48ef4d,Radioactivity,kBq,,1.12E-8
2d0a4c8e-3af2-344e-a4af-6191359bd649,13c4aed3-5367-4415-8b05-903c23f44551,Radioactivity,kBq,,7.59E-6
2d0a4c8e-3af2-344e-a4af-6191359bd649,147b91df-513b-4784-923a-180c2a5b1434,Radioactivity,kBq,,1.08E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,1489fa29-476c-404a-95d9-9d2e3fa434da,Radioactivity,kBq,,1.72E-4
2d0a4c8e-3af2-344e-a4af-6191359bd649,14cf8478-945a-47c6-91b2-f1f8293549b2,Radioactivity,kBq,,5.41E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,16a6b0a2-16f4-4706-a75a-20e08e41f46e,Radioactivity,kBq,,1.08E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,16e15fb4-aee8-42b8-a303-70d61a9b723a,Radioactivity,kBq,,2.25E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,16ff2790-3c88-4761-bb09-b91d981d2c30,Radioactivity,kBq,,1.51E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,180016f0-7376-4089-9596-c513cd7fdfec,Radioactivity,kBq,,2.33E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,19256c0f-bea8-4e61-9499-8cc2f84953f8,Radioactivity,kBq,,7.08E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,1984c85d-9ef9-4a86-9e4c-cf214b5c1f01,Radioactivity,kBq,,5.41E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,19ff96c2-6796-44e3-ab85-3635e8cb7e89,Radioactivity,kBq,,1.04E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,1b7b01ec-e2bc-346d-9457-e240f6d93b7f,Radioactivity,kBq,,6.99E-6
2d0a4c8e-3af2-344e-a4af-6191359bd649,1ce083b8-b4d9-48d5-bd1a-708f3400de0b,Radioactivity,kBq,,2.43E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,1d75a540-c7f2-4cae-8b02-0f0d41c0cef7,Radioactivity,kBq,,1.12E-8
2d0a4c8e-3af2-344e-a4af-6191359bd649,1e10ab97-c155-42f6-99b2-14b22bc22aeb,Radioactivity,kBq,,1.51E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,204b7848-3d6c-4a5a-b02b-084e8ab6ab22,Radioactivity,kBq,,5.41E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,22043b06-1981-45a5-bfbb-20ae6f253191,Radioactivity,kBq,,4.59E-9
2d0a4c8e-3af2-344e-a4af-6191359bd649,232b8aaa-06a6-4940-b725-46470bc82864,Radioactivity,kBq,,4.62E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,23367e14-798c-401e-864b-e21b6ab6cd81,Radioactivity,kBq,,1.24E-4
2d0a4c8e-3af2-344e-a4af-6191359bd649,25403b99-fe84-4d9f-ada1-c089a71756e7,Radioactivity,kBq,,2.6E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,2728d6bf-4ab3-4275-ac82-f7984f0b3e63,Radioactivity,kBq,,7.15E-6
2d0a4c8e-3af2-344e-a4af-6191359bd649,281108a0-7873-4d0d-972b-f7319d19bb39,Radioactivity,kBq,,2.84E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,284a896f-2aca-496e-9ab2-845525fbbc53,Radioactivity,kBq,,7.05E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,28955c40-9925-47d2-9770-dc18a4bba82a,Radioactivity,kBq,,4.78E-6
2d0a4c8e-3af2-344e-a4af-6191359bd649,2a8ec77d-55f2-402a-bc5a-2e9162de2822,Radioactivity,kBq,,1.37E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,2b1eee93-0c3c-4e79-8a03-590ccf60a063,Radioactivity,kBq,,5.41E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,2c9e7fba-dd57-4294-8a5e-2aa489930f69,Radioactivity,kBq,,5.72E-6
2d0a4c8e-3af2-344e-a4af-6191359bd649,2d0d9cdc-822f-4438-98d7-7aa4aa64771a,Radioactivity,kBq,,1.08E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,2e7b6bd9-c3af-498f-8d33-b172fc82c688,Radioactivity,kBq,,1.37E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,2e969e9b-f2e9-4fcc-8962-13a755dc8302,Radioactivity,kBq,,1.02E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,2f36d881-55bd-44ed-a383-a97cd4c53b16,Radioactivity,kBq,,6.83E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,305af6f4-1a7e-487e-8479-0e37e3ec9d9e,Radioactivity,kBq,,2.43E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,30af7730-01ec-4836-a207-35fcb5931737,Radioactivity,kBq,,5.41E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,336b3038-d763-4de7-a4b2-c047728e346c,Radioactivity,kBq,,2.43E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,33d0fe96-541c-4ac2-9dd6-51b44dc39676,Radioactivity,kBq,,6.03E-6
2d0a4c8e-3af2-344e-a4af-6191359bd649,34ee1027-3ef0-48c5-9478-07cf667ed94b,Radioactivity,kBq,,6.83E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,3634188c-04cb-349b-ac87-a0fc8caeddcb,Radioactivity,kBq,,1.71E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,3860fbca-8a2b-4297-803b-55ee227cab79,Radioactivity,kBq,,1.24E-4
2d0a4c8e-3af2-344e-a4af-6191359bd649,39b3200d-f95a-413a-9c96-6d90345d9dca,Radioactivity,kBq,,5.53E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,3a08acee-6c03-4335-b14f-4b51a2945a6f,Radioactivity,kBq,,4.49E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,3ac3442a-ca4d-4b4b-a486-3584bb29f9e0,Radioactivity,kBq,,2.6E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,3d4ce09c-f818-4710-9c0f-9734b15d7f7b,Radioactivity,kBq,,1.12E-8
2d0a4c8e-3af2-344e-a4af-6191359bd649,3d73dd18-aec5-41a6-bc11-91a8aa9beb1d,Radioactivity,kBq,,1.37E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,40526886-fcc3-4059-b025-58e254c03233,Radioactivity,kBq,,1.02E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,4075139e-3311-401a-b98c-e83f203063da,Radioactivity,kBq,,1.12E-8
2d0a4c8e-3af2-344e-a4af-6191359bd649,4233a269-e2a4-4029-b8d5-60be44815587,Radioactivity,kBq,,5.47E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,427f852c-2866-4c4b-a792-98b44a6f1c3e,Radioactivity,kBq,,1.51E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,42901ad7-4be5-47d9-82cd-380ca34281c1,Radioactivity,kBq,,1.01E-4
2d0a4c8e-3af2-344e-a4af-6191359bd649,42c74b9e-fa00-4612-a3bf-4951237cba04,Radioactivity,kBq,,1.85E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,43efdef0-6157-4436-8a23-2f50ac3c6fc2,Radioactivity,kBq,,2.86E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,441ef9b3-0df0-461b-bd84-358973e0c2ca,Radioactivity,kBq,,2.27E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,463be5b9-2c85-4214-bbd9-066bc5eda676,Radioactivity,kBq,,6.94E-5
2d0a4c8e-3af2-344e-a4af-6191359bd649,46a9723a-aca5-4b66-9367-47412ec9e3a0,Radioactivity,kBq,,4.81E-6
2d0a4c8e-3af2-344e-a4af-6191359bd649,4a838a42-fa78-4b0a-92f9-588a3660809b,Radioactivity,kBq,,2.43E-5
