LCIA category,Flow,Flow property,Flow unit,Location,Factor
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,03cc2130-ed64-422f-82b3-fb3459bf9daa,Mass,kg,,3.8E-6
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,0ba8ae54-8942-4d62-b2a7-d0a57c77dac2,Mass,kg,,0.0
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,1013b9ec-a7b5-459c-be3d-74f61b9ce06e,Mass,kg,,0.0
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,10350e4f-eb0d-448d-a9c8-94d0d92ff490,Mass,kg,,0.0
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,121f6b2e-73a1-435e-b099-63fa5f6c3f59,Mass,kg,,0.0
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,13acd77c-2308-4280-837b-40f0158f9acc,Mass,kg,,0.0
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,141996d0-f260-4ef3-ad9a-809c54690595,Mass,kg,,0.0
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,16595bdf-8ce9-459f-bb2a-48170f15643a,Mass,kg,,0.0
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,19845eca-c8cc-4ccc-9388-41a99530a4ea,Mass,kg,,0.0
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,2146c3ec-cc48-4abc-b72e-a9ec7532ded6,Mass,kg,,0.0
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,24b72c64-9dd0-45dd-9936-3c3e7cc17ec7,Mass,kg,,0.0
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,2648f0cd-61e2-4d1b-9898-cab2a6aed906,Mass,kg,,0.0
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,2a082d86-4237-4b9e-b13d-922fbfc7cb15,Mass,kg,,6.09E-6
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,2f466e43-e620-343a-ba57-4ceb72e51c08,Mass,kg,,0.0
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,31a3e44c-4098-461e-aba2-f79540e05087,Mass,kg,,0.0
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,31f8976a-6f7d-487e-a850-eb495dbf0351,Mass,kg,,0.0
2dddb0a4-2f97-3fef-a4e6-708f0b4c2554,392f8088-3b29-48e0-b9e6-5d6778822667,Mass,kg,,0.0
