LCIA category,Flow,Flow property,Flow unit,Location,Factor
31cff242-1ca3-32f8-943c-e54a8bf4282d,000080c6-0c78-3cf1-b49a-ef60e1cac45d,Mass,kg,,0.0
31cff242-1ca3-32f8-943c-e54a8bf4282d,0000f1e6-dd12-3951-bc45-e4f2135426b5,Mass,kg,,4.22E-6
31cff242-1ca3-32f8-943c-e54a8bf4282d,00062e88-f6d1-478d-aa3a-3f35c8c00127,Mass,kg,,0.0
31cff242-1ca3-32f8-943c-e54a8bf4282d,001425af-5a29-3ab0-8704-f2a6cfd7f489,Mass,kg,,2.03E-5
31cff242-1ca3-32f8-943c-e54a8bf4282d,0015315d-a2b8-4b72-8e60-0d34a72e6de8,Mass,kg,,4.96E-7
31cff242-1ca3-32f8-943c-e54a8bf4282d,0017ce28-9f7a-404b-ad55-d3f43ad13cae,Mass,kg,,6.36E-5
31cff242-1ca3-32f8-943c-e54a8bf4282d,0021fb4d-7e20-3e3a-8ebe-44d37fb602f8,Mass,kg,,1.44E-6
31cff242-1ca3-32f8-943c-e54a8bf4282d,00234239-3dea-34aa-af8a-ecce253c4754,Mass,kg,,0.0
31cff242-1ca3-32f8-943c-e54a8bf4282d,002e66cf-de49-3d8e-8ae6-e3bc0ee1587f,Mass,kg,,2.64E-11
31cff242-1ca3-32f8-943c-e54a8bf4282d,004cd1a0-b05a-3b2d-9fd6-74ce22669f88,Mass,kg,,9.6E-6
31cff242-1ca3-32f8-943c-e54a8bf4282d,004febf3-7965-3e84-84ab-6738560f40ed,Mass,kg,,0.0
31cff242-1ca3-32f8-943c-e54a8bf4282d,00532167-2be6-3b95-85ef-faa96e4c0aa0,Mass,kg,,4.13E-8
31cff242-1ca3-32f8-943c-e54a8bf4282d,005d064c-39ac-3280-8870-fce19c74941d,Mass,kg,,5.67E-6
31cff242-1ca3-32f8-943c-e54a8bf4282d,0060f434-3b31-3556-8306-103bb07df36e,Mass,kg,,0.0
31cff242-1ca3-32f8-943c-e54a8bf4282d,0061c672-6bd1-307a-80c8-fd11b186dfa1,Mass,kg,,1.57E-6
31cff242-1ca3-32f8-943c-e54a8bf4282d,0062f19c-4266-423f-866d-9361183a9a71,Mass,kg,,2.98E-8
31cff242-1ca3-32f8-943c-e54a8bf4282d,006c489e-5472-3da5-964c-038d0888c79c,Mass,kg,,3.33E-6
31cff242-1ca3-32f8-943c-e54a8bf4282d,006f0d71-7234-30f6-8bcf-4c51a9f415d8,Mass,kg,,0.00451
31cff242-1ca3-32f8-943c-e54a8bf4282d,0072c80b-5354-39e8-a65e-dd00d5b8c33b,Mass,kg,,8.36E-7
31cff242-1ca3-32f8-943c-e54a8bf4282d,007550ae-27b1-3caa-98f3-2d0e035eb3e7,Mass,kg,,0.0
31cff242-1ca3-32f8-943c-e54a8bf4282d,007a9c38-0de9-49b2-909f-f42903798cea,Mass,kg,,0.0
31cff242-1ca3-32f8-943c-e54a8bf4282d,007de693-1d9e-40a5-a8b4-3d11bce8be9a,Mass,kg,,6.91E-8
31cff242-1ca3-32f8-943c-e54a8bf4282d,00810457-890b-328f-aa23-4e951f0e22f5,Mass,kg,,2.29E-5
31cff242-1ca3-32f8-943c-e54a8bf4282d,00839209-0af1-4662-963b-8172359ce441,Mass,kg,,0.0
31cff242-1ca3-32f8-943c-e54a8bf4282d,008d112b-c3ef-41f5-afad-021b89977d76,Mass,kg,,5.74E-7
31cff242-1ca3-32f8-943c-e54a8bf4282d,008e29af-9d53-3e0f-af1c-84a294aa1a8c,Mass,kg,,7.78E-8
31cff242-1ca3-32f8-943c-e54a8bf4282d,008e978b-34f4-48af-a19f-87106447394d,Mass,kg,,3.09E-5
31cff242-1ca3-32f8-943c-e54a8bf4282d,009ccb2d-86d7-417c-8db1-2f4582895b3a,Mass,kg,,2.33E-7
31cff242-1ca3-32f8-943c-e54a8bf4282d,00a37edd-47ce-3c5d-8c2c-5a6f497d8159,Mass,kg,,0.022
31cff242-1ca3-32f8-943c-e54a8bf4282d,00a6e6a5-950b-440f-bfb5-632da234aa42,Mass,kg,,1.05E-6
31cff242-1ca3-32f8-943c-e54a8bf4282d,00a9314a-5cc6-3013-9a7d-ed70d06102dd,Mass,kg,,2.25E-6
31cff242-1ca3-32f8-943c-e54a8bf4282d,00abc06d-2abf-4963-bfb1-1d27cc1e6bda,Mass,kg,,1.19E-8
31cff242-1ca3-32f8-943c-e54a8bf4282d,00ae8967-937d-36f0-bad6-0f883f74ebe1,Mass,kg,,0.133
31cff242-1ca3-32f8-943c-e54a8bf4282d,00afd08e-70f6-30ac-9379-6654f6ef74db,Mass,kg,,1.11E-5
31cff242-1ca3-32f8-943c-e54a8bf4282d,00b55d37-8eb5-4a65-9309-cd897f67084a,Mass,kg,,0.0
31cff242-1ca3-32f8-943c-e54a8bf4282d,00b8c5b8-8f45-445f-839c-2017fe3ad8b8,Mass,kg,,9.93E-9
31cff242-1ca3-32f8-943c-e54a8bf4282d,00bd675a-07e5-312b-b1af-c1a0995f7cf2,Mass,kg,,6.25E-6
31cff242-1ca3-32f8-943c-e54a8bf4282d,00bfa814-3726-3199-8d4e-4fc982f19aa4,Mass,kg,,0.00123
31cff242-1ca3-32f8-943c-e54a8bf4282d,00c32eb0-528f-3894-94a0-361a328a4df5,Mass,kg,,5.56E-7
31cff242-1ca3-32f8-943c-e54a8bf4282d,00c978bd-31ec-3f06-9d05-6e340bfa45f5,Mass,kg,,2.46E-5
31cff242-1ca3-32f8-943c-e54a8bf4282d,00c996d9-3d4d-3912-b288-c84bbab20e8a,Mass,kg,,6.35E-6
31cff242-1ca3-32f8-943c-e54a8bf4282d,00d46874-7024-4302-adef-20cfeec24169,Mass,kg,,1.39E-7
31cff242-1ca3-32f8-943c-e54a8bf4282d,00d84d22-8a07-3706-9ad8-9afb85dc58f5,Mass,kg,,0.0
31cff242-1ca3-32f8-943c-e54a8bf4282d,00dab2bf-b16e-3581-91c2-bc60d96e533b,Mass,kg,,0.00149
31cff242-1ca3-32f8-943c-e54a8bf4282d,00e36ee4-eab9-3055-8648-1a00479ae266,Mass,kg,,0.0
31cff242-1ca3-32f8-943c-e54a8bf4282d,00f32408-d04c-3809-9e82-cde72702c80b,Mass,kg,,4.18E-7
31cff242-1ca3-32f8-943c-e54a8bf4282d,00f4d472-303e-320c-ba73-9ac667a5ceab,Mass,kg,,0.0
31cff242-1ca3-32f8-943c-e54a8bf4282d,00fdc37e-d074-387a-9b87-cc32f0a631b4,Mass,kg,,0.00451
31cff242-1ca3-32f8-943c-e54a8bf4282d,0102958d-e9b8-30b2-b1b6-3b10ddba458f,Mass,kg,,0.0
31cff242-1ca3-32f8-943c-e54a8bf4282d,0104c6dc-976f-3262-be85-c1ef1861e7b3,Mass,kg,,0.0
31cff242-1ca3-32f8-943c-e54a8bf4282d,0107ab76-47eb-3a90-8f13-eba54fa9c643,Mass,kg,,1.86E-11
31cff242-1ca3-32f8-943c-e54a8bf4282d,010a6b4e-4fd0-31be-9732-f8bd1879b197,Mass,kg,,3.59E-6
31cff242-1ca3-32f8-943c-e54a8bf4282d,010b992a-74e9-3797-971f-931555677112,Mass,kg,,2.05E-4
31cff242-1ca3-32f8-943c-e54a8bf4282d,010c1508-14d0-3d0c-8081-905af1180140,Mass,kg,,0.0
