LCIA category,Flow,Flow property,Flow unit,Location,Factor
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,0017271e-7df5-40bc-833a-36110c1fe5d5,Mass,kg,,17000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,014bd81b-88c7-4a81-b872-201dcbfb8bbf,Mass,kg,,0.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,047f1ca8-4347-46a8-b93a-ccf3ae3edf4f,Mass,kg,,170000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,0561e8f7-bb2b-45b7-b4ab-e750f6842981,Mass,kg,,170000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,066872fe-7faf-4fa1-b6b7-a347c395976f,Mass,kg,,17000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,09257c34-f323-436a-81be-ef90e9171ed2,Mass,kg,,17000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,09eca9fb-65fe-4d44-956f-c3143fee2192,Mass,kg,,140000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,0a7b2a91-5d35-400b-9a9e-30e195abfe73,Mass,kg,,140000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,0b2a5f0b-68cf-483e-aa32-34ee2d9330d0,Mass,kg,,1.4E7
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,0bc097f2-00ee-416f-a275-2c05d1e6d482,Mass,kg,,0.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,0de292c5-7609-443c-a692-851236a62f81,Mass,kg,,3400000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,10d61f4b-01ce-4f02-8140-a0d22777b405,Mass,kg,,17000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,130cedc6-f6ed-4f1b-bd1e-881177f79e74,Mass,kg,,0.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,13331e67-6006-48c4-bdb4-340c12010036,Mass,kg,,44000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,13b3487a-e8aa-48d0-9aa7-0e7348dc5aed,Mass,kg,,140000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,13db3e70-9c9b-4bea-93d7-c7b52a925109,Mass,kg,,0.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,14be9238-06af-4989-9b4b-aca4fde9dada,Mass,kg,,1.4E7
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,1550e897-623b-4f0a-9c90-10f88b4850e3,Mass,kg,,17000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,15b58430-7bd4-4c6c-967e-514538c85b8d,Mass,kg,,0.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,15cfc784-a719-4230-ad2e-f4104d56c427,Mass,kg,,0.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,16167d62-361c-4ed9-bfeb-3ad4545e794c,Mass,kg,,1.4E7
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,1727b41d-377e-43cd-bc01-9eaba946eccb,Mass,kg,,290000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,1741321c-efd0-4679-8639-edd2e30c0485,Mass,kg,,1.4E7
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,180520a0-34e8-4058-bac9-27cbbb32c527,Mass,kg,,13000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,1b6a35b8-f6c8-404d-9c0e-e09b8fdb2d9e,Mass,kg,,140000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,2302b883-84f6-4508-9e21-118c8844b109,Mass,kg,,150000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,239d1f9b-d0b0-43e5-bdbd-54c35cbc5755,Mass,kg,,1.4E7
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,2460ff3a-b368-4224-9c0d-0900fd29608f,Mass,kg,,120000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,26eb22d8-e0cf-45a6-b09e-b8609fe6c8eb,Mass,kg,,0.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,26fd0df4-74ca-4144-b632-6e6f5f6d07b1,Mass,kg,,44000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,2732c215-d02a-4f48-84c5-c18ab6143d1d,Mass,kg,,57000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,2830970e-ff29-4316-af05-da620a208c3b,Mass,kg,,1.4E7
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,2a89246a-8408-4775-a6db-7c33656f1469,Mass,kg,,290000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,2c92cc3d-1412-428d-8d26-52e14384fe5d,Mass,kg,,1.4E7
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,2ccfa703-d0fe-4d27-9220-ba5ef2e97c6e,Mass,kg,,13000.0
32ad31ad-cf1e-46cc-8816-ef21ebb09eb3,2cfcbe85-0dfd-4414-8683-ecc74392346c,Mass,kg,,0.0
