LCIA category,Flow,Flow property,Flow unit,Location,Factor
3bc1c67f-d3e3-3891-9fea-4512107d88ef,00793b76-e63c-44c5-854c-0dad4a247dcc,Mass,kg,,1440.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,01d719e4-2462-4175-8b07-a2c819f64259,Mass,kg,,1.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,032f324c-555e-450f-bc87-f012497f0e19,Mass,kg,,863.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,033d3a16-e1a2-4ce8-8769-f4ea867801ca,Mass,kg,,938.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,034cdc60-f0d7-3201-b380-781a8dc352f4,Mass,kg,,3.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,03758df7-503a-400e-bc7b-ec05825761a5,Mass,kg,,1.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,038a4e3f-7406-4ed3-a076-7ebb3433e02e,Mass,kg,,9480.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,045ede3d-bca7-4aa0-887f-45476e768a1f,Mass,kg,,500.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,04a6edb8-624a-484e-8f85-d771657adae7,Mass,kg,,179.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,050da0cd-2957-45a9-ae7a-ace372083fe5,Mass,kg,,96.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,05f6e226-0593-46f5-a788-01fa306e66ad,Mass,kg,,1.57
3bc1c67f-d3e3-3891-9fea-4512107d88ef,05f6e226-0593-46f5-a788-01fa306e66ad,Mass,kg,,1.57
3bc1c67f-d3e3-3891-9fea-4512107d88ef,065b12f0-582c-3dfa-8aa7-0649c22ee023,Mass,kg,,221.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,0672d2f6-109b-485b-bedd-42b743dbddec,Mass,kg,,10800.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,0685ebf0-2a57-3c1d-a5f8-ed0ab2ff0d82,Mass,kg,,4990.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,06a4fedf-dab4-4ef1-90df-1d0ce8fe6477,Mass,kg,,2070.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,06d50647-91a7-4b0b-959c-aa0b083aa9f7,Mass,kg,,1030.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,07048978-213f-3668-a7b6-c12989c47fb8,Mass,kg,,3250.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,0748392c-3716-3457-8815-9917c9f5bc56,Mass,kg,,36.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,0795345f-c7ae-410c-ad25-1845784c75f5,Mass,kg,,36.8
3bc1c67f-d3e3-3891-9fea-4512107d88ef,08364dee-e963-468f-a566-6ba34c8ca6a5,Mass,kg,,1120.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,08a91e70-3ddc-11dd-9252-0050c2490048,Mass,kg,,1.57
3bc1c67f-d3e3-3891-9fea-4512107d88ef,0974d429-0b86-4bc7-9a55-a3124f711901,Mass,kg,,1340.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,099b36ab-4c03-4587-87f4-2f81e337afb8,Mass,kg,,1.57
3bc1c67f-d3e3-3891-9fea-4512107d88ef,09e231fa-b1c2-4d63-9c57-7ea0e2210858,Mass,kg,,3.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,0a422843-73b9-4486-ba6a-7933f3037291,Mass,kg,,280.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,0b379b2d-dcd5-4b27-a61d-c14193251189,Mass,kg,,6260.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,0bedb00e-da1d-4861-8609-5608ea83c0f5,Mass,kg,,4.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,0bf92802-8b5e-43f5-a261-95c06bd5c551,Mass,kg,,635.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,0c01bc32-1f7a-4159-8082-a4d90f715caa,Mass,kg,,9480.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,0c4afee9-d989-4642-9e9a-3bc2341e3367,Mass,kg,,981.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,0d4989fd-00e3-4522-905f-2ab6a1bd5677,Mass,kg,,3.0
3bc1c67f-d3e3-3891-9fea-4512107d88ef,0d9f1f58-e5b6-4387-a22e-ae28c4ccfc6a,Mass,kg,,397.0
