LCIA category,Flow,Flow property,Flow unit,Location,Factor
45b8cd56-498a-3c6f-9488-134e951d8c02,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,0.04429
45b8cd56-498a-3c6f-9488-134e951d8c02,05277edf-098f-3d7f-aeab-75e95a2a582e,Mass,kg,,3.19047619
45b8cd56-498a-3c6f-9488-134e951d8c02,06bf53c2-ea2f-4efe-9967-63c31567e752,Mass,kg,,0.291021897
45b8cd56-498a-3c6f-9488-134e951d8c02,0857999c-aaf4-41f9-b3cc-5cc56909ecaa,Mass,kg,,2.30952381
45b8cd56-498a-3c6f-9488-134e951d8c02,08a91e70-3ddc-11dd-954c-0050c2490048,Mass,kg,,0.7793
45b8cd56-498a-3c6f-9488-134e951d8c02,08a91e70-3ddc-11dd-954d-0050c2490048,Mass,kg,,0.1186
45b8cd56-498a-3c6f-9488-134e951d8c02,0b5a86df-2ba4-3e9a-be5c-9e35e42d0f61,Mass,kg,,3.19047619
45b8cd56-498a-3c6f-9488-134e951d8c02,0b7e10a8-6ca0-4a50-a39b-f2a019cb3610,Mass,kg,,0.04429
45b8cd56-498a-3c6f-9488-134e951d8c02,0c150bb4-fd1a-43f8-b6c9-5dfda8dadb6c,Mass,kg,,0.9864
45b8cd56-498a-3c6f-9488-134e951d8c02,0c6346da-55d8-4f04-93ec-b30cd00a8bc0,Mass,kg,,0.291021897
45b8cd56-498a-3c6f-9488-134e951d8c02,0d1d9119-44bf-4c8e-a878-cdc78fd888ae,Mass,kg,,0.034482759
45b8cd56-498a-3c6f-9488-134e951d8c02,0e9e6b81-0a68-4350-8368-566c083bd3e0,Mass,kg,,0.036022867
45b8cd56-498a-3c6f-9488-134e951d8c02,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Mass,kg,,0.1186
45b8cd56-498a-3c6f-9488-134e951d8c02,130cedc6-f6ed-4f1b-bd1e-881177f79e74,Mass,kg,,0.7793
45b8cd56-498a-3c6f-9488-134e951d8c02,13331e67-6006-48c4-bdb4-340c12010036,Mass,kg,,0.7793
45b8cd56-498a-3c6f-9488-134e951d8c02,13d2fabe-9282-4905-9dfc-5c859022835c,Mass,kg,,0.35482396
45b8cd56-498a-3c6f-9488-134e951d8c02,14855254-9651-473b-92a2-1d0e4438ddbd,Mass,kg,,0.9864
45b8cd56-498a-3c6f-9488-134e951d8c02,15ca802b-f541-44aa-bd33-35560a053193,Mass,kg,,0.036022867
45b8cd56-498a-3c6f-9488-134e951d8c02,1727b41d-377e-43cd-bc01-9eaba946eccb,Mass,kg,,2.38
45b8cd56-498a-3c6f-9488-134e951d8c02,17f7e776-7934-54af-8c3c-ed0247cb697b,Mass,kg,,0.06858
45b8cd56-498a-3c6f-9488-134e951d8c02,180520a0-34e8-4058-bac9-27cbbb32c527,Mass,kg,,0.2367
45b8cd56-498a-3c6f-9488-134e951d8c02,18e1aef2-00e7-410d-9613-fdfb305a689e,Mass,kg,,3.19047619
45b8cd56-498a-3c6f-9488-134e951d8c02,198ce8e3-f05a-4bec-9f7f-325347453326,Mass,kg,,1.12
45b8cd56-498a-3c6f-9488-134e951d8c02,1aa538b9-51eb-49fe-8904-de34e58945c7,Mass,kg,,0.034482759
45b8cd56-498a-3c6f-9488-134e951d8c02,205617ae-ebc5-4245-8df6-8710d5d40615,Mass,kg,,0.036022867
45b8cd56-498a-3c6f-9488-134e951d8c02,2257e9f9-f38c-494b-b99f-f49b4768b4b9,Mass,kg,,0.35482396
45b8cd56-498a-3c6f-9488-134e951d8c02,226fb7e6-0ee2-4e8a-9fac-67d83b77aa75,Mass,kg,,2.30952381
45b8cd56-498a-3c6f-9488-134e951d8c02,26fd0df4-74ca-4144-b632-6e6f5f6d07b1,Mass,kg,,0.7793
45b8cd56-498a-3c6f-9488-134e951d8c02,2a89246a-8408-4775-a6db-7c33656f1469,Mass,kg,,2.38
45b8cd56-498a-3c6f-9488-134e951d8c02,2b50f643-216a-412b-a0e5-5946867aa2ed,Mass,kg,,0.1186
45b8cd56-498a-3c6f-9488-134e951d8c02,2ccfa703-d0fe-4d27-9220-ba5ef2e97c6e,Mass,kg,,0.2367
45b8cd56-498a-3c6f-9488-134e951d8c02,2d057171-f4dc-337d-aa27-33003b8f698b,Mass,kg,,3.19047619
45b8cd56-498a-3c6f-9488-134e951d8c02,2d4b8ec1-8d53-4e62-8a11-ebc45909b02e,Mass,kg,,7.29
45b8cd56-498a-3c6f-9488-134e951d8c02,2e493ad7-ff7f-47b8-9966-1d67e0323386,Mass,kg,,0.034482759
45b8cd56-498a-3c6f-9488-134e951d8c02,321b06bb-7f99-45aa-b135-3888f81a2450,Mass,kg,,0.226580217
45b8cd56-498a-3c6f-9488-134e951d8c02,329fc7d8-4011-4327-84e4-34ff76f0e42d,Mass,kg,,2.38
45b8cd56-498a-3c6f-9488-134e951d8c02,362acbd4-9fee-4943-9b92-4e73ef4b3387,Mass,kg,,7.29
45b8cd56-498a-3c6f-9488-134e951d8c02,37d014cb-8c2d-4c98-ab5c-2d4550822c2f,Mass,kg,,0.034482759
45b8cd56-498a-3c6f-9488-134e951d8c02,3aaf9017-0d8a-42aa-9a60-cbc39e994e73,Mass,kg,,2.38
45b8cd56-498a-3c6f-9488-134e951d8c02,3ae8c924-dc92-4971-a415-4b82261842f3,Mass,kg,,0.2367
45b8cd56-498a-3c6f-9488-134e951d8c02,3e129646-13b3-45a9-840a-c6b499f654b9,Mass,kg,,3.19047619
45b8cd56-498a-3c6f-9488-134e951d8c02,3f512502-5e18-45f1-90a4-e22c93229ea2,Mass,kg,,0.05
45b8cd56-498a-3c6f-9488-134e951d8c02,41eb549e-df64-4f94-9403-b54012b99c3e,Mass,kg,,0.9864
45b8cd56-498a-3c6f-9488-134e951d8c02,42eeb663-34dc-4394-8a07-e4d8e45a7e2d,Mass,kg,,0.9864
45b8cd56-498a-3c6f-9488-134e951d8c02,43156184-3040-4095-9085-38d8895406cc,Mass,kg,,2.30952381
45b8cd56-498a-3c6f-9488-134e951d8c02,43c700bb-0b3b-4fb1-8bd1-3d1da82b6844,Mass,kg,,0.2367
45b8cd56-498a-3c6f-9488-134e951d8c02,448934cb-8be4-4ae2-acdb-de9dec10459b,Mass,kg,,2.30952381
45b8cd56-498a-3c6f-9488-134e951d8c02,4490af97-53d7-4849-aa85-34b5a50e516b,Mass,kg,,0.04429
45b8cd56-498a-3c6f-9488-134e951d8c02,4574cd53-77cc-4540-827b-5736dda9c4d7,Mass,kg,,0.05
45b8cd56-498a-3c6f-9488-134e951d8c02,4588adc5-e56e-443c-ade5-6645219b53cd,Mass,kg,,0.7793
45b8cd56-498a-3c6f-9488-134e951d8c02,4754e070-bb68-4af8-83a6-c1dc3b857510,Mass,kg,,0.291021897
45b8cd56-498a-3c6f-9488-134e951d8c02,4841a0fe-c250-4a39-94a1-1bc31426c0f1,Mass,kg,,0.04429
45b8cd56-498a-3c6f-9488-134e951d8c02,48549f3b-606e-4e4f-b3eb-dd9f787f8827,Mass,kg,,0.365651578
45b8cd56-498a-3c6f-9488-134e951d8c02,490b267b-f429-4d9a-ac79-224e37fb4d58,Mass,kg,,2.38
45b8cd56-498a-3c6f-9488-134e951d8c02,4a5a08f6-51ab-41e7-809a-13d70b509740,Mass,kg,,2.30952381
45b8cd56-498a-3c6f-9488-134e951d8c02,4ab486b5-7102-4a88-a7fd-3e7b42e0e2e2,Mass,kg,,7.29
45b8cd56-498a-3c6f-9488-134e951d8c02,4b81a3e2-b3fc-4e2f-81aa-5a68d11084c8,Mass,kg,,0.7793
45b8cd56-498a-3c6f-9488-134e951d8c02,4ba931a8-50e1-4b94-abe2-f645e93bb574,Mass,kg,,2.38
45b8cd56-498a-3c6f-9488-134e951d8c02,4ce8fa3f-77e7-4579-9867-a91a055f1835,Mass,kg,,0.226580217
45b8cd56-498a-3c6f-9488-134e951d8c02,4d11b9d2-f8b4-413f-822f-141d7ae493d8,Mass,kg,,7.29
45b8cd56-498a-3c6f-9488-134e951d8c02,4e2156dc-6cc5-477d-9d7f-665407913542,Mass,kg,,0.291021897
45b8cd56-498a-3c6f-9488-134e951d8c02,4e46df5f-8e64-4e3b-b67a-b9b927dd0b38,Mass,kg,,0.051540956
45b8cd56-498a-3c6f-9488-134e951d8c02,503ccbc4-8697-46e7-9a9b-beee17d4cdec,Mass,kg,,2.38
45b8cd56-498a-3c6f-9488-134e951d8c02,5189de76-6bbb-44ba-8c42-5714f1b4371f,Mass,kg,,0.2367
45b8cd56-498a-3c6f-9488-134e951d8c02,51b06290-9a7f-4750-86bc-d1db0dd503a7,Mass,kg,,0.7793
45b8cd56-498a-3c6f-9488-134e951d8c02,536ffa8a-6df0-4fe4-a40d-bd1d0cd8b382,Mass,kg,,0.338666667
45b8cd56-498a-3c6f-9488-134e951d8c02,53e9cd40-041a-49f1-aa70-a183caad0f37,Mass,kg,,0.490169182
45b8cd56-498a-3c6f-9488-134e951d8c02,5687da3e-fa56-4ad0-81bc-a5f6d175433e,Mass,kg,,2.30952381
45b8cd56-498a-3c6f-9488-134e951d8c02,57c27ba7-a61a-4932-8cd5-095c88ff0245,Mass,kg,,0.05
45b8cd56-498a-3c6f-9488-134e951d8c02,59e8b3a7-3862-4388-905a-73b35b93c6d4,Mass,kg,,0.7793
45b8cd56-498a-3c6f-9488-134e951d8c02,5d0058e0-ad1b-4c15-b0ff-a665bb04154f,Mass,kg,,0.35482396
45b8cd56-498a-3c6f-9488-134e951d8c02,5e7cf95c-9cc3-4479-89af-55377b3db99c,Mass,kg,,0.036022867
45b8cd56-498a-3c6f-9488-134e951d8c02,6054fc06-c63a-48f2-bb80-3733834167bc,Mass,kg,,2.38
45b8cd56-498a-3c6f-9488-134e951d8c02,615c56b4-3328-43b3-b1cd-feb6b6a5d99c,Mass,kg,,0.1186
45b8cd56-498a-3c6f-9488-134e951d8c02,62f3d964-9b53-4d01-9ee0-04112dcfc6d2,Mass,kg,,7.29
45b8cd56-498a-3c6f-9488-134e951d8c02,63e78926-8549-11e0-9d78-0800200c9a66,Mass,kg,,0.7793
45b8cd56-498a-3c6f-9488-134e951d8c02,63e7fe56-8549-11e0-9d78-0800200c9a66,Mass,kg,,0.291021897
45b8cd56-498a-3c6f-9488-134e951d8c02,63e7fe63-8549-11e0-9d78-0800200c9a66,Mass,kg,,0.365651578
45b8cd56-498a-3c6f-9488-134e951d8c02,64b758fe-fbf2-4bdb-85f6-eab48e2ad2e4,Mass,kg,,0.7793
45b8cd56-498a-3c6f-9488-134e951d8c02,65bff69f-3b58-457c-bb21-45ad200b04e2,Mass,kg,,0.051540956
45b8cd56-498a-3c6f-9488-134e951d8c02,69545061-684c-49d0-9b49-43c3c341febb,Mass,kg,,0.226580217
45b8cd56-498a-3c6f-9488-134e951d8c02,6a7e5863-714c-4dd4-9fbc-0d92b8f67e93,Mass,kg,,3.19047619
45b8cd56-498a-3c6f-9488-134e951d8c02,6aedb6a7-a674-447e-b65a-853ef64743d7,Mass,kg,,0.226580217
45b8cd56-498a-3c6f-9488-134e951d8c02,6bb60b06-5b1f-4d8c-9782-e18a7f11bc5c,Mass,kg,,0.2367
45b8cd56-498a-3c6f-9488-134e951d8c02,70d467b6-115e-43c5-add2-441de9411348,Mass,kg,,0.05
45b8cd56-498a-3c6f-9488-134e951d8c02,72d4fa64-0e38-4197-b72b-31936471db2b,Mass,kg,,0.226580217
45b8cd56-498a-3c6f-9488-134e951d8c02,736f52e8-9703-4076-8909-7ae80a7f8005,Mass,kg,,0.7793
45b8cd56-498a-3c6f-9488-134e951d8c02,751d9555-8e2e-30e8-9c64-dc1b09681bba,Mass,kg,,0.06858
45b8cd56-498a-3c6f-9488-134e951d8c02,75569dbe-1d4c-4b38-81df-4c65cadac3e3,Mass,kg,,0.226580217
45b8cd56-498a-3c6f-9488-134e951d8c02,75a4db8c-cc6c-4da5-a511-cf68acdad348,Mass,kg,,0.05
45b8cd56-498a-3c6f-9488-134e951d8c02,76b09afe-52b9-4ecc-b97a-00b49ad8ed1a,Mass,kg,,7.29
45b8cd56-498a-3c6f-9488-134e951d8c02,77357947-ccc5-438e-9996-95e65e1e1bce,Mass,kg,,0.04429
45b8cd56-498a-3c6f-9488-134e951d8c02,7ae398bb-8532-11e0-9d78-0800200c9a66,Mass,kg,,0.338666667
45b8cd56-498a-3c6f-9488-134e951d8c02,7b1823ca-4680-3417-8f36-ac5c19be1968,Mass,kg,,0.450627268
45b8cd56-498a-3c6f-9488-134e951d8c02,7ce56135-2ca5-4fba-ad52-d62a34bfeb35,Mass,kg,,0.2367
