LCIA category,Flow,Flow property,Flow unit,Location,Factor
49e6b756-2603-3c01-a5b6-c8271bfa713a,025fcb20-0591-4bae-80fc-7c34e9af2e7b,Mass,kg,,0.5
49e6b756-2603-3c01-a5b6-c8271bfa713a,02acaa38-8060-3589-82fb-7483dfe1df3c,Mass,kg,,0.4
49e6b756-2603-3c01-a5b6-c8271bfa713a,059e6a26-7035-4621-a360-c71c5778eec8,Mass,kg,,0.4
49e6b756-2603-3c01-a5b6-c8271bfa713a,06911561-7da9-487c-adda-85e268d672af,Mass,kg,,0.3
49e6b756-2603-3c01-a5b6-c8271bfa713a,086f6b04-002c-49a0-9be8-2bad29a9c17a,Mass,kg,,0.8
49e6b756-2603-3c01-a5b6-c8271bfa713a,08a91e70-3ddc-11dd-9252-0050c2490048,Mass,kg,,0.04
49e6b756-2603-3c01-a5b6-c8271bfa713a,08a91e70-3ddc-11dd-9734-0050c2490048,Mass,kg,,0.5
49e6b756-2603-3c01-a5b6-c8271bfa713a,09adf1e6-9c65-4d35-80ae-b22bc6d23660,Mass,kg,,0.6
49e6b756-2603-3c01-a5b6-c8271bfa713a,09c332a9-1186-36ac-aa4e-3da3e002f29d,Mass,kg,,0.3
49e6b756-2603-3c01-a5b6-c8271bfa713a,0a07a739-e6cf-4716-87a8-1078afbd3f0f,Mass,kg,,0.3
49e6b756-2603-3c01-a5b6-c8271bfa713a,0aa4a379-3db3-4aad-950c-1bc4a58c6519,Mass,kg,,0.5
49e6b756-2603-3c01-a5b6-c8271bfa713a,0b0d8098-ecbf-4020-afd6-4bcf9db686ce,Mass,kg,,0.5
49e6b756-2603-3c01-a5b6-c8271bfa713a,0b9698ec-8b52-4986-8f9f-ad30915aa00c,Mass,kg,,0.3
49e6b756-2603-3c01-a5b6-c8271bfa713a,0c209634-80bb-4909-8442-3189b7cb01d7,Mass,kg,,0.6
49e6b756-2603-3c01-a5b6-c8271bfa713a,0d25326e-2335-4a06-8ecb-d161f02adccf,Mass,kg,,0.3
49e6b756-2603-3c01-a5b6-c8271bfa713a,0d3ccb17-b3fe-4c08-b7cb-458ed3ababf1,Mass,kg,,0.2
49e6b756-2603-3c01-a5b6-c8271bfa713a,0d4989fd-00e3-4522-905f-2ab6a1bd5677,Mass,kg,,0.1
49e6b756-2603-3c01-a5b6-c8271bfa713a,0e7c1a7b-cd98-4f8d-a619-a687d3e2cb48,Mass,kg,,0.1
49e6b756-2603-3c01-a5b6-c8271bfa713a,0ea711fd-a920-3afd-8c2b-9da227b49522,Mass,kg,,0.5
