LCIA category,Flow,Flow property,Flow unit,Location,Factor
4ac6c32d-e63a-378e-be67-1f0f7f474d09,09e231fa-b1c2-4d63-9c57-7ea0e2210858,Mass,g,,0.6
4ac6c32d-e63a-378e-be67-1f0f7f474d09,1013b9ec-a7b5-459c-be3d-74f61b9ce06e,Mass,g,,1.0
4ac6c32d-e63a-378e-be67-1f0f7f474d09,18c582fe-7336-4138-8797-2db8b7a754c7,Mass,g,,0.055
4ac6c32d-e63a-378e-be67-1f0f7f474d09,18ddd879-5496-4419-8ab7-e0d3864d977d,Mass,g,,10.0
4ac6c32d-e63a-378e-be67-1f0f7f474d09,26991da1-c263-4707-9f85-78685acc94dc,Mass,g,,0.055
4ac6c32d-e63a-378e-be67-1f0f7f474d09,31a3e44c-4098-461e-aba2-f79540e05087,Mass,g,,1.0
4ac6c32d-e63a-378e-be67-1f0f7f474d09,31f8976a-6f7d-487e-a850-eb495dbf0351,Mass,g,,1.0
4ac6c32d-e63a-378e-be67-1f0f7f474d09,46d70535-e74d-3c0e-8aa9-d52233b755d6,Mass,g,,0.6
4ac6c32d-e63a-378e-be67-1f0f7f474d09,4ac2ffc3-312e-4e2d-88c4-2630d4a73d8c,Mass,g,,10.0
4ac6c32d-e63a-378e-be67-1f0f7f474d09,4bf1c333-419b-4278-ac14-247c8bf563d6,Mass,g,,0.6
4ac6c32d-e63a-378e-be67-1f0f7f474d09,56b7d3b6-83d7-42b0-a65b-5ad23e29db47,Mass,g,,0.055
4ac6c32d-e63a-378e-be67-1f0f7f474d09,5c97dd6c-aaa5-4477-aaf8-dbd0674499c4,Mass,g,,1.1
4ac6c32d-e63a-378e-be67-1f0f7f474d09,6bdb666d-e227-4f57-9b1d-d25009d3c44b,Mass,g,,0.6
4ac6c32d-e63a-378e-be67-1f0f7f474d09,701cda28-4722-431c-b52f-05a735ef5ed3,Mass,g,,0.6
4ac6c32d-e63a-378e-be67-1f0f7f474d09,818cee9e-231c-4b53-8ed2-47a0001802d5,Mass,g,,0.1
4ac6c32d-e63a-378e-be67-1f0f7f474d09,81e9632c-4b9e-3f1c-b431-c4f0f6b4034d,Mass,g,,1.0
4ac6c32d-e63a-378e-be67-1f0f7f474d09,82957257-07f3-4536-ac8b-175cb2353c75,Mass,g,,10.0
4ac6c32d-e63a-378e-be67-1f0f7f474d09,86d12e70-0c64-4ecf-ba52-114fa0c5d402,Mass,g,,1.1
4ac6c32d-e63a-378e-be67-1f0f7f474d09,8c283de2-50d3-40c8-8bff-1e172c3398f8,Mass,g,,0.6
4ac6c32d-e63a-378e-be67-1f0f7f474d09,8ca6c84b-7f56-47e6-8d17-4f2dbc49a943,Mass,g,,0.055
4ac6c32d-e63a-378e-be67-1f0f7f474d09,926e91c7-69bb-3673-a488-72bae997734c,Mass,g,,0.1
4ac6c32d-e63a-378e-be67-1f0f7f474d09,96b52062-5e2f-40de-921a-f443c08862e4,Mass,g,,10.0
4ac6c32d-e63a-378e-be67-1f0f7f474d09,99585564-bfce-4845-9aaa-2f24b8f26a41,Mass,g,,0.1
4ac6c32d-e63a-378e-be67-1f0f7f474d09,9b505d7c-4239-40e0-9dbe-55d38f3b85b3,Mass,g,,0.055
4ac6c32d-e63a-378e-be67-1f0f7f474d09,9cad9d36-b3ed-3822-9932-2ba6258a5a32,Mass,g,,1.1
4ac6c32d-e63a-378e-be67-1f0f7f474d09,9e7d019f-c8c0-4631-9bbb-ced3e081c90d,Mass,g,,0.1
4ac6c32d-e63a-378e-be67-1f0f7f474d09,c0e8ec60-a5ae-432e-97a5-cf76b6247a00,Mass,g,,1.0
4ac6c32d-e63a-378e-be67-1f0f7f474d09,ce6294f5-2ed7-46ee-a967-33e265e34455,Mass,g,,0.1
4ac6c32d-e63a-378e-be67-1f0f7f474d09,cf719b78-9834-4649-a1dd-8554c366c83f,Mass,g,,10.0
4ac6c32d-e63a-378e-be67-1f0f7f474d09,e3787169-170a-3047-a5f2-16e292861643,Mass,g,,1.1
4ac6c32d-e63a-378e-be67-1f0f7f474d09,e5716f7d-435d-35b2-8f23-49ab146b45b3,Mass,g,,0.055
4ac6c32d-e63a-378e-be67-1f0f7f474d09,e93ba406-3df8-4e34-be54-0d556b2bb629,Mass,g,,1.0
4ac6c32d-e63a-378e-be67-1f0f7f474d09,f2cb5577-b802-3bca-bd0a-502374b83e41,Mass,g,,1.1
4ac6c32d-e63a-378e-be67-1f0f7f474d09,f8ee4881-a003-4e18-aa2a-d9daf97d76f7,Mass,g,,0.1
