LCIA category,Flow,Flow property,Flow unit,Location,Factor
4b3b85f3-7355-40a5-a24a-4801ef101d52,258263a0-6be3-4439-bd84-efee0498b849,Mass,kg,,30.5
4b3b85f3-7355-40a5-a24a-4801ef101d52,28e1e2d6-97ad-4dfd-932a-9edad36dcab9,Mass,kg,,1.0
4b3b85f3-7355-40a5-a24a-4801ef101d52,4e1f0bb0-2703-4303-bf86-972d810612cf,Mass,kg,,1.0
4b3b85f3-7355-40a5-a24a-4801ef101d52,57bdb443-d4a6-423d-8024-959b8261d02e,Mass,kg,,30.5
4b3b85f3-7355-40a5-a24a-4801ef101d52,6c977009-5c4e-4901-a4c1-ab20389cb972,Mass,kg,,30.5
4b3b85f3-7355-40a5-a24a-4801ef101d52,73ed05cc-9727-4abf-9516-4b5c0fe54a16,Mass,kg,,1.0
4b3b85f3-7355-40a5-a24a-4801ef101d52,7b44cf6c-867f-34a0-b632-024664899e21,Mass,kg,,30.5
4b3b85f3-7355-40a5-a24a-4801ef101d52,baf58fc9-573c-419c-8c16-831ac03203b9,Mass,kg,,30.5
4b3b85f3-7355-40a5-a24a-4801ef101d52,d6235194-e4e6-4548-bfa3-ac095131aef4,Mass,kg,,1.0
4b3b85f3-7355-40a5-a24a-4801ef101d52,da1157e2-7593-4dfd-80dd-a3449b37a4d8,Mass,kg,,30.5
4b3b85f3-7355-40a5-a24a-4801ef101d52,eba59fd6-f37e-41dc-9ca3-c7ea22d602c7,Mass,kg,,1.0
