LCIA category,Flow,Flow property,Flow unit,Location,Factor
4bb8f430-76e8-3598-ac85-8dec4fe035e7,0ff15165-d761-48c9-9814-2d1dcdd56857,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,1a002089-bf1f-497c-a4d8-336542f7b38d,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,2718482b-8399-442e-b89a-52fbcc22d2e6,Mass,kg,,0.00323
4bb8f430-76e8-3598-ac85-8dec4fe035e7,31c4d160-b21e-41b3-b9c1-3d7a72377653,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,48aa661d-be05-4c24-94fe-8d6feb3dcb31,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,540106ac-eb8e-446b-91f5-3fdbad5a5886,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,5958a968-d153-415f-acbf-81719c1aa09f,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,5ec9c16a-959d-44cd-be7d-a935727d2151,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,656d6498-56ca-31b6-bc6a-5a24421b38be,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,6a903634-c97f-4c49-a7c0-88f0e6ac7a23,Mass,kg,,0.00323
4bb8f430-76e8-3598-ac85-8dec4fe035e7,71234253-b3a7-4dfe-b166-a484ad15bee7,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,80b3c2a1-af98-4dde-b298-abf7e78e38ee,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,8ccf40b6-eee0-4b71-9bc5-965328e2ef95,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,8e123669-94d3-41d8-9480-a79211fe7c43,Mass,kg,,0.00323
4bb8f430-76e8-3598-ac85-8dec4fe035e7,9ee7f4ab-b826-47ae-8623-e138f944b42e,Mass,kg,,0.00323
4bb8f430-76e8-3598-ac85-8dec4fe035e7,a850e6de-a007-432f-be7f-ce6e2cf1f2ae,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,b3ebdcc3-c588-4997-95d2-9785b26b34e1,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,c864aa15-0abc-41ad-9889-348106e485d8,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,dc90db73-6f27-403d-baf1-cb7e0b6cae31,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,e9e856c2-868e-435e-8425-8df1c9297cfc,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,f420380c-b1b6-4ead-8a54-7d77e53379b7,Mass,kg,,0.0131
4bb8f430-76e8-3598-ac85-8dec4fe035e7,fc4d79d7-9795-3307-b821-ee668a08a9e4,Mass,kg,,0.00323
4bb8f430-76e8-3598-ac85-8dec4fe035e7,fe4613d7-1ed8-427d-9b06-c8e8f4f5e1b1,Mass,kg,,0.00323
