LCIA category,Flow,Flow property,Flow unit,Location,Factor
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,033d3a16-e1a2-4ce8-8769-f4ea867801ca,Mass,kg,,0.38
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,050da0cd-2957-45a9-ae7a-ace372083fe5,Mass,kg,,0.11
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,06a4fedf-dab4-4ef1-90df-1d0ce8fe6477,Mass,kg,,9.7
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,09e231fa-b1c2-4d63-9c57-7ea0e2210858,Mass,kg,,3.1
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,0bf92802-8b5e-43f5-a261-95c06bd5c551,Mass,kg,,0.1
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,12bb7ba6-0cb3-39bb-b920-a7aef7adb5ce,Mass,kg,,0.38
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,1652c2e3-c6c5-49e1-9ad1-34c188087ca6,Mass,kg,,0.15
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,18c582fe-7336-4138-8797-2db8b7a754c7,Mass,kg,,0.15
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,18ddd879-5496-4419-8ab7-e0d3864d977d,Mass,kg,,10.5
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,1c6084c6-f1f4-448f-badf-2ed8c7e354ee,Mass,kg,,0.14
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,26991da1-c263-4707-9f85-78685acc94dc,Mass,kg,,0.15
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,27f61651-96a5-45c7-9873-832626cf6905,Mass,kg,,0.1
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,2849950e-a427-4f15-b5e9-d2f0362e5cd3,Mass,kg,,11.6
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,2cbc6042-2cee-4668-8017-d7f805d9029e,Mass,kg,,0.11
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,2fff3bda-1eec-4166-9969-bc9e757c8e8e,Mass,kg,,0.11
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,33a69662-583b-45b8-8cb9-94f59fca9133,Mass,kg,,1.0
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,3613c452-7500-4753-819d-4a310943ce48,Mass,kg,,0.14
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,3feb6415-ae50-4bb7-b9d1-c18d99f8a87f,Mass,kg,,1.0
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,400be66e-4383-482a-93e3-c005e96de261,Mass,kg,,0.15
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,416eedbd-a7b4-4693-8031-9bfaa2f20ebc,Mass,kg,,0.38
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,46d70535-e74d-3c0e-8aa9-d52233b755d6,Mass,kg,,3.1
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,47c12d99-c2dc-41cf-bad1-cd31c2fe0421,Mass,kg,,0.58
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,48c0daa7-79f4-43bd-a809-9f57c102cc7b,Mass,kg,,0.14
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,494eb62d-3e16-4a81-b344-6d6dfd9fd4e2,Mass,kg,,9.7
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,4981fdec-9dbd-4688-9fd4-6a6b3191161f,Mass,kg,,11.6
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,4ac2ffc3-312e-4e2d-88c4-2630d4a73d8c,Mass,kg,,10.5
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,4bf1c333-419b-4278-ac14-247c8bf563d6,Mass,kg,,3.1
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,50432644-8568-444e-b7e7-8e37a7e1f3e3,Mass,kg,,0.15
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,50f528ca-45e7-42d0-b399-998ea63ddabf,Mass,kg,,9.7
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,51e99a55-bcdb-4d18-9484-6de4b142e09d,Mass,kg,,1.0
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,53b28283-1c71-358d-b5c6-d17d517d41ef,Mass,kg,,0.58
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,53b87932-00c8-4bf4-b519-ecd3c401ed4d,Mass,kg,,0.58
53f7be3f-ec33-35e3-89ca-13c3fb1096ab,56b7d3b6-83d7-42b0-a65b-5ad23e29db47,Mass,kg,,0.15
