LCIA category,Flow,Flow property,Flow unit,Location,Factor
5bbaf8e9-413c-4833-88ac-36313353aac3,0015315d-a2b8-4b72-8e60-0d34a72e6de8,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,004df49b-4eda-3cb1-90a2-6e9a46b30a2b,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,007cdd2d-15a3-3ac2-a4d4-2fcca5470dfa,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,01a0ee45-df98-4286-a8ee-fe5660c3177a,Mass,kg,,460000.0
5bbaf8e9-413c-4833-88ac-36313353aac3,02123b45-e308-3d70-8aae-b067a3f954d9,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,045f7de9-60d5-4916-a504-5a1002a6e97e,Mass,kg,,1.3E7
5bbaf8e9-413c-4833-88ac-36313353aac3,04f0ea76-c58a-35dd-845c-736e04d1006f,Mass,kg,,8.7E9
5bbaf8e9-413c-4833-88ac-36313353aac3,062b16a8-4a57-449e-b910-68544b788f0b,Mass,kg,,3.9E8
5bbaf8e9-413c-4833-88ac-36313353aac3,07400774-afd7-378b-bb32-ab131668bbae,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,0824026f-fcd6-31e9-bf7e-08b1828f8688,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,085a08c4-1f2d-4a59-8ce4-f0a99b78423c,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,089dde8e-85ac-4e2b-ba74-b57bfa9f5167,Mass,kg,,1.2E7
5bbaf8e9-413c-4833-88ac-36313353aac3,0985a2b2-b411-4c95-a955-1aa5bb64bd08,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,09d8c766-6f8f-3fc0-adbf-fbbd5aa3fae7,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,0aa7d355-7298-4aba-b1e8-f1586c7b1722,Mass,kg,,1.3E7
5bbaf8e9-413c-4833-88ac-36313353aac3,0b36a178-20eb-3bb3-96f9-68dfcc221cfd,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,0b94c0ee-b5f9-38ab-9c14-93f29549bea5,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,0bd71d44-d79d-3076-bd2b-6ada8d17f986,Mass,kg,,1.4E9
5bbaf8e9-413c-4833-88ac-36313353aac3,0cdb8d9c-0cb0-3cf9-8bd8-82fc2f88d647,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,0e6cf9f9-44ff-4395-ad3b-36109a32e6eb,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,0eae6018-d930-452a-82a0-e4190dd09794,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,0ef537eb-3efe-4415-9227-2d6f5638c971,Mass,kg,,1.0E8
5bbaf8e9-413c-4833-88ac-36313353aac3,0f6ee911-be57-4f78-a751-23b280b75767,Mass,kg,,3.9E8
5bbaf8e9-413c-4833-88ac-36313353aac3,0f90e2e5-25b4-331c-b501-bdf2fa7bebba,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,0f9f911f-b07a-36d4-a462-6f76a8c15f3c,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,0fb76844-e96f-34f5-b4c3-cbd87d5aafcc,Mass,kg,,1.4E9
5bbaf8e9-413c-4833-88ac-36313353aac3,10df31ce-d6ad-42b6-8fb2-9dfdb588e9ec,Mass,kg,,1.2E9
5bbaf8e9-413c-4833-88ac-36313353aac3,12b2bed8-2872-364f-8ebd-485a9f19e7c5,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,12c12a5e-847f-4a94-be3b-21f14ff429fe,Mass,kg,,0.0
5bbaf8e9-413c-4833-88ac-36313353aac3,12d71a52-ef6f-34f0-97fd-3ac4b538539e,Mass,kg,,0.0
