LCIA category,Flow,Flow property,Flow unit,Location,Factor
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,39000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0102958d-e9b8-30b2-b1b6-3b10ddba458f,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,019ad37a-2728-455e-aa8d-c921d26c3cc7,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0245b0e3-f250-3fac-aea1-26a7d949926d,Mass,kg,,140000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,025fcb20-0591-4bae-80fc-7c34e9af2e7b,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,04f42988-6207-4d09-a91f-155be8d27eb0,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,051aaf7a-6c1a-4e86-999f-85d5f0830df6,Mass,kg,,140000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0555dc8e-d8b3-4da1-afaa-a2144758d590,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,059e6a26-7035-4621-a360-c71c5778eec8,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,06911561-7da9-487c-adda-85e268d672af,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,06f0a67c-ec68-435d-8c32-0decd79a4a1a,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,07279b73-709f-4ac2-a9e1-82fbd01ce301,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0758fd39-21c0-3f92-bcbc-2f7ff3fc3a25,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,086f6b04-002c-49a0-9be8-2bad29a9c17a,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,08a91e70-3ddc-11dd-91be-0050c2490048,Mass,kg,,140000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,08a91e70-3ddc-11dd-9734-0050c2490048,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,08b928d8-1812-4e0b-b057-4bcaaba24865,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,09adf1e6-9c65-4d35-80ae-b22bc6d23660,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,09c332a9-1186-36ac-aa4e-3da3e002f29d,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,09db39be-d9a6-4fc3-8d25-1f80b23e9131,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0a07a739-e6cf-4716-87a8-1078afbd3f0f,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0b0d8098-ecbf-4020-afd6-4bcf9db686ce,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358,Mass,kg,,39000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0b7e10a8-6ca0-4a50-a39b-f2a019cb3610,Mass,kg,,39000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0b9698ec-8b52-4986-8f9f-ad30915aa00c,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0c209634-80bb-4909-8442-3189b7cb01d7,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0cc9c42e-7ebf-4f34-b90f-cc3f6b5aa9a6,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0d1d9119-44bf-4c8e-a878-cdc78fd888ae,Mass,kg,,11000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0d3ccb17-b3fe-4c08-b7cb-458ed3ababf1,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0d4989fd-00e3-4522-905f-2ab6a1bd5677,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0e7c1a7b-cd98-4f8d-a619-a687d3e2cb48,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0ea9b371-2c9a-3847-a7e1-160f4c44fee4,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0ebdb68a-f50d-4b0c-ad4b-3a1104d8b454,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Mass,kg,,67000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0f70e720-127e-44dc-bb85-438158235ab6,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,0f907765-2a94-48a8-8978-55a2757d3e24,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,10571d92-ea97-4ac6-adb6-b25893a631cb,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,108e9780-646b-448d-903b-609b3f65950b,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,10b69d7a-018d-44c6-9a5e-e67fc9475b86,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,10d26189-a688-4859-8aa9-525e058a07f0,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,1119e45c-6707-3b66-af94-f60114491671,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,1258b87f-6a94-4c0f-a51a-cef98a3bf534,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,12840cef-c3b8-4ef2-b7d4-3a73dbd6a280,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,12aeeb5b-15e4-49b9-aa5e-572d607e9a6e,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,137f2ebc-8f8b-41fc-9ff6-d32f42565d56,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,13d2fabe-9282-4905-9dfc-5c859022835c,Mass,kg,,21000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,13fb54aa-a54a-48de-b2ec-b9165dea111d,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,140f5c54-7965-420d-a5c1-0ed0f0671a55,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,142ce3b0-4bd6-47a3-9991-7c657c947ffe,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,1511586a-8f52-4e6b-bb46-78a0c083155f,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,16210d98-77fb-31c0-88b5-1659c4e6434c,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,16275eb6-362e-3eb1-b44e-cdb136a29a18,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,16410099-57c2-4ad8-928a-d8ec91f1684f,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,16521d00-4b6f-464f-b5dd-8da4a27b15ca,Mass,kg,,21000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,165aaeac-93d1-4afd-adf2-e3d6c0eaf629,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,16bb633b-6a05-4f1a-8bab-9f4c121df099,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,173b468a-3c3e-3981-a083-2f49e33787f9,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,1753af55-cfa1-4fb2-a059-33594a759982,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,175baa64-d985-4c5e-84ef-67cc3a1cf952,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,17a98e7f-a8fd-431d-9bb6-6c4bf3fc5517,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,17ab0ec3-6165-4b0d-aa90-165f6b7cd6cd,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,17f06f74-feea-4b7c-a125-a67ae6e1dcfb,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,17f7e776-7934-54af-8c3c-ed0247cb697b,Mass,kg,,59800.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,18282ab8-5b46-4c56-9038-588ed28a4a95,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,18ea247b-edc2-43fe-89bd-cedd04102bcc,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,193e6e89-72db-40e1-9a8e-19017ea0e5b4,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,194d7081-d8c8-3467-b3cb-3845e697ff37,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,1a13d6e7-45c9-427a-a3c9-38887ce7b86a,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,1a796dc4-5dcb-40da-a609-3a5a40655fad,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,1aa538b9-51eb-49fe-8904-de34e58945c7,Mass,kg,,11000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,1af44724-172c-462b-b277-bb4b2fd32c33,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,1b4810ed-4537-4cca-83ef-5af8a04668a7,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,1ccc25c5-f5c0-4deb-b34a-965ccbaa4caa,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,1cd24bc8-53b9-43e8-ad58-4438c9244a10,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,1ce92120-8acb-4e30-a97c-0b1ffd369b89,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,1d2439de-751b-469a-ba3e-fda8fe9802b2,Mass,kg,,14000.0
62c8f05d-3358-4ce1-a4c1-6dcc1fc0b2fe,1dc23713-5d50-3df2-9d1e-7701fa59fa39,Mass,kg,,14000.0
