LCIA category,Flow,Flow property,Flow unit,Location,Factor
6569512a-2c54-32d1-9da9-26b79e038bda,019ad37a-2728-455e-aa8d-c921d26c3cc7,Mass,kg,,0.059
6569512a-2c54-32d1-9da9-26b79e038bda,01cbac1c-545e-4692-a705-4f0be008723f,Mass,kg,,0.059
6569512a-2c54-32d1-9da9-26b79e038bda,025fcb20-0591-4bae-80fc-7c34e9af2e7b,Mass,kg,,0.0767
6569512a-2c54-32d1-9da9-26b79e038bda,02acaa38-8060-3589-82fb-7483dfe1df3c,Mass,kg,,0.04897
6569512a-2c54-32d1-9da9-26b79e038bda,0315d855-dff2-44af-bb37-1b855df53d69,Mass,kg,,0.1298
6569512a-2c54-32d1-9da9-26b79e038bda,033d3a16-e1a2-4ce8-8769-f4ea867801ca,Mass,kg,,6.49E-4
6569512a-2c54-32d1-9da9-26b79e038bda,03758df7-503a-400e-bc7b-ec05825761a5,Mass,kg,,6.49E-4
6569512a-2c54-32d1-9da9-26b79e038bda,04a6edb8-624a-484e-8f85-d771657adae7,Mass,kg,,6.49E-4
6569512a-2c54-32d1-9da9-26b79e038bda,04f42988-6207-4d09-a91f-155be8d27eb0,Mass,kg,,0.1121
6569512a-2c54-32d1-9da9-26b79e038bda,050da0cd-2957-45a9-ae7a-ace372083fe5,Mass,kg,,6.49E-4
6569512a-2c54-32d1-9da9-26b79e038bda,0555dc8e-d8b3-4da1-afaa-a2144758d590,Mass,kg,,0.059
6569512a-2c54-32d1-9da9-26b79e038bda,059e6a26-7035-4621-a360-c71c5778eec8,Mass,kg,,0.0649
6569512a-2c54-32d1-9da9-26b79e038bda,06911561-7da9-487c-adda-85e268d672af,Mass,kg,,0.04366
6569512a-2c54-32d1-9da9-26b79e038bda,06a4fedf-dab4-4ef1-90df-1d0ce8fe6477,Mass,kg,,6.49E-4
6569512a-2c54-32d1-9da9-26b79e038bda,06f0a67c-ec68-435d-8c32-0decd79a4a1a,Mass,kg,,0.0885
6569512a-2c54-32d1-9da9-26b79e038bda,07279b73-709f-4ac2-a9e1-82fbd01ce301,Mass,kg,,6.49E-4
6569512a-2c54-32d1-9da9-26b79e038bda,0795345f-c7ae-410c-ad25-1845784c75f5,Mass,kg,,0.029
6569512a-2c54-32d1-9da9-26b79e038bda,086f6b04-002c-49a0-9be8-2bad29a9c17a,Mass,kg,,0.118
6569512a-2c54-32d1-9da9-26b79e038bda,08a91e70-3ddc-11dd-9252-0050c2490048,Mass,kg,,0.004425
6569512a-2c54-32d1-9da9-26b79e038bda,08a91e70-3ddc-11dd-9734-0050c2490048,Mass,kg,,0.0708
6569512a-2c54-32d1-9da9-26b79e038bda,08b928d8-1812-4e0b-b057-4bcaaba24865,Mass,kg,,0.1121
6569512a-2c54-32d1-9da9-26b79e038bda,099b36ab-4c03-4587-87f4-2f81e337afb8,Mass,kg,,0.004425
6569512a-2c54-32d1-9da9-26b79e038bda,09adf1e6-9c65-4d35-80ae-b22bc6d23660,Mass,kg,,0.0944
6569512a-2c54-32d1-9da9-26b79e038bda,09c332a9-1186-36ac-aa4e-3da3e002f29d,Mass,kg,,0.04779
6569512a-2c54-32d1-9da9-26b79e038bda,09db39be-d9a6-4fc3-8d25-1f80b23e9131,Mass,kg,,0.03894
6569512a-2c54-32d1-9da9-26b79e038bda,09e231fa-b1c2-4d63-9c57-7ea0e2210858,Mass,kg,,6.49E-4
6569512a-2c54-32d1-9da9-26b79e038bda,0a07a739-e6cf-4716-87a8-1078afbd3f0f,Mass,kg,,0.0944
6569512a-2c54-32d1-9da9-26b79e038bda,0aa4a379-3db3-4aad-950c-1bc4a58c6519,Mass,kg,,0.1416
