LCIA category,Flow,Flow property,Flow unit,Location,Factor
6630c690-9848-3363-9720-5978af1aa02a,00e73fdb-98df-4a03-8290-79931cddfd12,Radioactivity,kBq,,6.0E-10
6630c690-9848-3363-9720-5978af1aa02a,046887e9-5de9-44c0-8461-3c6da8e9e4b1,Radioactivity,kBq,,1.8E-8
6630c690-9848-3363-9720-5978af1aa02a,0545c382-2312-43b6-9ec3-63dbb1438565,Mass,kg,,7.97E-6
6630c690-9848-3363-9720-5978af1aa02a,05bd7a83-0c53-4e95-b1eb-1140742f4176,Radioactivity,kBq,,2.4E-9
6630c690-9848-3363-9720-5978af1aa02a,08a91e70-3ddc-11dd-9f7b-0050c2490048,Mass,kg,,2.18E-4
6630c690-9848-3363-9720-5978af1aa02a,0bd4b5ea-feb6-47d4-a657-c5b33b26fded,Radioactivity,kBq,,2.4E-9
6630c690-9848-3363-9720-5978af1aa02a,0cdaaa7e-3c23-419d-8ad5-12dc93c2e1e3,Radioactivity,kBq,,7.2E-13
6630c690-9848-3363-9720-5978af1aa02a,0d1296aa-d946-3e5b-94a6-8dabb9a28dbe,Mass,kg,,7.97E-6
6630c690-9848-3363-9720-5978af1aa02a,106689fa-52d8-4f7d-aa5b-920122aaf1aa,Radioactivity,kBq,,2.4E-9
6630c690-9848-3363-9720-5978af1aa02a,13738d15-2256-40f6-99da-d802e5f4c747,Radioactivity,kBq,,6.0E-10
6630c690-9848-3363-9720-5978af1aa02a,13d898ac-b9be-4723-a153-565e2a9144ac,Mass,kg,,1.84E-5
6630c690-9848-3363-9720-5978af1aa02a,141ec03e-9ec3-4cfe-853d-37cc66e1c333,Radioactivity,kBq,,6.0E-10
6630c690-9848-3363-9720-5978af1aa02a,19256c0f-bea8-4e61-9499-8cc2f84953f8,Radioactivity,kBq,,5.1E-8
6630c690-9848-3363-9720-5978af1aa02a,1c02cff4-e852-489b-893c-d3ed30eb8ca5,Radioactivity,kBq,,3.6E-10
6630c690-9848-3363-9720-5978af1aa02a,1c5a7322-9261-4d59-a692-adde6c12de92,Mass,kg,,3.78E-5
6630c690-9848-3363-9720-5978af1aa02a,1f5330ac-e81c-45f2-8c9c-335b531faab0,Mass,kg,,1.84E-5
6630c690-9848-3363-9720-5978af1aa02a,22043b06-1981-45a5-bfbb-20ae6f253191,Radioactivity,kBq,,7.2E-13
6630c690-9848-3363-9720-5978af1aa02a,22d1736f-baa9-481e-9583-42654a6a7c26,Radioactivity,kBq,,1.8E-8
6630c690-9848-3363-9720-5978af1aa02a,23eaa36d-add4-4219-961e-ca7104dc0de9,Mass,kg,,3.78E-5
6630c690-9848-3363-9720-5978af1aa02a,284a896f-2aca-496e-9ab2-845525fbbc53,Radioactivity,kBq,,5.1E-8
6630c690-9848-3363-9720-5978af1aa02a,28be1d65-6b09-4ebd-8599-4366c3c2abab,Radioactivity,kBq,,1.2E-12
