LCIA category,Flow,Flow property,Flow unit,Location,Factor
6764d0f6-086c-3abb-b600-99fc8484bd01,007f79d8-5492-3378-a2cf-4de2cdd8a165,Mass,kg,,10.4
6764d0f6-086c-3abb-b600-99fc8484bd01,01918e03-46b5-4d15-9e48-01e3332859cc,Mass,kg,,41.6
6764d0f6-086c-3abb-b600-99fc8484bd01,024c9722-1e88-412b-8c4b-10c532be8dca,Mass,kg,,10.3
6764d0f6-086c-3abb-b600-99fc8484bd01,03599e77-3732-41ae-8d66-5e15c8bb34ba,Mass,kg,,27.5
6764d0f6-086c-3abb-b600-99fc8484bd01,0704ef18-e419-3d75-890a-6097e4aa894b,Mass,kg,,31.9
6764d0f6-086c-3abb-b600-99fc8484bd01,079339c7-49a2-3a17-9aa7-9b14b5c47560,Mass,kg,,43.3
6764d0f6-086c-3abb-b600-99fc8484bd01,08386c0e-decf-4125-8bde-dfd8c07bb798,Energy,MJ,,1.02
6764d0f6-086c-3abb-b600-99fc8484bd01,08d8474a-1b6a-42e4-b509-e9684d170ea1,Volume,m3,,34.4
6764d0f6-086c-3abb-b600-99fc8484bd01,0a0aa3d6-72c7-36d3-8a81-ed1056109de4,Mass,kg,,27.5
6764d0f6-086c-3abb-b600-99fc8484bd01,0e3139fc-4b5d-37e1-b328-2f4ae75b6482,Mass,kg,,18.7
6764d0f6-086c-3abb-b600-99fc8484bd01,0e652c80-3587-4af3-8c40-d6e6607f7ea8,Mass,kg,,42.6
6764d0f6-086c-3abb-b600-99fc8484bd01,116985c9-8bd9-3925-afbe-1127b16a7e1c,Volume,m3,,38987.0
6764d0f6-086c-3abb-b600-99fc8484bd01,17604ce7-783f-4f9e-be49-09ad847fa75d,Mass,kg,,44.0
6764d0f6-086c-3abb-b600-99fc8484bd01,17cbbbbd-bd78-325d-bd76-2b6fcf81faaf,Mass,kg,,31.9
6764d0f6-086c-3abb-b600-99fc8484bd01,17fe5abb-4e12-3050-b173-f1fa379c757e,Mass,kg,,42.6
6764d0f6-086c-3abb-b600-99fc8484bd01,1be19e70-468e-43dc-bfd0-f650dfb1db40,Mass,kg,,19.7
6764d0f6-086c-3abb-b600-99fc8484bd01,213fa9a5-5d8d-4990-9b38-f2c064161346,Mass,kg,,25.8
6764d0f6-086c-3abb-b600-99fc8484bd01,2b648e3c-dfe7-314d-8248-58d4e40656c1,Mass,kg,,41.6
6764d0f6-086c-3abb-b600-99fc8484bd01,3054566f-830a-3ffd-ad5b-cb8f12d18642,Mass,kg,,10.4
6764d0f6-086c-3abb-b600-99fc8484bd01,31334b63-ce85-3198-94a0-01b5cdb83bf2,Energy,MJ,,1.03
6764d0f6-086c-3abb-b600-99fc8484bd01,334b9535-0044-302f-965a-26e6167e7b60,Energy,MJ,,0.94
6764d0f6-086c-3abb-b600-99fc8484bd01,35009b58-7a33-41aa-a15e-95b37717842b,Volume,m3,,34.4
6764d0f6-086c-3abb-b600-99fc8484bd01,3a5a2032-f878-33dd-89d1-89272cb2d2dd,Mass,kg,,43.3
6764d0f6-086c-3abb-b600-99fc8484bd01,3e24fcde-b31f-3bb3-a3f4-8d2647e3690b,Energy,MJ,,1.02
6764d0f6-086c-3abb-b600-99fc8484bd01,3ed5f377-344f-423a-b5ec-9a9a1162b944,Volume,m3,,37.4
6764d0f6-086c-3abb-b600-99fc8484bd01,499c30fe-0313-39d2-81a5-4677ec647e7e,Mass,kg,,41.6
6764d0f6-086c-3abb-b600-99fc8484bd01,4eda4c18-fe9f-3ee8-9e9e-1132b8fe02f5,Mass,kg,,41.6
6764d0f6-086c-3abb-b600-99fc8484bd01,4fe0ec4c-3f18-360c-9f19-ee1cdef7aaa7,Mass,kg,,18.7
6764d0f6-086c-3abb-b600-99fc8484bd01,506689e7-7821-48e8-a12c-0ee9a3b9e6ee,Mass,kg,,30.5
6764d0f6-086c-3abb-b600-99fc8484bd01,52977b58-f9d3-411b-8620-0dc8d2d33cba,Mass,kg,,18.7
6764d0f6-086c-3abb-b600-99fc8484bd01,55031fb3-9c72-4bcc-b320-e190790bbc74,Mass,kg,,46.5
6764d0f6-086c-3abb-b600-99fc8484bd01,55c0da10-4977-3302-a190-63962ad16cbf,Mass,kg,,19.7
6764d0f6-086c-3abb-b600-99fc8484bd01,55e2d07c-aaf6-45e4-a512-9c6ab19e09f9,Mass,kg,,41.6
6764d0f6-086c-3abb-b600-99fc8484bd01,593de2c4-0be4-3445-b86a-40e25630b80d,Energy,MJ,,1.02
6764d0f6-086c-3abb-b600-99fc8484bd01,5bea06b9-bffe-484a-815c-ff5d934b911b,Mass,kg,,28.5
6764d0f6-086c-3abb-b600-99fc8484bd01,5cf8e94c-94ee-4a99-be6e-592cad4abba1,Mass,kg,,43.4
6764d0f6-086c-3abb-b600-99fc8484bd01,5d1c7444-561f-41a5-90bc-db10b6d47e19,Mass,kg,,43.3
6764d0f6-086c-3abb-b600-99fc8484bd01,5df3c6a9-a888-4b5d-9a94-f3f610d38756,Volume,m3,,32.0
6764d0f6-086c-3abb-b600-99fc8484bd01,5e94ceb8-e8ac-3a24-b02e-f24ad54a7393,Volume,m3,,37.4
6764d0f6-086c-3abb-b600-99fc8484bd01,65b57348-143d-3f95-9229-9c6999296d04,Energy,MJ,,1.02
6764d0f6-086c-3abb-b600-99fc8484bd01,6a85f9e5-cf4d-34c9-92ef-dd91b5d95b95,Energy,MJ,,1.05
6764d0f6-086c-3abb-b600-99fc8484bd01,6ce75e2f-5859-33d5-b738-84800e921a5f,Energy,MJ,,0.94
6764d0f6-086c-3abb-b600-99fc8484bd01,6ea27a5b-fb6d-489d-b874-90cca86a30c6,Volume,m3,,38987.0
6764d0f6-086c-3abb-b600-99fc8484bd01,7045c96d-7cef-33cf-8f3d-cf7198b6faab,Energy,MJ,,1.04
6764d0f6-086c-3abb-b600-99fc8484bd01,71e1cd1c-c0f1-35dd-b0d8-fbc23850d056,Mass,kg,,8.3
6764d0f6-086c-3abb-b600-99fc8484bd01,72b01564-92f0-4d8e-ba33-80c71b19b113,Volume,m3,,37.4
6764d0f6-086c-3abb-b600-99fc8484bd01,76f1e69d-4a81-3589-86a8-56bb42226342,Volume,m3,,38987.0
6764d0f6-086c-3abb-b600-99fc8484bd01,78f765aa-0178-3a2e-b72e-1a2c99779265,Volume,m3,,37.4
6764d0f6-086c-3abb-b600-99fc8484bd01,7ae371af-8532-11e0-9d78-0800200c9a66,Mass,kg,,27.5
6764d0f6-086c-3abb-b600-99fc8484bd01,7ae371b0-8532-11e0-9d78-0800200c9a66,Mass,kg,,31.9
6764d0f6-086c-3abb-b600-99fc8484bd01,7ae398b4-8532-11e0-9d78-0800200c9a66,Mass,kg,,44.0
6764d0f6-086c-3abb-b600-99fc8484bd01,7ae398bf-8532-11e0-9d78-0800200c9a66,Mass,kg,,42.6
6764d0f6-086c-3abb-b600-99fc8484bd01,7cbdcfba-7fe3-3178-bdf6-52d6d27a2dcd,Volume,m3,,32.9
6764d0f6-086c-3abb-b600-99fc8484bd01,7e196533-8ba1-354e-8a60-bb23ab44e794,Mass,kg,,45.0
6764d0f6-086c-3abb-b600-99fc8484bd01,7fe7f6f1-c9cb-4fe3-9322-a1194d5a7ce3,Mass,kg,,41.6
6764d0f6-086c-3abb-b600-99fc8484bd01,7ff56da9-d736-4903-b1ea-80ed85c5cfe0,Mass,kg,,10.4
6764d0f6-086c-3abb-b600-99fc8484bd01,7ff5e639-4e7e-4708-8947-c4d1c499d331,Mass,kg,,43.4
6764d0f6-086c-3abb-b600-99fc8484bd01,81b88765-3ac1-4206-a936-fec23c319ec1,Mass,kg,,28.5
6764d0f6-086c-3abb-b600-99fc8484bd01,88951df2-e064-468f-acd6-ae90c30b08ca,Mass,kg,,41.6
6764d0f6-086c-3abb-b600-99fc8484bd01,88d06db9-59a1-4719-9174-afeb1fa4026a,Mass,kg,,46.5
6764d0f6-086c-3abb-b600-99fc8484bd01,897eac83-f116-4c80-9264-38916e1877e3,Mass,kg,,42.6
6764d0f6-086c-3abb-b600-99fc8484bd01,8cdcb4a5-5f12-4dd2-9fa4-15663ae85528,Mass,kg,,46.8
6764d0f6-086c-3abb-b600-99fc8484bd01,8d846589-ed6a-3f95-ad4a-4bd969a36ffb,Energy,MJ,,1.05
6764d0f6-086c-3abb-b600-99fc8484bd01,968b74b0-8018-464a-9376-7d881851072a,Volume,m3,,32.9
6764d0f6-086c-3abb-b600-99fc8484bd01,9854e081-33dc-489d-aca2-d164c87220da,Volume,m3,,32.9
6764d0f6-086c-3abb-b600-99fc8484bd01,a23a7124-2817-421d-9a0f-6ed680978fde,Mass,kg,,25.8
6764d0f6-086c-3abb-b600-99fc8484bd01,a65e5f73-a72a-4bc8-a4e3-58bfaf33baaa,Mass,kg,,42.6
6764d0f6-086c-3abb-b600-99fc8484bd01,a816a3b7-0e97-43c4-992e-6a4028316699,Mass,kg,,44.0
6764d0f6-086c-3abb-b600-99fc8484bd01,a93979da-6c68-33b1-a5d3-a08b0388935e,Mass,kg,,8.3
6764d0f6-086c-3abb-b600-99fc8484bd01,a977e260-0b46-3dad-ae6e-d3db06fa7fef,Energy,MJ,,1.02
6764d0f6-086c-3abb-b600-99fc8484bd01,ab131c31-ecd8-462c-ace9-3c4e9a9213e3,Mass,kg,,27.5
6764d0f6-086c-3abb-b600-99fc8484bd01,b01c02f3-088d-3795-a608-0d83370582d2,Volume,m3,,32.9
6764d0f6-086c-3abb-b600-99fc8484bd01,b4502f91-3aba-4ab2-b495-7f124807c5d6,Mass,kg,,8.3
6764d0f6-086c-3abb-b600-99fc8484bd01,b612133f-0c68-4e67-a749-9c18f828df77,Mass,kg,,18.7
6764d0f6-086c-3abb-b600-99fc8484bd01,b6d0042d-0ef8-49ed-9162-a07ff1ccf750,Mass,kg,,19.7
6764d0f6-086c-3abb-b600-99fc8484bd01,b8b73d09-394b-4e05-8e08-6e77387dc2e4,Mass,kg,,46.8
6764d0f6-086c-3abb-b600-99fc8484bd01,ba92adb0-868f-37dc-9521-d7e25d11fe35,Mass,kg,,45.0
6764d0f6-086c-3abb-b600-99fc8484bd01,bb7aa805-00c6-416a-9e93-4ee7b33671da,Energy,MJ,,1.03
6764d0f6-086c-3abb-b600-99fc8484bd01,bcf19d0b-b0d3-332d-a510-848c4f55a5e2,Volume,m3,,32.9
6764d0f6-086c-3abb-b600-99fc8484bd01,c1a1cd50-d4e8-32da-8864-7f4565b4076b,Mass,kg,,42.6
6764d0f6-086c-3abb-b600-99fc8484bd01,c447e6a9-1e2e-343e-8b6d-6eee1a32e533,Mass,kg,,27.5
6764d0f6-086c-3abb-b600-99fc8484bd01,c5035ce2-5ee5-431f-a287-4b25da42be74,Mass,kg,,10.3
6764d0f6-086c-3abb-b600-99fc8484bd01,c5f0467d-ea04-49db-ae3a-ee4c90a0394e,Mass,kg,,10.3
6764d0f6-086c-3abb-b600-99fc8484bd01,c963b1c1-ef1f-33a0-9ce4-af41995e66ba,Energy,MJ,,1.04
6764d0f6-086c-3abb-b600-99fc8484bd01,cad92813-6ec8-35c0-855b-5f3864fa77c3,Volume,m3,,37.4
6764d0f6-086c-3abb-b600-99fc8484bd01,cec69965-a131-444d-94ed-a00677f6ef13,Mass,kg,,30.5
6764d0f6-086c-3abb-b600-99fc8484bd01,d273ad44-cce7-40c2-9fbe-77c7be2a66c3,Energy,MJ,,1.02
6764d0f6-086c-3abb-b600-99fc8484bd01,d508c71c-0761-421a-89e2-eb408051fe37,Mass,kg,,44.0
6764d0f6-086c-3abb-b600-99fc8484bd01,d8855b03-3e44-4f74-b72e-23a56de3b46b,Mass,kg,,27.5
6764d0f6-086c-3abb-b600-99fc8484bd01,dd4953b2-e6af-4006-942f-1b9ff1499572,Mass,kg,,43.3
6764d0f6-086c-3abb-b600-99fc8484bd01,dd9be6f3-3f38-3834-93b1-cf98b8f03d9e,Mass,kg,,8.3
