LCIA category,Flow,Flow property,Flow unit,Location,Factor
6827e043-b809-3a5c-825e-7ad31ce9c7bf,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,0.00722
6827e043-b809-3a5c-825e-7ad31ce9c7bf,0245b0e3-f250-3fac-aea1-26a7d949926d,Mass,kg,,0.228
6827e043-b809-3a5c-825e-7ad31ce9c7bf,051aaf7a-6c1a-4e86-999f-85d5f0830df6,Mass,kg,,1.0
6827e043-b809-3a5c-825e-7ad31ce9c7bf,0832fdde-5b8c-4020-a88f-4d50af37d8fd,Mass,kg,,0.0
6827e043-b809-3a5c-825e-7ad31ce9c7bf,08a91e70-3ddc-11dd-91be-0050c2490048,Mass,kg,,0.228
6827e043-b809-3a5c-825e-7ad31ce9c7bf,08a91e70-3ddc-11dd-9252-0050c2490048,Mass,kg,,3.56E-4
6827e043-b809-3a5c-825e-7ad31ce9c7bf,099b36ab-4c03-4587-87f4-2f81e337afb8,Mass,kg,,2.33E-4
6827e043-b809-3a5c-825e-7ad31ce9c7bf,0b7e10a8-6ca0-4a50-a39b-f2a019cb3610,Mass,kg,,0.00722
6827e043-b809-3a5c-825e-7ad31ce9c7bf,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Mass,kg,,0.0667
6827e043-b809-3a5c-825e-7ad31ce9c7bf,1275ddeb-f87b-3f52-94a4-1eb8e2ac6c06,Mass,kg,,0.0611
6827e043-b809-3a5c-825e-7ad31ce9c7bf,13825fb9-6e24-409a-bfcd-5dc4fd61ef98,Mass,kg,,0.0489
6827e043-b809-3a5c-825e-7ad31ce9c7bf,16521d00-4b6f-464f-b5dd-8da4a27b15ca,Mass,kg,,0.0611
6827e043-b809-3a5c-825e-7ad31ce9c7bf,17f7e776-7934-54af-8c3c-ed0247cb697b,Mass,kg,,0.0111
6827e043-b809-3a5c-825e-7ad31ce9c7bf,1eb1b94c-e9d8-47ab-969b-9cca920157d8,Mass,kg,,0.0
6827e043-b809-3a5c-825e-7ad31ce9c7bf,20267798-78eb-3957-a510-19ebf3525a9e,Mass,kg,,0.228
6827e043-b809-3a5c-825e-7ad31ce9c7bf,2071631d-7d90-4040-ac40-1829af0bd3c2,Mass,kg,,0.228
6827e043-b809-3a5c-825e-7ad31ce9c7bf,21e46cb8-6233-4c99-bac3-c41d2ab99498,Mass,kg,,1.0
6827e043-b809-3a5c-825e-7ad31ce9c7bf,230d8a0a-517c-43fe-8357-1818dd12997a,Mass,kg,,3.33
6827e043-b809-3a5c-825e-7ad31ce9c7bf,252c2e43-c6e3-3010-b045-72aa0e172abb,Mass,kg,,0.0
6827e043-b809-3a5c-825e-7ad31ce9c7bf,295c9740-6fdb-4676-9eb8-15e3786f713d,Mass,kg,,0.0
6827e043-b809-3a5c-825e-7ad31ce9c7bf,2b50f643-216a-412b-a0e5-5946867aa2ed,Mass,kg,,0.0667
6827e043-b809-3a5c-825e-7ad31ce9c7bf,2cb2333c-1599-46cf-8435-3dffce627524,Mass,kg,,3.56E-4
6827e043-b809-3a5c-825e-7ad31ce9c7bf,32295152-7da7-47cb-b4a2-60ca4f246a80,Mass,kg,,0.406
6827e043-b809-3a5c-825e-7ad31ce9c7bf,3268d8df-59cc-4740-a89f-dee8355ad7c3,Mass,kg,,0.0489
6827e043-b809-3a5c-825e-7ad31ce9c7bf,4490af97-53d7-4849-aa85-34b5a50e516b,Mass,kg,,0.00722
6827e043-b809-3a5c-825e-7ad31ce9c7bf,4841a0fe-c250-4a39-94a1-1bc31426c0f1,Mass,kg,,0.00722
