LCIA category,Flow,Flow property,Flow unit,Location,Factor
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,1c5a7322-9261-4d59-a692-adde6c12de92,Mass,kg,,4.6E8
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,23eaa36d-add4-4219-961e-ca7104dc0de9,Mass,kg,,4.6E8
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,2718482b-8399-442e-b89a-52fbcc22d2e6,Mass,kg,,2.2E7
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,36e53653-1338-42c7-816c-f6667809e0b1,Mass,kg,,4.6E8
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,3def807a-5e19-38d1-9cae-5b2034b907f1,Mass,kg,,4.6E8
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,48aa661d-be05-4c24-94fe-8d6feb3dcb31,Mass,kg,,2.1E8
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,5ce378a0-b48d-471c-977d-79681521efde,Mass,kg,,5600000.0
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,5ec9c16a-959d-44cd-be7d-a935727d2151,Mass,kg,,2.1E8
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,656d6498-56ca-31b6-bc6a-5a24421b38be,Mass,kg,,2.1E8
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,6a903634-c97f-4c49-a7c0-88f0e6ac7a23,Mass,kg,,2.2E7
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,71234253-b3a7-4dfe-b166-a484ad15bee7,Mass,kg,,2.1E8
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,748f22a9-eba4-4726-bef5-92c7442ce189,Mass,kg,,5600000.0
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,87a69874-34f9-4070-a525-aa301ab2634b,Mass,kg,,5600000.0
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,8e123669-94d3-41d8-9480-a79211fe7c43,Mass,kg,,2.2E7
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,8f4bc5b2-fd6c-3a8e-be37-d211b126e6ba,Mass,kg,,5600000.0
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,8f871bab-96dc-49d9-bf08-12cdd0715901,Mass,kg,,5600000.0
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,9ee7f4ab-b826-47ae-8623-e138f944b42e,Mass,kg,,2.2E7
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,a850e6de-a007-432f-be7f-ce6e2cf1f2ae,Mass,kg,,2.1E8
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,ada3ecfe-8244-4389-bcce-e83ca4f66e09,Mass,kg,,5600000.0
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,dc90db73-6f27-403d-baf1-cb7e0b6cae31,Mass,kg,,2.1E8
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,dd1bbaa1-d1f1-4584-aeb2-6f02bfb04e87,Mass,kg,,4.6E8
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3,Mass,kg,,4.6E8
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,fc4d79d7-9795-3307-b821-ee668a08a9e4,Mass,kg,,2.2E7
6ae8ae2c-5403-4aaf-a3b2-25a9a63f1e94,fe4613d7-1ed8-427d-9b06-c8e8f4f5e1b1,Mass,kg,,2.2E7
