LCIA category,Flow,Flow property,Flow unit,Location,Factor
6c05dad1-6661-35f2-82aa-6e8e6a498aec,002bb7b8-b4a0-395f-b4bf-ca035a674504,Mass,kg,,0.55
6c05dad1-6661-35f2-82aa-6e8e6a498aec,02033840-8e44-3d26-8d27-fe66571d2076,Mass,kg,,0.12
6c05dad1-6661-35f2-82aa-6e8e6a498aec,033d3a16-e1a2-4ce8-8769-f4ea867801ca,Mass,kg,,0.12
6c05dad1-6661-35f2-82aa-6e8e6a498aec,04a6edb8-624a-484e-8f85-d771657adae7,Mass,kg,,0.04
6c05dad1-6661-35f2-82aa-6e8e6a498aec,050da0cd-2957-45a9-ae7a-ace372083fe5,Mass,kg,,0.02
6c05dad1-6661-35f2-82aa-6e8e6a498aec,06a4fedf-dab4-4ef1-90df-1d0ce8fe6477,Mass,kg,,7.1
6c05dad1-6661-35f2-82aa-6e8e6a498aec,073ea938-209b-3fa3-a4f4-40eba1cc2538,Mass,kg,,1.0
6c05dad1-6661-35f2-82aa-6e8e6a498aec,09e231fa-b1c2-4d63-9c57-7ea0e2210858,Mass,kg,,0.51
6c05dad1-6661-35f2-82aa-6e8e6a498aec,0b26415b-0c56-39d1-97b8-59b0e352ecb6,Mass,kg,,0.0155
6c05dad1-6661-35f2-82aa-6e8e6a498aec,0bf92802-8b5e-43f5-a261-95c06bd5c551,Mass,kg,,0.022
6c05dad1-6661-35f2-82aa-6e8e6a498aec,0d130d94-3e5d-3e5a-943d-38edb6ab26af,Mass,kg,,5.6
6c05dad1-6661-35f2-82aa-6e8e6a498aec,0d1b1bca-6259-36a6-9400-75108da710af,Mass,kg,,1.15
6c05dad1-6661-35f2-82aa-6e8e6a498aec,0d20183a-fb02-358f-b629-1bf6854d4caf,Mass,kg,,0.65
6c05dad1-6661-35f2-82aa-6e8e6a498aec,0d3d6e85-9e63-3ad0-953f-cc7d18896dd9,Mass,kg,,0.05
6c05dad1-6661-35f2-82aa-6e8e6a498aec,0e245d81-9cc2-3342-8297-cedce3866ec9,Mass,kg,,0.12
6c05dad1-6661-35f2-82aa-6e8e6a498aec,0f70e720-127e-44dc-bb85-438158235ab6,Mass,kg,,0.2
6c05dad1-6661-35f2-82aa-6e8e6a498aec,1013b9ec-a7b5-459c-be3d-74f61b9ce06e,Mass,kg,,1.0
6c05dad1-6661-35f2-82aa-6e8e6a498aec,103d8357-d2aa-340d-8e2a-495999d07725,Mass,kg,,0.9
6c05dad1-6661-35f2-82aa-6e8e6a498aec,12bb7ba6-0cb3-39bb-b920-a7aef7adb5ce,Mass,kg,,0.12
6c05dad1-6661-35f2-82aa-6e8e6a498aec,14d4c279-6c6c-33e8-b581-ad6fce1be396,Mass,kg,,0.9
6c05dad1-6661-35f2-82aa-6e8e6a498aec,1584734d-c5c8-42a5-aa51-0f6a92a9cc0d,Mass,kg,,1.0
6c05dad1-6661-35f2-82aa-6e8e6a498aec,15e54d5b-aba2-40a6-9aa8-aa2b8c432129,Mass,kg,,0.44
6c05dad1-6661-35f2-82aa-6e8e6a498aec,1652c2e3-c6c5-49e1-9ad1-34c188087ca6,Mass,kg,,0.07
6c05dad1-6661-35f2-82aa-6e8e6a498aec,18c582fe-7336-4138-8797-2db8b7a754c7,Mass,kg,,0.05
6c05dad1-6661-35f2-82aa-6e8e6a498aec,18ddd879-5496-4419-8ab7-e0d3864d977d,Mass,kg,,16.0
6c05dad1-6661-35f2-82aa-6e8e6a498aec,18ea247b-edc2-43fe-89bd-cedd04102bcc,Mass,kg,,0.2
6c05dad1-6661-35f2-82aa-6e8e6a498aec,1c6084c6-f1f4-448f-badf-2ed8c7e354ee,Mass,kg,,0.02
6c05dad1-6661-35f2-82aa-6e8e6a498aec,1e060d5a-cd41-4f30-9c93-272403b7e004,Mass,kg,,1.0
6c05dad1-6661-35f2-82aa-6e8e6a498aec,1e72eb34-4c81-30cb-bc41-d38690ae10ea,Mass,kg,,0.047
6c05dad1-6661-35f2-82aa-6e8e6a498aec,204b9944-9ca6-36c7-9a24-2c490db2f84f,Mass,kg,,1.0
6c05dad1-6661-35f2-82aa-6e8e6a498aec,23a9f33d-dbab-4fcc-8f49-1df731b0b827,Mass,kg,,1.0
6c05dad1-6661-35f2-82aa-6e8e6a498aec,246c87af-4495-4977-8d39-eae397c1c8f1,Mass,kg,,0.2
6c05dad1-6661-35f2-82aa-6e8e6a498aec,26991da1-c263-4707-9f85-78685acc94dc,Mass,kg,,0.05
6c05dad1-6661-35f2-82aa-6e8e6a498aec,2775ee96-5717-3509-bca1-3a33e0f799bb,Mass,kg,,0.0225
6c05dad1-6661-35f2-82aa-6e8e6a498aec,27d2f953-2b01-371b-a5dc-0e96024e017c,Mass,kg,,0.045
6c05dad1-6661-35f2-82aa-6e8e6a498aec,27f61651-96a5-45c7-9873-832626cf6905,Mass,kg,,0.022
6c05dad1-6661-35f2-82aa-6e8e6a498aec,2849950e-a427-4f15-b5e9-d2f0362e5cd3,Mass,kg,,11.5
6c05dad1-6661-35f2-82aa-6e8e6a498aec,2b1a0576-ae3b-3ca4-9031-9483c6fad665,Mass,kg,,0.0165
6c05dad1-6661-35f2-82aa-6e8e6a498aec,2cbc6042-2cee-4668-8017-d7f805d9029e,Mass,kg,,0.02
6c05dad1-6661-35f2-82aa-6e8e6a498aec,2fff3bda-1eec-4166-9969-bc9e757c8e8e,Mass,kg,,0.02
6c05dad1-6661-35f2-82aa-6e8e6a498aec,30533fd3-b19c-44fc-9a88-fb6b12409b47,Mass,kg,,0.44
6c05dad1-6661-35f2-82aa-6e8e6a498aec,30e822f2-88ab-35ec-a32f-c0123115a668,Mass,kg,,1.0
6c05dad1-6661-35f2-82aa-6e8e6a498aec,31a3e44c-4098-461e-aba2-f79540e05087,Mass,kg,,1.0
6c05dad1-6661-35f2-82aa-6e8e6a498aec,31f8976a-6f7d-487e-a850-eb495dbf0351,Mass,kg,,1.0
6c05dad1-6661-35f2-82aa-6e8e6a498aec,33a69662-583b-45b8-8cb9-94f59fca9133,Mass,kg,,1.0
6c05dad1-6661-35f2-82aa-6e8e6a498aec,34ad6e86-9e64-3871-b185-cf5f863e9e89,Mass,kg,,0.435
6c05dad1-6661-35f2-82aa-6e8e6a498aec,34de4196-871a-4db8-a182-589ab780a935,Mass,kg,,0.04
