LCIA category,Flow,Flow property,Flow unit,Location,Factor
6d496006-362c-30fe-a634-ab12a3ceb382,07f704a2-2746-4364-bcfd-606cefc30715,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,152e5a83-96e8-4f54-af42-4f0925a771ac,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,1fdca295-07cb-4797-8fc8-2bd8ba79514f,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,3d3321d4-8082-4e31-a4be-6c9789f8701d,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,6c25a476-4506-4003-8f8e-567eebfa27ae,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,7966394e-6a5b-4069-97a1-1b99f8b7bcb0,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,9b83f2bb-7d61-4e55-b37a-443f164c5f30,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,a0db2cd9-48ae-4f4b-a3ef-98c94038f9e1,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,a649f89b-2e2a-48e9-9677-b85b4cbcc30c,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,b411ec8b-c60a-4235-a3b2-8bf8443cbc55,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,c377b25d-c52c-4b0f-aa2a-8c51ff1dab31,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,d49843c0-1a40-462f-bebc-a4d0e8573e7e,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,dab33577-e9d4-4f6d-b141-a456521d4c1b,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,dca43ede-b779-47a7-b2e7-cb4e7b12c3da,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,dfbe093a-f470-4ae7-a207-50444f1f23f1,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,e8a4b3be-2907-4992-895f-f9cddf5c9d32,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,ef7b0b7e-16e2-4e14-af28-94d9dd3c675d,Energy,MJ,,1.0
6d496006-362c-30fe-a634-ab12a3ceb382,f2d84834-d0b3-42e5-b41a-f04cc80337a4,Energy,MJ,,1.0
