LCIA category,Flow,Flow property,Flow unit,Location,Factor
75d0c8a2-e466-3bd7-813b-5beef2209330,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,0.7
75d0c8a2-e466-3bd7-813b-5beef2209330,0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358,Mass,kg,,1.88
75d0c8a2-e466-3bd7-813b-5beef2209330,0b7e10a8-6ca0-4a50-a39b-f2a019cb3610,Mass,kg,,0.7
75d0c8a2-e466-3bd7-813b-5beef2209330,0c143a06-6761-3c47-8006-ffcad7b58a10,Mass,kg,,1.0
75d0c8a2-e466-3bd7-813b-5beef2209330,0d1d9119-44bf-4c8e-a878-cdc78fd888ae,Mass,kg,,0.51
75d0c8a2-e466-3bd7-813b-5beef2209330,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Mass,kg,,1.88
75d0c8a2-e466-3bd7-813b-5beef2209330,1275ddeb-f87b-3f52-94a4-1eb8e2ac6c06,Mass,kg,,1.0
75d0c8a2-e466-3bd7-813b-5beef2209330,13825fb9-6e24-409a-bfcd-5dc4fd61ef98,Mass,kg,,0.8
75d0c8a2-e466-3bd7-813b-5beef2209330,13d2fabe-9282-4905-9dfc-5c859022835c,Mass,kg,,0.98
75d0c8a2-e466-3bd7-813b-5beef2209330,16521d00-4b6f-464f-b5dd-8da4a27b15ca,Mass,kg,,1.0
75d0c8a2-e466-3bd7-813b-5beef2209330,17f7e776-7934-54af-8c3c-ed0247cb697b,Mass,kg,,1.07
75d0c8a2-e466-3bd7-813b-5beef2209330,1aa538b9-51eb-49fe-8904-de34e58945c7,Mass,kg,,0.51
75d0c8a2-e466-3bd7-813b-5beef2209330,20d4d821-f4f7-4017-8810-f822fcdf619e,Mass,kg,,1.88
75d0c8a2-e466-3bd7-813b-5beef2209330,2257e9f9-f38c-494b-b99f-f49b4768b4b9,Mass,kg,,0.98
75d0c8a2-e466-3bd7-813b-5beef2209330,24541c8c-9f11-49ae-9de5-456f238a3f5e,Mass,kg,,1.6
