LCIA category,Flow,Flow property,Flow unit,Location,Factor
766da352-c0c5-378c-9a08-af9bbb5fe0fa,0008f382-604e-3f6d-ae1a-68e836ef6030,Mass,kg,,0.119
766da352-c0c5-378c-9a08-af9bbb5fe0fa,00143719-33a7-5738-aa1b-131f97b4fef3,Mass,kg,,0.099
766da352-c0c5-378c-9a08-af9bbb5fe0fa,00c2f545-3440-3ef0-af8c-bc9174f6f976,Mass,kg,,0.024
766da352-c0c5-378c-9a08-af9bbb5fe0fa,0124b342-4bdd-5cbf-ba2a-dce8a259755c,Mass,kg,,0.74
766da352-c0c5-378c-9a08-af9bbb5fe0fa,02d3f72f-0497-3d01-8235-797d923687d2,Mass,kg,,0.119
766da352-c0c5-378c-9a08-af9bbb5fe0fa,0305b169-255d-4041-8f5d-6e095bcb6358,Mass,kg,,0.0391
766da352-c0c5-378c-9a08-af9bbb5fe0fa,05a7548c-51aa-35d7-bfc9-dc95fcbb5218,Mass,kg,,35.4
766da352-c0c5-378c-9a08-af9bbb5fe0fa,06874cbb-2daf-4981-a55e-2c38be5b7277,Mass,kg,,6.75
766da352-c0c5-378c-9a08-af9bbb5fe0fa,0878c1c6-4c1d-4f90-a2de-a9383855d5c6,Mass,kg,,19.4
766da352-c0c5-378c-9a08-af9bbb5fe0fa,08a91e70-3ddc-11dd-96d2-0050c2490048,Mass,kg,,1.2
766da352-c0c5-378c-9a08-af9bbb5fe0fa,08a91e70-3ddc-11dd-97f9-0050c2490048,Mass,kg,,0.00527
766da352-c0c5-378c-9a08-af9bbb5fe0fa,08a91e70-3ddc-11dd-a0f6-0050c2490048,Mass,kg,,0.74
766da352-c0c5-378c-9a08-af9bbb5fe0fa,094ded20-e873-4338-8d81-b570a1d65acc,Mass,kg,,0.0267
766da352-c0c5-378c-9a08-af9bbb5fe0fa,095dbf93-42f8-4aa6-a6df-2e3d1461ad0d,Mass,kg,,12.2
766da352-c0c5-378c-9a08-af9bbb5fe0fa,0995f4ad-2655-43a3-b98e-65d08af753a5,Mass,kg,,0.668
