LCIA category,Flow,Flow property,Flow unit,Location,Factor
7a149078-e2fd-3e07-a5a3-79035c60e7c3,00246806-f5f5-3614-90c0-0377f1d1cb25,Mass,kg,,5.494384615
7a149078-e2fd-3e07-a5a3-79035c60e7c3,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,16.84533333
7a149078-e2fd-3e07-a5a3-79035c60e7c3,00503156-94b0-3390-b8c6-f43770c686d2,Mass,kg,,3.823974359
7a149078-e2fd-3e07-a5a3-79035c60e7c3,00771485-9c9c-38e5-b4b3-07c18cc1a4bc,Mass,kg,,3.055846154
7a149078-e2fd-3e07-a5a3-79035c60e7c3,00829c9d-ceee-4ef5-89ca-38240168046c,Mass,kg,,1.268735897
7a149078-e2fd-3e07-a5a3-79035c60e7c3,00adedbf-7558-3edc-a3dd-1741278d006d,Mass,kg,,0.469112821
7a149078-e2fd-3e07-a5a3-79035c60e7c3,00b8c5b8-8f45-445f-839c-2017fe3ad8b8,Mass,kg,,2.411179487
7a149078-e2fd-3e07-a5a3-79035c60e7c3,00bbff15-d2a7-3808-9986-951832877a52,Mass,kg,,0.353212821
7a149078-e2fd-3e07-a5a3-79035c60e7c3,00c3813f-e4ea-3f62-824e-69d0f4813d52,Mass,kg,,5.494384615
7a149078-e2fd-3e07-a5a3-79035c60e7c3,0102958d-e9b8-30b2-b1b6-3b10ddba458f,Mass,kg,,1.345428205
7a149078-e2fd-3e07-a5a3-79035c60e7c3,01049e53-27d6-4188-9d38-f4fafe5cc7a4,Mass,kg,,2.637410256
7a149078-e2fd-3e07-a5a3-79035c60e7c3,0104c6dc-976f-3262-be85-c1ef1861e7b3,Mass,kg,,0.069317692
7a149078-e2fd-3e07-a5a3-79035c60e7c3,010948de-d5ca-327d-b997-22d25e8a9b0a,Mass,kg,,2.123641026
7a149078-e2fd-3e07-a5a3-79035c60e7c3,0186a49f-3b9c-3bd8-8cd5-1ccf563e7c29,Mass,kg,,2.57525641
7a149078-e2fd-3e07-a5a3-79035c60e7c3,01d4fd87-e724-3ffe-a299-9ff613e82029,Mass,kg,,1.148489744
7a149078-e2fd-3e07-a5a3-79035c60e7c3,01eb30d9-cc30-3072-8dda-1232631b7808,Mass,kg,,5.433333333
7a149078-e2fd-3e07-a5a3-79035c60e7c3,01ed57ac-7d22-3db5-9868-37029c0991e4,Mass,kg,,1.036625641
7a149078-e2fd-3e07-a5a3-79035c60e7c3,021694e8-02a3-3bde-bb13-d84ac1c3bdfe,Mass,kg,,1.218082051
7a149078-e2fd-3e07-a5a3-79035c60e7c3,025560af-dab6-3f57-8547-083a2700e3f4,Mass,kg,,1.669587179
7a149078-e2fd-3e07-a5a3-79035c60e7c3,025fcb20-0591-4bae-80fc-7c34e9af2e7b,Mass,kg,,1.074415385
7a149078-e2fd-3e07-a5a3-79035c60e7c3,02608d84-834b-3cbe-9d68-e2b8cd84390d,Mass,kg,,0.808720513
7a149078-e2fd-3e07-a5a3-79035c60e7c3,028ed163-fb2b-3780-a1f0-7d183dbf0703,Mass,kg,,4.229358974
7a149078-e2fd-3e07-a5a3-79035c60e7c3,02acaa38-8060-3589-82fb-7483dfe1df3c,Mass,kg,,0.622874359
7a149078-e2fd-3e07-a5a3-79035c60e7c3,0315d855-dff2-44af-bb37-1b855df53d69,Mass,kg,,12.61210256
7a149078-e2fd-3e07-a5a3-79035c60e7c3,03608265-096b-39be-9dc6-d4cf8b0cf7eb,Mass,kg,,0.814174359
