LCIA category,Flow,Flow property,Flow unit,Location,Factor
7ae7d8a6-9eab-4d0d-bd9b-5570ff7584f3,0a5e8a67-f9ae-48b3-bfa7-e9d37c30a191,Mass,kg,,0.0
7ae7d8a6-9eab-4d0d-bd9b-5570ff7584f3,12d6029e-3801-42ee-a1bc-1ebf936884fc,Mass,kg,,2.7E8
7ae7d8a6-9eab-4d0d-bd9b-5570ff7584f3,237ca6bc-2f0a-4416-a0e3-bd512f038f2e,Mass,kg,,1.4E7
7ae7d8a6-9eab-4d0d-bd9b-5570ff7584f3,4010918f-7fd0-4925-8fbb-8fd7a44a806c,Mass,kg,,1.7E7
7ae7d8a6-9eab-4d0d-bd9b-5570ff7584f3,44d3e792-7c9e-48ab-9de9-acfa2e097f26,Mass,kg,,1.4E7
7ae7d8a6-9eab-4d0d-bd9b-5570ff7584f3,67652827-017f-4856-8d0a-c97bac4c6562,Mass,kg,,0.0
7ae7d8a6-9eab-4d0d-bd9b-5570ff7584f3,739234c8-5359-48b4-983f-9cb170d68c8d,Mass,kg,,1.7E7
7ae7d8a6-9eab-4d0d-bd9b-5570ff7584f3,77887584-ddca-4920-952c-3609730e0c13,Mass,kg,,2800000.0
7ae7d8a6-9eab-4d0d-bd9b-5570ff7584f3,7e66a41c-d311-4949-bdd8-eef09cdcfa47,Mass,kg,,1.4E7
7ae7d8a6-9eab-4d0d-bd9b-5570ff7584f3,837083ce-41cd-49f3-a849-d79564dac238,Mass,kg,,1.7E7
7ae7d8a6-9eab-4d0d-bd9b-5570ff7584f3,84aa799e-9d98-4d34-85e0-516d28ab1be9,Mass,kg,,2800000.0
7ae7d8a6-9eab-4d0d-bd9b-5570ff7584f3,89721e33-60fa-4447-bfc6-2f27d44a7893,Mass,kg,,0.0
7ae7d8a6-9eab-4d0d-bd9b-5570ff7584f3,8d226423-1351-4366-b09f-d16c9e38683c,Mass,kg,,2800000.0
7ae7d8a6-9eab-4d0d-bd9b-5570ff7584f3,b03642f4-8fa3-44df-ba91-7bcf5677d9a7,Mass,kg,,2.7E8
7ae7d8a6-9eab-4d0d-bd9b-5570ff7584f3,b88999ec-84fd-462d-9dec-7e20a4636a58,Mass,kg,,0.0
7ae7d8a6-9eab-4d0d-bd9b-5570ff7584f3,e429b852-e421-4fcb-8a9b-b0241863bfb2,Mass,kg,,2.7E8
