LCIA category,Flow,Flow property,Flow unit,Location,Factor
7bdd3631-91bb-4679-9337-3320637a12df,00e73fdb-98df-4a03-8290-79931cddfd12,Radioactivity,kBq,,5.7E-6
7bdd3631-91bb-4679-9337-3320637a12df,033fb239-a6c7-4486-9f92-f5a80b346778,Radioactivity,kBq,,1.6E-6
7bdd3631-91bb-4679-9337-3320637a12df,03e91172-fca0-47f3-9014-22ae3136251b,Radioactivity,kBq,,6.1E-7
7bdd3631-91bb-4679-9337-3320637a12df,046887e9-5de9-44c0-8461-3c6da8e9e4b1,Radioactivity,kBq,,1.7E-4
7bdd3631-91bb-4679-9337-3320637a12df,05bd7a83-0c53-4e95-b1eb-1140742f4176,Radioactivity,kBq,,0.0036
7bdd3631-91bb-4679-9337-3320637a12df,0bd4b5ea-feb6-47d4-a657-c5b33b26fded,Radioactivity,kBq,,0.0036
7bdd3631-91bb-4679-9337-3320637a12df,0cdaaa7e-3c23-419d-8ad5-12dc93c2e1e3,Radioactivity,kBq,,5.4E-8
7bdd3631-91bb-4679-9337-3320637a12df,0d6def86-f116-4da2-9f2f-c3d9dab2248d,Radioactivity,kBq,,8.0E-5
7bdd3631-91bb-4679-9337-3320637a12df,0eca2efa-6bc8-40c9-9721-84f53d3ca94b,Radioactivity,kBq,,3.6E-8
7bdd3631-91bb-4679-9337-3320637a12df,106689fa-52d8-4f7d-aa5b-920122aaf1aa,Radioactivity,kBq,,0.0036
7bdd3631-91bb-4679-9337-3320637a12df,13738d15-2256-40f6-99da-d802e5f4c747,Radioactivity,kBq,,5.7E-6
7bdd3631-91bb-4679-9337-3320637a12df,141ec03e-9ec3-4cfe-853d-37cc66e1c333,Radioactivity,kBq,,5.7E-6
7bdd3631-91bb-4679-9337-3320637a12df,14ee3991-b63b-47bc-989f-0f4db81f7c72,Radioactivity,kBq,,3.2E-4
7bdd3631-91bb-4679-9337-3320637a12df,1551f1cd-7cb7-4f68-a628-cb9301323c7b,Radioactivity,kBq,,9.1E-8
7bdd3631-91bb-4679-9337-3320637a12df,16e15fb4-aee8-42b8-a303-70d61a9b723a,Radioactivity,kBq,,6.1E-5
7bdd3631-91bb-4679-9337-3320637a12df,18bcb736-db8a-445c-ba28-ca648838a1a0,Radioactivity,kBq,,9.1E-8
7bdd3631-91bb-4679-9337-3320637a12df,19256c0f-bea8-4e61-9499-8cc2f84953f8,Radioactivity,kBq,,8.0E-4
7bdd3631-91bb-4679-9337-3320637a12df,19ff96c2-6796-44e3-ab85-3635e8cb7e89,Radioactivity,kBq,,6.1E-7
7bdd3631-91bb-4679-9337-3320637a12df,1c02cff4-e852-489b-893c-d3ed30eb8ca5,Radioactivity,kBq,,3.4E-6
7bdd3631-91bb-4679-9337-3320637a12df,22043b06-1981-45a5-bfbb-20ae6f253191,Radioactivity,kBq,,5.4E-8
7bdd3631-91bb-4679-9337-3320637a12df,22d1736f-baa9-481e-9583-42654a6a7c26,Radioactivity,kBq,,1.7E-4
7bdd3631-91bb-4679-9337-3320637a12df,284a896f-2aca-496e-9ab2-845525fbbc53,Radioactivity,kBq,,8.0E-4
7bdd3631-91bb-4679-9337-3320637a12df,285188e4-9b50-4916-a2bd-e7ce44354a88,Radioactivity,kBq,,2.4E-5
7bdd3631-91bb-4679-9337-3320637a12df,28be1d65-6b09-4ebd-8599-4366c3c2abab,Radioactivity,kBq,,5.4E-10
7bdd3631-91bb-4679-9337-3320637a12df,29f7aad7-40e1-44db-af21-b3604c10b3f0,Radioactivity,kBq,,3.6E-8
7bdd3631-91bb-4679-9337-3320637a12df,2e18b480-7449-4800-85bd-c8ad0e649c03,Radioactivity,kBq,,2.4E-5
7bdd3631-91bb-4679-9337-3320637a12df,2e969e9b-f2e9-4fcc-8962-13a755dc8302,Radioactivity,kBq,,1.6E-6
7bdd3631-91bb-4679-9337-3320637a12df,2eb231c3-447f-42e3-bcb6-fdcbdb8ee915,Radioactivity,kBq,,3.4E-6
7bdd3631-91bb-4679-9337-3320637a12df,2f38ead0-f60f-4a9b-a7ca-31219c1a2f65,Radioactivity,kBq,,3.7E-4
7bdd3631-91bb-4679-9337-3320637a12df,31cda69b-c54e-4f82-a88d-e01c1c7fff2b,Radioactivity,kBq,,2.6E-4
7bdd3631-91bb-4679-9337-3320637a12df,336fca6f-2dc9-4514-96ae-2a2af154c74e,Radioactivity,kBq,,2.6E-4
7bdd3631-91bb-4679-9337-3320637a12df,356c6086-4835-4a0d-b1f2-10f8b6656d23,Radioactivity,kBq,,5.7E-6
7bdd3631-91bb-4679-9337-3320637a12df,3616e7c0-d323-4dc7-96aa-e06ac7fd808b,Radioactivity,kBq,,5.4E-10
7bdd3631-91bb-4679-9337-3320637a12df,39b3200d-f95a-413a-9c96-6d90345d9dca,Radioactivity,kBq,,4.6E-5
7bdd3631-91bb-4679-9337-3320637a12df,3a08acee-6c03-4335-b14f-4b51a2945a6f,Radioactivity,kBq,,5.0E-5
7bdd3631-91bb-4679-9337-3320637a12df,3ae6e5bb-fdd6-424a-be6f-80e7240ad8b7,Radioactivity,kBq,,2.6E-4
7bdd3631-91bb-4679-9337-3320637a12df,3c5a2d44-0206-427c-b34e-3b871077bd40,Radioactivity,kBq,,3.1E-5
7bdd3631-91bb-4679-9337-3320637a12df,3ef6e30a-9742-48c8-adcd-48e38148004c,Radioactivity,kBq,,3.2E-4
7bdd3631-91bb-4679-9337-3320637a12df,40526886-fcc3-4059-b025-58e254c03233,Radioactivity,kBq,,1.6E-6
7bdd3631-91bb-4679-9337-3320637a12df,4233a269-e2a4-4029-b8d5-60be44815587,Radioactivity,kBq,,4.6E-5
7bdd3631-91bb-4679-9337-3320637a12df,441ef9b3-0df0-461b-bd84-358973e0c2ca,Radioactivity,kBq,,6.1E-5
7bdd3631-91bb-4679-9337-3320637a12df,44dd80c7-9960-4881-8431-939509b81f53,Radioactivity,kBq,,5.7E-6
7bdd3631-91bb-4679-9337-3320637a12df,4649902d-edc5-4d34-ae55-59993fe732d9,Radioactivity,kBq,,0.0036
7bdd3631-91bb-4679-9337-3320637a12df,4809b1f7-9973-476f-90cc-465067d834f3,Radioactivity,kBq,,0.0036
7bdd3631-91bb-4679-9337-3320637a12df,4ac6979b-55f2-42ae-8d7e-37846e92506c,Radioactivity,kBq,,9.1E-8
7bdd3631-91bb-4679-9337-3320637a12df,4e079e10-cee0-4afe-bf91-e7d8b23f6a94,Radioactivity,kBq,,3.1E-5
7bdd3631-91bb-4679-9337-3320637a12df,4eb24f81-0468-4b92-bae3-8b12dfc90438,Radioactivity,kBq,,1.7E-4
7bdd3631-91bb-4679-9337-3320637a12df,4f2051b8-22e6-4592-8803-1e984f8fa61b,Radioactivity,kBq,,4.6E-5
7bdd3631-91bb-4679-9337-3320637a12df,4f3ee6dc-f092-429b-82bc-b9538bdb751b,Radioactivity,kBq,,3.2E-4
7bdd3631-91bb-4679-9337-3320637a12df,4f9a12c7-74b1-4221-a1e5-5a8235379166,Radioactivity,kBq,,6.1E-5
7bdd3631-91bb-4679-9337-3320637a12df,521cd1c6-03bb-4608-8f6f-8bc289a11306,Radioactivity,kBq,,3.7E-4
7bdd3631-91bb-4679-9337-3320637a12df,543421e8-f0b3-45a2-b0ed-03489e878138,Radioactivity,kBq,,3.1E-5
7bdd3631-91bb-4679-9337-3320637a12df,551ee803-cf94-4b0a-8a99-e19378207281,Radioactivity,kBq,,6.1E-7
7bdd3631-91bb-4679-9337-3320637a12df,55ff8efa-cc35-407c-b5b4-b63781da2183,Radioactivity,kBq,,3.6E-8
7bdd3631-91bb-4679-9337-3320637a12df,56bfa732-8223-4091-9bbf-1dc47185a785,Radioactivity,kBq,,3.2E-4
7bdd3631-91bb-4679-9337-3320637a12df,59c2b461-3992-4b18-8f27-699f4880cc4e,Radioactivity,kBq,,2.6E-4
7bdd3631-91bb-4679-9337-3320637a12df,6204e5df-ef93-40e4-9c83-0c4ed4f3870d,Radioactivity,kBq,,2.1E-5
7bdd3631-91bb-4679-9337-3320637a12df,62b1a76d-22be-4076-ab47-58597e621ea3,Radioactivity,kBq,,5.0E-5
7bdd3631-91bb-4679-9337-3320637a12df,630a48ab-c9f7-4bf0-9efd-9f865934c2c8,Radioactivity,kBq,,2.1E-5
7bdd3631-91bb-4679-9337-3320637a12df,698d08b4-fee6-40d4-93dd-24a28d48df45,Radioactivity,kBq,,8.0E-5
7bdd3631-91bb-4679-9337-3320637a12df,6a5c3836-68f2-4258-8424-eeade996a16a,Radioactivity,kBq,,1.3E-10
7bdd3631-91bb-4679-9337-3320637a12df,6b44284d-6941-4ae6-815e-ce87f5b603bb,Radioactivity,kBq,,8.0E-5
7bdd3631-91bb-4679-9337-3320637a12df,6d7ac032-ed65-49b2-b621-d3922038cf27,Radioactivity,kBq,,3.6E-8
7bdd3631-91bb-4679-9337-3320637a12df,6d8bddf2-fb89-466b-bbb5-0a3b4ee5df81,Radioactivity,kBq,,5.7E-6
7bdd3631-91bb-4679-9337-3320637a12df,6e7276bb-64f5-4421-8696-b0103b687ddd,Radioactivity,kBq,,8.0E-4
7bdd3631-91bb-4679-9337-3320637a12df,6fd55524-c309-4eb8-bff6-9c606e3a82d7,Radioactivity,kBq,,9.1E-8
7bdd3631-91bb-4679-9337-3320637a12df,70d0e8c8-8c46-4eee-ad05-92f05e8f129e,Radioactivity,kBq,,1.6E-6
7bdd3631-91bb-4679-9337-3320637a12df,72958cbe-6609-46c2-bbfa-ee4ab826ca12,Radioactivity,kBq,,2.4E-5
7bdd3631-91bb-4679-9337-3320637a12df,7ab5611b-c200-464f-8edf-b7b59ca1889d,Radioactivity,kBq,,1.6E-6
7bdd3631-91bb-4679-9337-3320637a12df,7b87ce50-ede0-40fa-a3ee-5f72553af0e7,Radioactivity,kBq,,5.0E-5
7bdd3631-91bb-4679-9337-3320637a12df,7bc25bb7-caa5-45cf-bbf0-889879173590,Radioactivity,kBq,,1.7E-4
7bdd3631-91bb-4679-9337-3320637a12df,7c31a919-91bf-4617-993c-bd980a3cfc3b,Radioactivity,kBq,,5.4E-10
7bdd3631-91bb-4679-9337-3320637a12df,7e4fad26-2081-4b55-8acc-974dafafeed8,Radioactivity,kBq,,4.6E-5
7bdd3631-91bb-4679-9337-3320637a12df,85b391ed-7db5-4f95-ba22-1305940ccd3d,Radioactivity,kBq,,5.4E-10
7bdd3631-91bb-4679-9337-3320637a12df,8653eab9-c010-4d0b-ae9f-71694cb5291f,Radioactivity,kBq,,5.4E-10
7bdd3631-91bb-4679-9337-3320637a12df,8c3fc7b6-79df-4283-bd47-4b07eab60e75,Radioactivity,kBq,,3.2E-4
7bdd3631-91bb-4679-9337-3320637a12df,8cebaf1d-94b3-4770-9b76-5b35ee06ed9a,Radioactivity,kBq,,5.4E-10
7bdd3631-91bb-4679-9337-3320637a12df,8f2b8012-eda6-4f3f-9ae2-8ad10b5866f7,Radioactivity,kBq,,4.6E-5
7bdd3631-91bb-4679-9337-3320637a12df,92b83fcf-1eef-43b8-b1bb-168a0f6896bf,Radioactivity,kBq,,3.7E-4
7bdd3631-91bb-4679-9337-3320637a12df,93a5cd9d-5cb4-4f3a-9d72-8d3216160cd6,Radioactivity,kBq,,5.4E-10
7bdd3631-91bb-4679-9337-3320637a12df,93add24b-0bbf-4903-b3c1-3c695f597c63,Radioactivity,kBq,,8.0E-4
7bdd3631-91bb-4679-9337-3320637a12df,a385870b-a14e-4fc1-a8e9-4d37257bf970,Radioactivity,kBq,,1.3E-10
7bdd3631-91bb-4679-9337-3320637a12df,a511d493-3360-4de9-9d43-e9a52e586579,Radioactivity,kBq,,5.7E-6
7bdd3631-91bb-4679-9337-3320637a12df,a5f7045e-4f1f-4cdb-88ac-1a8e8e0232dd,Radioactivity,kBq,,2.1E-5
7bdd3631-91bb-4679-9337-3320637a12df,a9e65945-a4dd-42c2-89cf-81ad2eb6b0fd,Radioactivity,kBq,,5.0E-5
7bdd3631-91bb-4679-9337-3320637a12df,aa50ed3e-1b1d-46ac-b882-c0a69a764735,Radioactivity,kBq,,5.4E-10
7bdd3631-91bb-4679-9337-3320637a12df,ab046420-da89-48e5-9e05-2a2b703eb2fe,Radioactivity,kBq,,5.7E-6
7bdd3631-91bb-4679-9337-3320637a12df,ab4a11c8-14f8-40f1-8c4e-888347bb2546,Radioactivity,kBq,,6.1E-5
7bdd3631-91bb-4679-9337-3320637a12df,ac98d2a4-4985-49f9-b4e2-fc896ef145b6,Radioactivity,kBq,,3.7E-4
7bdd3631-91bb-4679-9337-3320637a12df,b082e84d-001a-4154-be49-5851cfa68ddf,Radioactivity,kBq,,5.4E-8
7bdd3631-91bb-4679-9337-3320637a12df,b4024357-ed17-4b19-9382-91815e67f62b,Radioactivity,kBq,,6.1E-5
7bdd3631-91bb-4679-9337-3320637a12df,b772118d-cb3e-4330-aa01-317b04703cb2,Radioactivity,kBq,,5.4E-8
7bdd3631-91bb-4679-9337-3320637a12df,b912f4b4-34ac-4ec1-aba1-01b9c83683e5,Radioactivity,kBq,,3.4E-6
7bdd3631-91bb-4679-9337-3320637a12df,bc13f992-b93e-4ef3-921a-2898e7674a7c,Radioactivity,kBq,,2.1E-5
7bdd3631-91bb-4679-9337-3320637a12df,bd64a010-0115-47ca-942f-cbdac1d26b87,Radioactivity,kBq,,1.3E-10
7bdd3631-91bb-4679-9337-3320637a12df,be1642be-ad24-46e2-8539-a74fc11d637d,Radioactivity,kBq,,2.6E-4
7bdd3631-91bb-4679-9337-3320637a12df,bf112355-f868-42b8-8f39-6f2901cc38b9,Radioactivity,kBq,,3.7E-4
7bdd3631-91bb-4679-9337-3320637a12df,bf75c125-b39c-49d3-b06e-83153db03bd8,Radioactivity,kBq,,5.4E-8
7bdd3631-91bb-4679-9337-3320637a12df,bfc66f26-0b11-4e6e-9e8c-2bfde24dc23c,Radioactivity,kBq,,8.0E-4
7bdd3631-91bb-4679-9337-3320637a12df,c314e244-baef-48fb-b4f6-ca5e5a0de545,Radioactivity,kBq,,1.7E-4
7bdd3631-91bb-4679-9337-3320637a12df,c317b216-2668-40f8-9e24-1ce183d53697,Radioactivity,kBq,,6.1E-7
7bdd3631-91bb-4679-9337-3320637a12df,c36056d2-5101-4198-b13b-fdc0a8cf27ee,Radioactivity,kBq,,3.1E-5
7bdd3631-91bb-4679-9337-3320637a12df,ca828b6a-5c31-4cce-941e-cc7c1900e6fe,Radioactivity,kBq,,2.1E-5
7bdd3631-91bb-4679-9337-3320637a12df,cb3265f8-49a0-4b09-9bd9-c374370c4cc4,Radioactivity,kBq,,9.1E-8
7bdd3631-91bb-4679-9337-3320637a12df,cec0687d-7d44-4e80-ae2f-428c2664d66d,Radioactivity,kBq,,2.4E-5
7bdd3631-91bb-4679-9337-3320637a12df,d1679eda-eac2-4be4-876f-3be480c53dc4,Radioactivity,kBq,,3.4E-6
7bdd3631-91bb-4679-9337-3320637a12df,d58263d0-1a0e-43d0-ad91-6ed0dd55d737,Radioactivity,kBq,,8.0E-5
7bdd3631-91bb-4679-9337-3320637a12df,dd2727df-3508-4dc1-bc82-9654d92ed04c,Radioactivity,kBq,,1.3E-10
7bdd3631-91bb-4679-9337-3320637a12df,ddb14297-53e4-44c2-907c-47b27074ecaf,Radioactivity,kBq,,6.1E-7
7bdd3631-91bb-4679-9337-3320637a12df,dfcd04d5-e7d9-4965-b62a-f272f40831f1,Radioactivity,kBq,,3.4E-6
7bdd3631-91bb-4679-9337-3320637a12df,e0a9f6c3-eee7-4a77-82fd-6a64af73a790,Radioactivity,kBq,,2.4E-5
7bdd3631-91bb-4679-9337-3320637a12df,e61a0e03-2c01-4895-89af-4702b1f53480,Radioactivity,kBq,,8.0E-5
7bdd3631-91bb-4679-9337-3320637a12df,e62cf4c6-73a6-42b8-b0da-88aeac40e6ae,Radioactivity,kBq,,5.0E-5
7bdd3631-91bb-4679-9337-3320637a12df,e6aafd63-a6d5-41f7-9b82-45f791c7037c,Radioactivity,kBq,,3.1E-5
7bdd3631-91bb-4679-9337-3320637a12df,e8783a01-d3f5-4c08-b7b0-12af0f33c20d,Radioactivity,kBq,,5.7E-6
7bdd3631-91bb-4679-9337-3320637a12df,eadea134-34d3-4581-9b0b-a59533dfd526,Radioactivity,kBq,,3.6E-8
7bdd3631-91bb-4679-9337-3320637a12df,f5f7c4c3-ce9d-47ec-8c97-62d70b286203,Radioactivity,kBq,,5.4E-10
7bdd3631-91bb-4679-9337-3320637a12df,f707adbb-1784-42ec-8970-6efa10cd790e,Radioactivity,kBq,,5.7E-6
