LCIA category,Flow,Flow property,Flow unit,Location,Factor
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,007d4ecd-0831-4984-b5e2-814d129c932b,Mass,kg,,0.0013752
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0084f973-7133-4d7a-9009-fa46c1f7460c,Mass,kg,,1.83E-5
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,00946913-24e1-4db7-ab0f-940016ce2343,Mass,kg,,1.37E-9
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,01056d4b-f9b0-4dfc-b8d9-8407c8376efb,Mass,kg,,0.0
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,01285299-c683-4e15-b654-201987a7a738,Mass,kg,,1.13E-7
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,01558950-c47c-34f9-b4f2-39ca1c809384,Mass,kg,,4.6E-11
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,017c1ca1-8e93-3c85-b743-c8676bfd305a,Mass,kg,,1.7E-9
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0264738d-175c-4a9f-bc9b-1970eba444de,Mass,kg,,1.19E-7
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,030145f6-dcf3-3230-9fb6-22a09b54d5bf,Mass,kg,,4.3E-12
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,03b279a7-4626-4703-a451-d0650599dbd9,Mass,kg,,7.83E-7
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0437e787-ef47-4a50-b11f-df7c743e860c,Mass,kg,,1.72E-9
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,04512c78-0228-4291-8c4d-7e64b6ad670c,Mass,kg,,1.42E-8
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0545c382-2312-43b6-9ec3-63dbb1438565,Mass,kg,,1.1E-6
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,056fb035-70db-4dba-bff0-773a3da55b87,Mass,kg,,2.35E-11
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,08a91e70-3ddc-11dd-91e3-0050c2490048,Mass,kg,,2.24E-4
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,08a91e70-3ddc-11dd-94eb-0050c2490048,Mass,kg,,2.23E-7
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,08a91e70-3ddc-11dd-96d0-0050c2490048,Mass,kg,,3.45E-8
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,08a91e70-3ddc-11dd-999e-0050c2490048,Mass,kg,,8.32E-15
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,08a91e70-3ddc-11dd-9f77-0050c2490048,Mass,kg,,1.42E-8
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,08a91e70-3ddc-11dd-9f79-0050c2490048,Mass,kg,,4.6E-11
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,08a91e70-3ddc-11dd-9f7b-0050c2490048,Mass,kg,,1.77E-9
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,08ba6a82-89d5-4cc6-bc09-b2aa18f9eda2,Mass,kg,,0.0013752
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,08ba90dc-28c6-4c48-8e90-51b61139734f,Mass,kg,,2.15E-12
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,08fbcb07-e7a1-352c-b779-9d7c578059d5,Mass,kg,,0.0
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,093b5695-c6be-4f8f-b2db-fadfc90d98c3,Mass,kg,,3.52E-7
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,09585ed9-e4a1-41a4-8e1b-c5737cddd140,Mass,kg,,1.83E-5
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0a5e8a67-f9ae-48b3-bfa7-e9d37c30a191,Mass,kg,,7.21E-10
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0ace7678-a181-48e8-8728-d912a8b56c57,Mass,kg,,3.0E-13
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0b530ed2-fb82-4223-acdc-a16fd5e84f73,Mass,kg,,1.83E-5
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0bd5c5f2-103e-46f3-95fd-8007783246c3,Mass,kg,,1.83E-5
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0c5da324-34a7-4e38-98e5-18a8625a2b7c,Mass,kg,,0.0
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0cc4fa9c-ed07-4249-988d-6b2fe84b7dff,Mass,kg,,0.0013752
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0d1296aa-d946-3e5b-94a6-8dabb9a28dbe,Mass,kg,,6.65E-6
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0d7ef054-35e2-4d02-9113-574d7f022631,Mass,kg,,4.7E-10
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0d991622-f800-3963-a6bc-89747f06c8e0,Mass,kg,,2.23E-7
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0dbc8bdf-90bd-4196-a995-70b86bc0c362,Mass,kg,,9.6E-7
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0e1c17ae-8144-4714-a7cd-786a5480f423,Mass,kg,,8.48E-6
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0e907e32-c2f3-4cd6-a7e6-64363f82d635,Mass,kg,,0.0013359
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0eae0eb8-0cfb-4d67-9cc4-114fc67f1cfd,Mass,kg,,1.43E-6
7c535cfd-1efb-3d8c-8ed3-9732fb78dfed,0ed1b1a1-e56d-4860-bac7-d76a39bde930,Mass,kg,,0.0
