LCIA category,Flow,Flow property,Flow unit,Location,Factor
8888a9ff-6ab1-3696-9832-a00fbe420ba0,00012c0a-9bff-4787-a7eb-56c3d2f43692,Mass,g,,413.0
8888a9ff-6ab1-3696-9832-a00fbe420ba0,0015315d-a2b8-4b72-8e60-0d34a72e6de8,Mass,g,,0.00919
8888a9ff-6ab1-3696-9832-a00fbe420ba0,0017271e-7df5-40bc-833a-36110c1fe5d5,Mass,g,,0.0159
8888a9ff-6ab1-3696-9832-a00fbe420ba0,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,g,,0.0205
8888a9ff-6ab1-3696-9832-a00fbe420ba0,007d4ecd-0831-4984-b5e2-814d129c932b,Mass,g,,1.13
8888a9ff-6ab1-3696-9832-a00fbe420ba0,0084f973-7133-4d7a-9009-fa46c1f7460c,Mass,g,,0.00109
8888a9ff-6ab1-3696-9832-a00fbe420ba0,00946913-24e1-4db7-ab0f-940016ce2343,Mass,g,,26.9
8888a9ff-6ab1-3696-9832-a00fbe420ba0,0125d40c-b7e8-4f98-a5ac-09115efeb568,Mass,g,,0.0924
8888a9ff-6ab1-3696-9832-a00fbe420ba0,014bd81b-88c7-4a81-b872-201dcbfb8bbf,Mass,g,,0.00128
8888a9ff-6ab1-3696-9832-a00fbe420ba0,01a0ee45-df98-4286-a8ee-fe5660c3177a,Mass,g,,4.17E-4
8888a9ff-6ab1-3696-9832-a00fbe420ba0,01b798f0-b8bb-41eb-9e5b-fb6bb096ebeb,Mass,g,,5.0
8888a9ff-6ab1-3696-9832-a00fbe420ba0,01d3db13-7970-4d67-acb9-a89d69523403,Mass,g,,502.0
8888a9ff-6ab1-3696-9832-a00fbe420ba0,02381700-f27e-4ffa-b58f-e7309ad7f9e7,Mass,g,,0.0104
8888a9ff-6ab1-3696-9832-a00fbe420ba0,024b1a73-0cff-4b49-9e1e-7d75110f1e31,Mass,g,,0.00103
8888a9ff-6ab1-3696-9832-a00fbe420ba0,0264738d-175c-4a9f-bc9b-1970eba444de,Mass,g,,0.263
8888a9ff-6ab1-3696-9832-a00fbe420ba0,02d18acf-ec93-467e-a467-cfb4452fb55b,Mass,g,,0.0159
8888a9ff-6ab1-3696-9832-a00fbe420ba0,0330e73b-c9ba-4440-b153-284c6a9210d0,Mass,g,,0.0478
8888a9ff-6ab1-3696-9832-a00fbe420ba0,037120b3-baa8-402f-980f-825dcb8ba5d3,Mass,g,,0.0157
8888a9ff-6ab1-3696-9832-a00fbe420ba0,0371cc30-26c5-34b6-99a8-45bb8395b248,Mass,g,,1.57
8888a9ff-6ab1-3696-9832-a00fbe420ba0,03758df7-503a-400e-bc7b-ec05825761a5,Mass,g,,2.8E-5
8888a9ff-6ab1-3696-9832-a00fbe420ba0,0380b284-8e7f-4881-b7cc-528743631d3f,Mass,g,,4250.0
8888a9ff-6ab1-3696-9832-a00fbe420ba0,03b279a7-4626-4703-a451-d0650599dbd9,Mass,g,,204.0
8888a9ff-6ab1-3696-9832-a00fbe420ba0,03dd3813-732b-39e4-87b9-c8565fb50e43,Mass,g,,2490000.0
8888a9ff-6ab1-3696-9832-a00fbe420ba0,04512c78-0228-4291-8c4d-7e64b6ad670c,Mass,g,,16.6
8888a9ff-6ab1-3696-9832-a00fbe420ba0,045f7de9-60d5-4916-a504-5a1002a6e97e,Mass,g,,0.00522
8888a9ff-6ab1-3696-9832-a00fbe420ba0,04614676-78d6-4dae-ade0-d1d15639e7c0,Mass,g,,14.0
8888a9ff-6ab1-3696-9832-a00fbe420ba0,049a1473-3a62-4121-982b-5d15d0f2c683,Mass,g,,0.0478
8888a9ff-6ab1-3696-9832-a00fbe420ba0,04abe114-7939-4935-9281-49e5d89cc1bc,Mass,g,,0.0478
8888a9ff-6ab1-3696-9832-a00fbe420ba0,04e44140-9bcd-30c2-9d1e-0fbfc7d9d1e8,Mass,g,,0.0347
