LCIA category,Flow,Flow property,Flow unit,Location,Factor
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,0c5da324-34a7-4e38-98e5-18a8625a2b7c,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,125349bb-041b-4de3-aa95-d4862eddcf52,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,2712fe5f-0d3c-4c8e-8bc4-26c604413849,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,3937f5a5-b4a4-434d-9fc3-1d29064fc3f8,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,4ce23896-a82f-49f1-a8e3-8848734805a3,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,522e7bd8-194b-4fa8-9f6a-6211958fc040,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,557575d3-a808-4336-88d4-0e7b8b178f32,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,62fcd384-906d-474f-a84b-9f944b78f804,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,67b5b669-06b1-4be6-87bd-b68bbbe4bd5a,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,68701316-d3f5-4e08-8814-6b3b28712d85,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,79fdbb2d-a497-4198-9b2a-094f98b8aee6,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,8041cd06-58ce-450d-9f44-40922eeafc29,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,810b11b4-6438-4b30-b9a1-8202b2a53145,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,af83b42f-a4e6-4457-be74-46a87798f82a,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,ba29bfe3-17a6-4702-8b50-9b63884bf91c,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,c087ef23-4b5b-40f6-932a-7939b72386c4,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,cd26472d-d670-49fd-9df2-f689a14e9892,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,ddce052d-27c0-4b28-8bf6-d50d39e420b0,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,eb616bcb-7521-40a4-a2ac-0d33e30c2873,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,eed61927-90e5-4e59-a0bb-6507551c835c,Mass,kg,,7.0E-5
8e3c8bcf-f50d-3e5a-8519-8b0fd2b319d2,fe0acd60-3ddc-11dd-a294-0050c2490048,Mass,kg,,7.0E-5
