LCIA category,Flow,Flow property,Flow unit,Location,Factor
8ee47cbb-f517-317f-b41d-7c1d5b22a360,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,8.6
8ee47cbb-f517-317f-b41d-7c1d5b22a360,0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358,Mass,kg,,33.2
8ee47cbb-f517-317f-b41d-7c1d5b22a360,0b7e10a8-6ca0-4a50-a39b-f2a019cb3610,Mass,kg,,8.6
8ee47cbb-f517-317f-b41d-7c1d5b22a360,0d1d9119-44bf-4c8e-a878-cdc78fd888ae,Mass,kg,,6.3
8ee47cbb-f517-317f-b41d-7c1d5b22a360,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Mass,kg,,23.1
8ee47cbb-f517-317f-b41d-7c1d5b22a360,13825fb9-6e24-409a-bfcd-5dc4fd61ef98,Mass,kg,,14.1
8ee47cbb-f517-317f-b41d-7c1d5b22a360,16521d00-4b6f-464f-b5dd-8da4a27b15ca,Mass,kg,,17.7
8ee47cbb-f517-317f-b41d-7c1d5b22a360,17f7e776-7934-54af-8c3c-ed0247cb697b,Mass,kg,,13.1
8ee47cbb-f517-317f-b41d-7c1d5b22a360,1aa538b9-51eb-49fe-8904-de34e58945c7,Mass,kg,,6.3
8ee47cbb-f517-317f-b41d-7c1d5b22a360,20d4d821-f4f7-4017-8810-f822fcdf619e,Mass,kg,,33.2
8ee47cbb-f517-317f-b41d-7c1d5b22a360,24541c8c-9f11-49ae-9de5-456f238a3f5e,Mass,kg,,113.0
8ee47cbb-f517-317f-b41d-7c1d5b22a360,257eacb9-96fe-4a3d-961a-f5e6c7823ff0,Mass,kg,,113.0
8ee47cbb-f517-317f-b41d-7c1d5b22a360,2b50f643-216a-412b-a0e5-5946867aa2ed,Mass,kg,,23.1
8ee47cbb-f517-317f-b41d-7c1d5b22a360,2e493ad7-ff7f-47b8-9966-1d67e0323386,Mass,kg,,6.3
8ee47cbb-f517-317f-b41d-7c1d5b22a360,3268d8df-59cc-4740-a89f-dee8355ad7c3,Mass,kg,,14.1
8ee47cbb-f517-317f-b41d-7c1d5b22a360,37d014cb-8c2d-4c98-ab5c-2d4550822c2f,Mass,kg,,6.3
8ee47cbb-f517-317f-b41d-7c1d5b22a360,3caec0e2-2d07-4463-abae-bef6a0d4bbdb,Mass,kg,,11.5
8ee47cbb-f517-317f-b41d-7c1d5b22a360,4490af97-53d7-4849-aa85-34b5a50e516b,Mass,kg,,8.6
8ee47cbb-f517-317f-b41d-7c1d5b22a360,4841a0fe-c250-4a39-94a1-1bc31426c0f1,Mass,kg,,8.6
8ee47cbb-f517-317f-b41d-7c1d5b22a360,50f3bc1e-fafc-44a2-9800-4468d8c3b643,Mass,kg,,62.0
8ee47cbb-f517-317f-b41d-7c1d5b22a360,51f0e6bf-5824-4247-a0f0-7766035da159,Mass,kg,,11.5
8ee47cbb-f517-317f-b41d-7c1d5b22a360,59281544-7c5a-4101-a972-10118e8df6aa,Mass,kg,,33.2
8ee47cbb-f517-317f-b41d-7c1d5b22a360,5c9d8310-f7e1-4e98-8e73-7eece0435676,Mass,kg,,11.5
8ee47cbb-f517-317f-b41d-7c1d5b22a360,64b8332b-b659-3e22-b06f-3f522ea9662c,Mass,kg,,11.5
8ee47cbb-f517-317f-b41d-7c1d5b22a360,68e32537-beae-41c2-be72-74df4d273c11,Mass,kg,,62.0
8ee47cbb-f517-317f-b41d-7c1d5b22a360,6ce44f77-d181-4396-8fa2-2276eeeb4c08,Mass,kg,,17.7
8ee47cbb-f517-317f-b41d-7c1d5b22a360,751d9555-8e2e-30e8-9c64-dc1b09681bba,Mass,kg,,13.1
8ee47cbb-f517-317f-b41d-7c1d5b22a360,77357947-ccc5-438e-9996-95e65e1e1bce,Mass,kg,,8.6
8ee47cbb-f517-317f-b41d-7c1d5b22a360,78c3efe4-421c-4d30-82e4-b97ac5124993,Mass,kg,,17.7
8ee47cbb-f517-317f-b41d-7c1d5b22a360,7ecc2b66-8dde-4266-8832-f492f564377b,Mass,kg,,11.5
8ee47cbb-f517-317f-b41d-7c1d5b22a360,8494ed3c-0416-4aa5-b100-51a2b2bcadbd,Mass,kg,,23.1
8ee47cbb-f517-317f-b41d-7c1d5b22a360,87883a4e-1e3e-4c9d-90c0-f1bea36f8014,Mass,kg,,23.1
8ee47cbb-f517-317f-b41d-7c1d5b22a360,8b7dc667-f04e-492c-a161-80b1482126b0,Mass,kg,,113.0
8ee47cbb-f517-317f-b41d-7c1d5b22a360,8c52f40c-69b7-4538-8923-b371523c71f5,Mass,kg,,17.7
8ee47cbb-f517-317f-b41d-7c1d5b22a360,9115356e-a534-4329-9ec6-d9208720241b,Mass,kg,,8.6
8ee47cbb-f517-317f-b41d-7c1d5b22a360,97178ead-47ba-406f-bd68-27d5fc6aa6f8,Mass,kg,,62.0
8ee47cbb-f517-317f-b41d-7c1d5b22a360,9990b51b-7023-4700-bca0-1a32ef921f74,Mass,kg,,23.1
8ee47cbb-f517-317f-b41d-7c1d5b22a360,99c65c6a-6871-40ba-af79-5bd6851688e4,Mass,kg,,11.5
8ee47cbb-f517-317f-b41d-7c1d5b22a360,9d0b18e8-484d-4d28-bca4-2db8023def45,Mass,kg,,13.1
8ee47cbb-f517-317f-b41d-7c1d5b22a360,9fb048e8-b1c4-4b1a-b536-5467d511f75a,Mass,kg,,8.6
8ee47cbb-f517-317f-b41d-7c1d5b22a360,a2d4ebed-c96c-47c9-b469-018dd1ae58ce,Mass,kg,,33.2
8ee47cbb-f517-317f-b41d-7c1d5b22a360,ac15536a-92f5-48d7-9560-cba0ca43b526,Mass,kg,,113.0
8ee47cbb-f517-317f-b41d-7c1d5b22a360,afcbd980-14c2-4e1d-a0aa-5f6464e5c76b,Mass,kg,,62.0
8ee47cbb-f517-317f-b41d-7c1d5b22a360,b00950bc-99cb-4ee2-bbc0-5f878ea170c3,Mass,kg,,14.1
8ee47cbb-f517-317f-b41d-7c1d5b22a360,b1689d22-7f6d-432c-8948-13d8f6df8a27,Mass,kg,,113.0
8ee47cbb-f517-317f-b41d-7c1d5b22a360,b285ccbd-7703-39d9-9f66-20451f18d99f,Mass,kg,,8.6
8ee47cbb-f517-317f-b41d-7c1d5b22a360,b7e78e2a-dff8-49e8-b72c-c9157183860d,Mass,kg,,13.1
8ee47cbb-f517-317f-b41d-7c1d5b22a360,c1b91234-6f24-417b-8309-46111d09c457,Mass,kg,,8.6
8ee47cbb-f517-317f-b41d-7c1d5b22a360,c941d6d0-a56c-4e6c-95de-ac685635218d,Mass,kg,,62.0
8ee47cbb-f517-317f-b41d-7c1d5b22a360,c9a8073a-8a19-5b9b-a120-7d549563b67b,Mass,kg,,62.0
8ee47cbb-f517-317f-b41d-7c1d5b22a360,ca31b010-acd3-4736-a76c-e4a900ae4809,Mass,kg,,13.1
8ee47cbb-f517-317f-b41d-7c1d5b22a360,d068f3e2-b033-417b-a359-ca4f25da9731,Mass,kg,,8.6
8ee47cbb-f517-317f-b41d-7c1d5b22a360,d9945575-a965-4bf3-9cd7-584263172abd,Mass,kg,,8.6
8ee47cbb-f517-317f-b41d-7c1d5b22a360,dc084330-5108-4d9c-a7ed-eb3345507f13,Mass,kg,,6.3
8ee47cbb-f517-317f-b41d-7c1d5b22a360,e3cfaa07-9b68-4461-a06f-a0e4e59d41d3,Mass,kg,,33.2
8ee47cbb-f517-317f-b41d-7c1d5b22a360,fd7aa71c-508c-480d-81a6-8052aad92646,Mass,kg,,17.7
8ee47cbb-f517-317f-b41d-7c1d5b22a360,fe02b51d-7a59-4015-ba12-d32da63ac7d9,Mass,kg,,13.1
