LCIA category,Flow,Flow property,Flow unit,Location,Factor
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,00793b76-e63c-44c5-854c-0dad4a247dcc,Mass,kg,,181.0
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,00809b9f-c6e1-3197-831c-d5dffde203ac,Mass,kg,,87.9
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,008406cb-fb38-32c4-8e81-4edfc46b7fb9,Mass,kg,,0.565
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,0102958d-e9b8-30b2-b1b6-3b10ddba458f,Mass,kg,,0.565
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,0104c6dc-976f-3262-be85-c1ef1861e7b3,Mass,kg,,0.126
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,0125d40c-b7e8-4f98-a5ac-09115efeb568,Mass,kg,,0.0
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,01d719e4-2462-4175-8b07-a2c819f64259,Mass,kg,,0.126
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,01dc1a65-b6f6-3a0a-a2c0-1faba0c8fc0b,Mass,kg,,87.9
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,02033840-8e44-3d26-8d27-fe66571d2076,Mass,kg,,12.6
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,0245b0e3-f250-3fac-aea1-26a7d949926d,Mass,kg,,-12.8
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,025fcb20-0591-4bae-80fc-7c34e9af2e7b,Mass,kg,,0.565
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,0315d855-dff2-44af-bb37-1b855df53d69,Mass,kg,,0.565
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,032f324c-555e-450f-bc87-f012497f0e19,Mass,kg,,108.0
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,033d3a16-e1a2-4ce8-8769-f4ea867801ca,Mass,kg,,118.0
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,034cdc60-f0d7-3201-b380-781a8dc352f4,Mass,kg,,0.377
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,045ede3d-bca7-4aa0-887f-45476e768a1f,Mass,kg,,62.8
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,04a6edb8-624a-484e-8f85-d771657adae7,Mass,kg,,22.5
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,050da0cd-2957-45a9-ae7a-ace372083fe5,Mass,kg,,12.1
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,051aaf7a-6c1a-4e86-999f-85d5f0830df6,Mass,kg,,-19.2
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,05955330-496e-3f20-9183-0eccc9de4c1e,Mass,kg,,87.9
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,059e6a26-7035-4621-a360-c71c5778eec8,Mass,kg,,0.565
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,05b046ff-5ae5-37e8-b908-2533621b33bb,Mass,kg,,36.0
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,065b12f0-582c-3dfa-8aa7-0649c22ee023,Mass,kg,,27.8
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,0672d2f6-109b-485b-bedd-42b743dbddec,Mass,kg,,1350.0
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,0685ebf0-2a57-3c1d-a5f8-ed0ab2ff0d82,Mass,kg,,627.0
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,06911561-7da9-487c-adda-85e268d672af,Mass,kg,,0.565
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,06a4fedf-dab4-4ef1-90df-1d0ce8fe6477,Mass,kg,,260.0
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,06d50647-91a7-4b0b-959c-aa0b083aa9f7,Mass,kg,,129.0
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,073ea938-209b-3fa3-a4f4-40eba1cc2538,Mass,kg,,1190.0
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,0748392c-3716-3457-8815-9917c9f5bc56,Mass,kg,,4.52
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,0758fd39-21c0-3f92-bcbc-2f7ff3fc3a25,Mass,kg,,0.565
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,0795345f-c7ae-410c-ad25-1845784c75f5,Mass,kg,,3.58
92a0b5be-5f2f-3b72-a82a-d8d23f8bdd2f,08351d0e-94b3-3bc8-a9a6-9afcd5e10999,Mass,kg,,0.0
