LCIA category,Flow,Flow property,Flow unit,Location,Factor
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,019ad37a-2728-455e-aa8d-c921d26c3cc7,Mass,kg,,2.27E10
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,036771b6-6457-422b-8870-82065e7c1fe5,Mass,kg,,8330000.0
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,056e7d9d-03fe-3d72-ab63-aab50bc18750,Mass,kg,,1.16E7
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,069d6d71-d410-3dfb-838d-83a9779c2414,Mass,kg,,1.33E7
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,086f6b04-002c-49a0-9be8-2bad29a9c17a,Mass,kg,,1.45E7
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,0872e18e-bb91-355d-aed2-4b2a81deca40,Mass,kg,,1590000.0
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,09adf1e6-9c65-4d35-80ae-b22bc6d23660,Mass,kg,,66700.0
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,09c332a9-1186-36ac-aa4e-3da3e002f29d,Mass,kg,,3.23E7
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,09e231fa-b1c2-4d63-9c57-7ea0e2210858,Mass,kg,,8.33E8
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,0a35f318-fbcd-3bd7-b102-3c835c2922a0,Mass,kg,,286000.0
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,0aad774f-8662-339d-81f3-4f00ec2d4424,Mass,kg,,2.86E9
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,0b0d8098-ecbf-4020-afd6-4bcf9db686ce,Mass,kg,,263000.0
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358,Mass,kg,,2.33E9
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,0d25326e-2335-4a06-8ecb-d161f02adccf,Mass,kg,,7140000.0
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,0d3ccb17-b3fe-4c08-b7cb-458ed3ababf1,Mass,kg,,1560000.0
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,0d4989fd-00e3-4522-905f-2ab6a1bd5677,Mass,kg,,45500.0
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,0e2e2f54-225f-4782-bfda-99bedacebee5,Mass,kg,,3.85E9
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,0e7c1a7b-cd98-4f8d-a619-a687d3e2cb48,Mass,kg,,256000.0
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,0e938bce-f780-4e2e-9de0-a8efd8c0804b,Mass,kg,,3.85E9
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,0ebdb68a-f50d-4b0c-ad4b-3a1104d8b454,Mass,kg,,13700.0
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Mass,kg,,1000000.0
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,0f907765-2a94-48a8-8978-55a2757d3e24,Mass,kg,,1.92E8
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,10571d92-ea97-4ac6-adb6-b25893a631cb,Mass,kg,,1850000.0
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,108e9780-646b-448d-903b-609b3f65950b,Mass,kg,,3.23E7
972ac2fd-9e07-3188-b4a1-6ee212c23cf1,1090768c-70ed-426a-a847-97426ed5b183,Mass,kg,,1000000.0
