LCIA category,Flow,Flow property,Flow unit,Location,Factor
98a7f4fe-ddd1-3d74-833a-27696cdbf1cb,00062e88-f6d1-478d-aa3a-3f35c8c00127,Mass,kg,,5.02E-14
98a7f4fe-ddd1-3d74-833a-27696cdbf1cb,001b19a7-934d-49f4-9114-1d39dcac1b9f,Mass,kg,,1.64E-12
98a7f4fe-ddd1-3d74-833a-27696cdbf1cb,0038c8df-9f90-34bb-9969-0f2640a2998b,Mass,kg,,1.71E-12
98a7f4fe-ddd1-3d74-833a-27696cdbf1cb,00741346-4d61-3fc9-b5bc-d7b6bb1b7d03,Mass,kg,,2.24E-14
98a7f4fe-ddd1-3d74-833a-27696cdbf1cb,00793b76-e63c-44c5-854c-0dad4a247dcc,Mass,kg,,3.26E-13
98a7f4fe-ddd1-3d74-833a-27696cdbf1cb,00809b9f-c6e1-3197-831c-d5dffde203ac,Mass,kg,,1.59E-13
98a7f4fe-ddd1-3d74-833a-27696cdbf1cb,008406cb-fb38-32c4-8e81-4edfc46b7fb9,Mass,kg,,1.02E-15
98a7f4fe-ddd1-3d74-833a-27696cdbf1cb,008f07c8-25b3-3254-a953-4dface69148d,Mass,kg,,2.73E-14
98a7f4fe-ddd1-3d74-833a-27696cdbf1cb,009f3374-e604-4e24-88f5-d785cd93aac7,Mass,kg,,7.25E-14
98a7f4fe-ddd1-3d74-833a-27696cdbf1cb,00a726da-7434-399d-b21e-1ddbe592ce73,Mass,kg,,2.59E-13
98a7f4fe-ddd1-3d74-833a-27696cdbf1cb,00ad7489-7661-4082-81f3-12b0d5346256,Mass,kg,,4.99E-13
98a7f4fe-ddd1-3d74-833a-27696cdbf1cb,00ba40b0-bdb0-3d36-a0a8-e55b2f2588f2,Mass,kg,,2.92E-14
98a7f4fe-ddd1-3d74-833a-27696cdbf1cb,0102958d-e9b8-30b2-b1b6-3b10ddba458f,Mass,kg,,1.02E-15
98a7f4fe-ddd1-3d74-833a-27696cdbf1cb,0104c6dc-976f-3262-be85-c1ef1861e7b3,Mass,kg,,2.27E-16
98a7f4fe-ddd1-3d74-833a-27696cdbf1cb,010f3f3c-24d3-3ea1-be0b-8c9201c75dba,Mass,kg,,3.86E-13
98a7f4fe-ddd1-3d74-833a-27696cdbf1cb,01214249-c582-30ba-91ea-00b01de8d705,Mass,kg,,3.72E-12
