LCIA category,Flow,Flow property,Flow unit,Location,Factor
9912f373-c6a0-3bae-aeef-d96065a676d3,0017271e-7df5-40bc-833a-36110c1fe5d5,Mass,kg,,0.304
9912f373-c6a0-3bae-aeef-d96065a676d3,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,0.389
9912f373-c6a0-3bae-aeef-d96065a676d3,066872fe-7faf-4fa1-b6b7-a347c395976f,Mass,kg,,0.304
9912f373-c6a0-3bae-aeef-d96065a676d3,08a91e70-3ddc-11dd-954c-0050c2490048,Mass,kg,,0.824
9912f373-c6a0-3bae-aeef-d96065a676d3,08a91e70-3ddc-11dd-954d-0050c2490048,Mass,kg,,0.087
9912f373-c6a0-3bae-aeef-d96065a676d3,09257c34-f323-436a-81be-ef90e9171ed2,Mass,kg,,0.304
9912f373-c6a0-3bae-aeef-d96065a676d3,0b7e10a8-6ca0-4a50-a39b-f2a019cb3610,Mass,kg,,0.389
9912f373-c6a0-3bae-aeef-d96065a676d3,0e9e6b81-0a68-4350-8368-566c083bd3e0,Mass,kg,,0.028
9912f373-c6a0-3bae-aeef-d96065a676d3,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Mass,kg,,0.092
9912f373-c6a0-3bae-aeef-d96065a676d3,10d61f4b-01ce-4f02-8140-a0d22777b405,Mass,kg,,0.304
9912f373-c6a0-3bae-aeef-d96065a676d3,130cedc6-f6ed-4f1b-bd1e-881177f79e74,Mass,kg,,0.778
9912f373-c6a0-3bae-aeef-d96065a676d3,13331e67-6006-48c4-bdb4-340c12010036,Mass,kg,,0.778
9912f373-c6a0-3bae-aeef-d96065a676d3,1550e897-623b-4f0a-9c90-10f88b4850e3,Mass,kg,,0.304
9912f373-c6a0-3bae-aeef-d96065a676d3,15ca802b-f541-44aa-bd33-35560a053193,Mass,kg,,0.028
9912f373-c6a0-3bae-aeef-d96065a676d3,17f7e776-7934-54af-8c3c-ed0247cb697b,Mass,kg,,0.596
9912f373-c6a0-3bae-aeef-d96065a676d3,180520a0-34e8-4058-bac9-27cbbb32c527,Mass,kg,,0.226
9912f373-c6a0-3bae-aeef-d96065a676d3,205617ae-ebc5-4245-8df6-8710d5d40615,Mass,kg,,0.028
9912f373-c6a0-3bae-aeef-d96065a676d3,20f29bd4-6e59-4955-ac42-6f6e4a7335d6,Mass,kg,,1.0
9912f373-c6a0-3bae-aeef-d96065a676d3,23b8eca0-0a02-45f7-a77a-b2a60e46c74d,Mass,kg,,1.0
9912f373-c6a0-3bae-aeef-d96065a676d3,26fd0df4-74ca-4144-b632-6e6f5f6d07b1,Mass,kg,,0.778
9912f373-c6a0-3bae-aeef-d96065a676d3,2b50f643-216a-412b-a0e5-5946867aa2ed,Mass,kg,,0.092
9912f373-c6a0-3bae-aeef-d96065a676d3,2ccfa703-d0fe-4d27-9220-ba5ef2e97c6e,Mass,kg,,0.226
9912f373-c6a0-3bae-aeef-d96065a676d3,2f19a0af-a516-4f89-88ba-4c6b7cd52650,Mass,kg,,0.304
9912f373-c6a0-3bae-aeef-d96065a676d3,34a99cf0-860e-11e0-9d78-0800200c9a66,Mass,kg,,1.0
9912f373-c6a0-3bae-aeef-d96065a676d3,3ae8c924-dc92-4971-a415-4b82261842f3,Mass,kg,,0.226
9912f373-c6a0-3bae-aeef-d96065a676d3,43c700bb-0b3b-4fb1-8bd1-3d1da82b6844,Mass,kg,,0.226
9912f373-c6a0-3bae-aeef-d96065a676d3,4490af97-53d7-4849-aa85-34b5a50e516b,Mass,kg,,0.389
9912f373-c6a0-3bae-aeef-d96065a676d3,4588adc5-e56e-443c-ade5-6645219b53cd,Mass,kg,,0.778
9912f373-c6a0-3bae-aeef-d96065a676d3,4841a0fe-c250-4a39-94a1-1bc31426c0f1,Mass,kg,,0.389
9912f373-c6a0-3bae-aeef-d96065a676d3,4b81a3e2-b3fc-4e2f-81aa-5a68d11084c8,Mass,kg,,0.824
9912f373-c6a0-3bae-aeef-d96065a676d3,5189de76-6bbb-44ba-8c42-5714f1b4371f,Mass,kg,,0.226
9912f373-c6a0-3bae-aeef-d96065a676d3,51b06290-9a7f-4750-86bc-d1db0dd503a7,Mass,kg,,0.824
9912f373-c6a0-3bae-aeef-d96065a676d3,59e8b3a7-3862-4388-905a-73b35b93c6d4,Mass,kg,,0.778
9912f373-c6a0-3bae-aeef-d96065a676d3,5e7cf95c-9cc3-4479-89af-55377b3db99c,Mass,kg,,0.028
9912f373-c6a0-3bae-aeef-d96065a676d3,615c56b4-3328-43b3-b1cd-feb6b6a5d99c,Mass,kg,,0.087
9912f373-c6a0-3bae-aeef-d96065a676d3,63e78926-8549-11e0-9d78-0800200c9a66,Mass,kg,,0.824
9912f373-c6a0-3bae-aeef-d96065a676d3,64b758fe-fbf2-4bdb-85f6-eab48e2ad2e4,Mass,kg,,0.824
9912f373-c6a0-3bae-aeef-d96065a676d3,6bb60b06-5b1f-4d8c-9782-e18a7f11bc5c,Mass,kg,,0.226
9912f373-c6a0-3bae-aeef-d96065a676d3,736f52e8-9703-4076-8909-7ae80a7f8005,Mass,kg,,0.778
9912f373-c6a0-3bae-aeef-d96065a676d3,751d9555-8e2e-30e8-9c64-dc1b09681bba,Mass,kg,,0.596
9912f373-c6a0-3bae-aeef-d96065a676d3,77357947-ccc5-438e-9996-95e65e1e1bce,Mass,kg,,0.389
