LCIA category,Flow,Flow property,Flow unit,Location,Factor
9a8c684a-2c1c-3123-a16f-ffcd545627fd,00012c0a-9bff-4787-a7eb-56c3d2f43692,Mass,kg,,34100.0
9a8c684a-2c1c-3123-a16f-ffcd545627fd,0015315d-a2b8-4b72-8e60-0d34a72e6de8,Mass,kg,,0.666
9a8c684a-2c1c-3123-a16f-ffcd545627fd,0017457a-c9ad-43a5-80da-5228b3939750,Mass,kg,,743.0
9a8c684a-2c1c-3123-a16f-ffcd545627fd,0017ce28-9f7a-404b-ad55-d3f43ad13cae,Mass,kg,,167000.0
9a8c684a-2c1c-3123-a16f-ffcd545627fd,001b19a7-934d-49f4-9114-1d39dcac1b9f,Mass,kg,,1310.0
9a8c684a-2c1c-3123-a16f-ffcd545627fd,007a9c38-0de9-49b2-909f-f42903798cea,Mass,kg,,4800.0
9a8c684a-2c1c-3123-a16f-ffcd545627fd,007d4ecd-0831-4984-b5e2-814d129c932b,Mass,kg,,529.0
9a8c684a-2c1c-3123-a16f-ffcd545627fd,0084f973-7133-4d7a-9009-fa46c1f7460c,Mass,kg,,48.1
9a8c684a-2c1c-3123-a16f-ffcd545627fd,008e978b-34f4-48af-a19f-87106447394d,Mass,kg,,0.235
9a8c684a-2c1c-3123-a16f-ffcd545627fd,00946913-24e1-4db7-ab0f-940016ce2343,Mass,kg,,2900.0
9a8c684a-2c1c-3123-a16f-ffcd545627fd,009ccb2d-86d7-417c-8db1-2f4582895b3a,Mass,kg,,6.29E-4
9a8c684a-2c1c-3123-a16f-ffcd545627fd,00ad7489-7661-4082-81f3-12b0d5346256,Mass,kg,,3040.0
9a8c684a-2c1c-3123-a16f-ffcd545627fd,00b55d37-8eb5-4a65-9309-cd897f67084a,Mass,kg,,9.27
9a8c684a-2c1c-3123-a16f-ffcd545627fd,0111102e-fe4a-33d2-82f8-b892862783e1,Mass,kg,,0.00143
9a8c684a-2c1c-3123-a16f-ffcd545627fd,01154b38-a910-478d-bbef-bc29d071ffd9,Mass,kg,,113000.0
9a8c684a-2c1c-3123-a16f-ffcd545627fd,01285299-c683-4e15-b654-201987a7a738,Mass,kg,,53.9
9a8c684a-2c1c-3123-a16f-ffcd545627fd,01321a46-55e3-4de3-b6fa-f77f76e6efc8,Mass,kg,,435000.0
9a8c684a-2c1c-3123-a16f-ffcd545627fd,014a8297-acb4-3aa9-bb1d-54ccdf75cb15,Mass,kg,,0.883
