LCIA category,Flow,Flow property,Flow unit,Location,Factor
9dab4ab4-3696-39ad-ab1a-527600c29cb4,1a568858-efa8-4c2a-b46e-82b6e66b6072,Area,m2,,6.06E-10
9dab4ab4-3696-39ad-ab1a-527600c29cb4,267ca4fd-2526-451e-86e0-796318d509b6,Area,m2,,6.06E-10
9dab4ab4-3696-39ad-ab1a-527600c29cb4,3abec56e-98ea-44d2-b91d-7ae9bcd2141d,Area,m2,,-6.06E-10
9dab4ab4-3696-39ad-ab1a-527600c29cb4,5cf68994-cf11-4e37-9834-1f0e1c382fa5,Area,m2,,6.06E-10
9dab4ab4-3696-39ad-ab1a-527600c29cb4,60fbcca2-15a2-4791-ab89-09921211487f,Area,m2,,6.06E-10
9dab4ab4-3696-39ad-ab1a-527600c29cb4,6c4a3fb1-813d-33f2-87e7-157699f2a835,Area,m2,,6.06E-10
9dab4ab4-3696-39ad-ab1a-527600c29cb4,8f5c8cb3-dccd-45da-9f1f-d1c61cd789c3,Area,m2,,6.06E-10
9dab4ab4-3696-39ad-ab1a-527600c29cb4,90a5a447-af6f-421a-8201-011f07ad1150,Area,m2,,-6.06E-10
9dab4ab4-3696-39ad-ab1a-527600c29cb4,92138f4d-5e83-41fb-a202-6d59c36d5231,Area,m2,,6.06E-10
9dab4ab4-3696-39ad-ab1a-527600c29cb4,c8c9bc86-8649-4637-a435-c2b52d5e1ddf,Area,m2,,6.06E-10
9dab4ab4-3696-39ad-ab1a-527600c29cb4,d10b390c-9d0c-4f59-b31d-3d0d70e77a35,Area,m2,,6.06E-10
9dab4ab4-3696-39ad-ab1a-527600c29cb4,d73b27a2-81bd-4264-baa5-ce4aca3545be,Area,m2,,6.06E-10
