LCIA category,Flow,Flow property,Flow unit,Location,Factor
9e3bd74a-7c72-3204-a5fc-7fea48270e89,0006da9c-c368-3274-a569-01c8154d8949,Mass,kg,,0.559
9e3bd74a-7c72-3204-a5fc-7fea48270e89,0027f20b-d26b-3750-8a45-33abdc4eff74,Mass,kg,,1.446
9e3bd74a-7c72-3204-a5fc-7fea48270e89,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,4.26
9e3bd74a-7c72-3204-a5fc-7fea48270e89,008c75e6-3436-31dd-87de-92bc82e25751,Mass,kg,,1.189
9e3bd74a-7c72-3204-a5fc-7fea48270e89,0106f429-18c4-3f41-88e8-6a781fad61ac,Mass,kg,,4.083
9e3bd74a-7c72-3204-a5fc-7fea48270e89,027f560f-1f9d-3a6f-8a4f-b6b4c824bc0a,Mass,kg,,10.755
9e3bd74a-7c72-3204-a5fc-7fea48270e89,03068434-9899-3802-9491-699a70f35a84,Mass,kg,,0.776
9e3bd74a-7c72-3204-a5fc-7fea48270e89,0405367e-b450-3279-a323-74110bfb61e4,Mass,kg,,21.2
9e3bd74a-7c72-3204-a5fc-7fea48270e89,0482fd78-74ae-3b8c-81e4-7c11c7298192,Mass,kg,,3.233
9e3bd74a-7c72-3204-a5fc-7fea48270e89,059a844f-0b75-373d-83d8-3e4d7efa2105,Mass,kg,,1.583
9e3bd74a-7c72-3204-a5fc-7fea48270e89,06468714-25a1-35ef-9a3a-fcd8c81ddc36,Mass,kg,,2.199
9e3bd74a-7c72-3204-a5fc-7fea48270e89,06760d57-2f83-33f0-8516-cd5ab31248f6,Mass,kg,,2.199
9e3bd74a-7c72-3204-a5fc-7fea48270e89,06e26ec0-62dc-3a80-a2f5-9d3e5a0ddbd8,Mass,kg,,2.105
9e3bd74a-7c72-3204-a5fc-7fea48270e89,077d0805-1a05-37e9-ac94-0e974546c9d9,Mass,kg,,1.251
9e3bd74a-7c72-3204-a5fc-7fea48270e89,07a04359-8282-3d9e-b995-d07409f4965b,Mass,kg,,1.834
9e3bd74a-7c72-3204-a5fc-7fea48270e89,07a595ef-b547-346f-807f-8f3a5163af34,Mass,kg,,0.674
9e3bd74a-7c72-3204-a5fc-7fea48270e89,085ee886-3a19-377b-9679-d9b2d92edc03,Mass,kg,,2.78
9e3bd74a-7c72-3204-a5fc-7fea48270e89,0887e9ba-5ec1-349d-b85b-f3404bdfa4bd,Mass,kg,,3.547
9e3bd74a-7c72-3204-a5fc-7fea48270e89,08a91e70-3ddc-11dd-954d-0050c2490048,Mass,kg,,12.7
9e3bd74a-7c72-3204-a5fc-7fea48270e89,08f2f1a4-3aac-3c16-bd04-471a0c407aac,Mass,kg,,3.458
9e3bd74a-7c72-3204-a5fc-7fea48270e89,0a0b66cb-95ba-3e13-be5e-b1d19d82efc5,Mass,kg,,1.446
9e3bd74a-7c72-3204-a5fc-7fea48270e89,0afc71a8-110a-3b28-b30b-87ed5b50ccf6,Mass,kg,,2.78
