LCIA category,Flow,Flow property,Flow unit,Location,Factor
9e7da751-8c08-3241-85c2-cd72e4f4c373,00637e13-cdda-3715-97c6-e0b881ea5969,Area,m2,,501.91
9e7da751-8c08-3241-85c2-cd72e4f4c373,00907a61-b501-4f47-b688-1dc2b51d48c1,Area,m2,,-6864.8
9e7da751-8c08-3241-85c2-cd72e4f4c373,01fa974b-b5b5-3a42-bd53-fd95cd3f3ebc,Area,m2,,-5895.4
9e7da751-8c08-3241-85c2-cd72e4f4c373,023aa5cc-a9cd-39d4-b10b-91e92ed69b1d,Area,m2,,501.91
9e7da751-8c08-3241-85c2-cd72e4f4c373,032542d3-7078-4f85-bd95-75fdac9268d2,Area,m2,,-4472.6
9e7da751-8c08-3241-85c2-cd72e4f4c373,0384e43e-b51f-36e2-8adb-bf96beec088f,Area,m2,,282.88
9e7da751-8c08-3241-85c2-cd72e4f4c373,06037f74-fb71-3996-bdd1-2c5ef86bc048,Area,m2,,-114.59
9e7da751-8c08-3241-85c2-cd72e4f4c373,061259d7-7bcc-4298-af3a-63d084191988,Area*time,m2*a,,28.288
9e7da751-8c08-3241-85c2-cd72e4f4c373,062a6faf-b1a5-4a6a-aa02-47ae3ec566a8,Area*time,m2*a,,138.81
9e7da751-8c08-3241-85c2-cd72e4f4c373,0782d8ff-80e5-47a7-a2ba-3ba40ab60b60,Area,m2,,174.58
9e7da751-8c08-3241-85c2-cd72e4f4c373,07a366fe-1c9e-4651-ad1a-1da666316417,Area,m2,,501.91
9e7da751-8c08-3241-85c2-cd72e4f4c373,07f05619-bee3-3524-a7d8-b2b3dac9cbb2,Area,m2,,389.73
9e7da751-8c08-3241-85c2-cd72e4f4c373,080bf4c6-fab3-4e21-88c7-20b435aa42e8,Area*time,m2*a,,116.16
9e7da751-8c08-3241-85c2-cd72e4f4c373,0930b6b8-d9c6-4462-966f-ac7495b63bed,Area,m2,,-214.63
9e7da751-8c08-3241-85c2-cd72e4f4c373,0abf9db7-b5a2-4c18-8ec6-aca3a7fb5579,Area,m2,,5899.2
9e7da751-8c08-3241-85c2-cd72e4f4c373,0b062583-0e24-373c-beb5-e3e639619895,Area,m2,,482.18
9e7da751-8c08-3241-85c2-cd72e4f4c373,0b71699f-f013-3465-b171-b25083c0c257,Area*time,m2*a,,38.973
9e7da751-8c08-3241-85c2-cd72e4f4c373,0d7c280e-9f07-48b7-bf01-5cfd0d475e1c,Area,m2,,-4472.6
9e7da751-8c08-3241-85c2-cd72e4f4c373,0ee752cd-5b6b-458d-b660-3e45a6798413,Area,m2,,6864.8
9e7da751-8c08-3241-85c2-cd72e4f4c373,0f361e17-252c-3f5f-bec2-e11e0f681bed,Area,m2,,-282.88
9e7da751-8c08-3241-85c2-cd72e4f4c373,0f923637-e322-44d8-9ff2-9c765d75e253,Area*time,m2*a,,11.459
9e7da751-8c08-3241-85c2-cd72e4f4c373,101f15ac-0698-49dd-b177-471a813ef78e,Area,m2,,-364.05
9e7da751-8c08-3241-85c2-cd72e4f4c373,104e2de4-047b-3274-abeb-888c37cbc00f,Area,m2,,581.17
9e7da751-8c08-3241-85c2-cd72e4f4c373,10ebc72c-2c4b-45ea-abd8-cb7fe0805883,Area,m2,,-509.46
9e7da751-8c08-3241-85c2-cd72e4f4c373,11700b93-5c22-4714-a468-0859f6b46b17,Area,m2,,-501.91
9e7da751-8c08-3241-85c2-cd72e4f4c373,11b3f160-360b-3d4d-8481-e32dd5113c14,Area*time,m2*a,,50.946
9e7da751-8c08-3241-85c2-cd72e4f4c373,12264257-7f8b-4afe-b3cb-3ac28ca1661a,Area,m2,,-2943.6
9e7da751-8c08-3241-85c2-cd72e4f4c373,122644b3-642e-30da-8ecd-9b6cfad1ac1b,Area,m2,,549.23
9e7da751-8c08-3241-85c2-cd72e4f4c373,12c7671c-e4aa-46c6-93c5-b6f9ac1c453b,Area*time,m2*a,,46.211
9e7da751-8c08-3241-85c2-cd72e4f4c373,135816ab-f119-4a64-b608-a61cb788af7d,Area*time,m2*a,,18.128
9e7da751-8c08-3241-85c2-cd72e4f4c373,13de50d5-fce8-3f57-a3ba-3bb7e5ada81b,Area,m2,,-214.63
9e7da751-8c08-3241-85c2-cd72e4f4c373,14a00c9f-9976-44fd-aa01-e8bba2835841,Area,m2,,-7021.9
9e7da751-8c08-3241-85c2-cd72e4f4c373,154bd436-9ad3-3e22-80e5-bb9e8b8c0f15,Area,m2,,-482.18
9e7da751-8c08-3241-85c2-cd72e4f4c373,15601455-4282-33ea-8c89-468de90f203b,Area,m2,,356.41
9e7da751-8c08-3241-85c2-cd72e4f4c373,16835899-c22f-4e78-8076-0d4d340c6f60,Area*time,m2*a,,50.191
9e7da751-8c08-3241-85c2-cd72e4f4c373,17a5a406-333f-4b9e-8852-c2de50bc9585,Area,m2,,-176.02
9e7da751-8c08-3241-85c2-cd72e4f4c373,18636f13-f552-4136-a353-3b5a8e5f87d1,Area*time,m2*a,,50.191
9e7da751-8c08-3241-85c2-cd72e4f4c373,1896b498-8d13-4f58-8c17-21fe57740158,Area*time,m2*a,,50.191
9e7da751-8c08-3241-85c2-cd72e4f4c373,190d9910-5d04-4c97-abea-3b39682b7ed6,Area*time,m2*a,,48.764
9e7da751-8c08-3241-85c2-cd72e4f4c373,19f84b2e-e6ff-4351-ba3a-8b650fc20d14,Area*time,m2*a,,38.973
9e7da751-8c08-3241-85c2-cd72e4f4c373,1a01977a-d170-4ac1-86df-aae792cbeb8f,Area*time,m2*a,,50.191
9e7da751-8c08-3241-85c2-cd72e4f4c373,1a1d0d4b-6b95-4815-ad06-2ec5fe333c43,Area,m2,,-282.88
9e7da751-8c08-3241-85c2-cd72e4f4c373,1a568858-efa8-4c2a-b46e-82b6e66b6072,Area,m2,,4472.6
9e7da751-8c08-3241-85c2-cd72e4f4c373,1b0a8570-eab4-46c2-9b67-c9b918e75676,Area*time,m2*a,,46.211
9e7da751-8c08-3241-85c2-cd72e4f4c373,1ba33265-7100-47b7-b9ed-1f1a74fbb141,Area,m2,,7021.9
9e7da751-8c08-3241-85c2-cd72e4f4c373,1d678d0d-fe42-429b-9aa9-d30127b0ca9c,Area,m2,,-5165.9
9e7da751-8c08-3241-85c2-cd72e4f4c373,1e033b47-5e2f-4fd4-acc3-df3e2e3e56a5,Area,m2,,-4937.0
