LCIA category,Flow,Flow property,Flow unit,Location,Factor
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,00793b76-e63c-44c5-854c-0dad4a247dcc,Mass,kg,,620000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,01d719e4-2462-4175-8b07-a2c819f64259,Mass,kg,,710.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,032f324c-555e-450f-bc87-f012497f0e19,Mass,kg,,320000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,038a4e3f-7406-4ed3-a076-7ebb3433e02e,Mass,kg,,4200000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,065b12f0-582c-3dfa-8aa7-0649c22ee023,Mass,kg,,90000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,0672d2f6-109b-485b-bedd-42b743dbddec,Mass,kg,,4700000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,0795345f-c7ae-410c-ad25-1845784c75f5,Mass,kg,,12000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,0974d429-0b86-4bc7-9a55-a3124f711901,Mass,kg,,510000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,099b36ab-4c03-4587-87f4-2f81e337afb8,Mass,kg,,720.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,0bedb00e-da1d-4861-8609-5608ea83c0f5,Mass,kg,,5500.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,0c01bc32-1f7a-4159-8082-a4d90f715caa,Mass,kg,,4200000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,0d9f1f58-e5b6-4387-a22e-ae28c4ccfc6a,Mass,kg,,160000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,119c9554-351e-417b-ad7d-8c94dc499d1d,Mass,kg,,160000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,1346c00b-3aa0-4f3b-a036-b2060128dde9,Mass,kg,,1500000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,14f28ac8-187a-435d-89de-39a6ad595a71,Mass,kg,,160000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,151212b4-079b-43a2-96d5-a6eef59166ac,Mass,kg,,310000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,15d34aed-2d4b-3173-8b63-14a6278c742e,Mass,kg,,90000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,167d959c-fd63-48be-8bb4-e78415b17180,Mass,kg,,160000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,16eeda8a-1ea2-408e-ab37-2648495058dd,Mass,kg,,460.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,16fcd4f9-0bb8-4b84-8334-3ffb1a17aa74,Mass,kg,,660000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,1963a3ba-6d77-4571-bb8f-0e9c8ac28a65,Mass,kg,,4500000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,1a7c6089-6946-410d-821a-5bcae7cb26ad,Mass,kg,,180.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,1b2e92d6-3544-4826-8d78-8d443a54d425,Mass,kg,,3500000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,1b3e4e3a-d2ff-4974-b785-91e909c413b9,Mass,kg,,710.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,1b64f908-e50e-31db-bb12-b1de3d9755f7,Mass,kg,,12000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,1c019053-2b4b-3f69-a07a-c2b27d61c410,Mass,kg,,160000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,1c4a106a-53bc-40f5-bcae-d30ab191dbfe,Mass,kg,,57000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,1c9acbd0-2960-4cfc-a859-817bfa50c3e2,Mass,kg,,4300000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,1f1f7a46-29ea-427c-b986-41c77049897c,Mass,kg,,370000.0
a2b9e7f7-acfb-4a53-9da6-aee10bf791a4,1f38a629-a382-3721-a74c-637283828233,Mass,kg,,12000.0
