LCIA category,Flow,Flow property,Flow unit,Location,Factor
a2ca4f4e-aa74-325a-b8ba-301fab152372,002bb7b8-b4a0-395f-b4bf-ca035a674504,Mass,kg,,0.32
a2ca4f4e-aa74-325a-b8ba-301fab152372,00809b9f-c6e1-3197-831c-d5dffde203ac,Mass,kg,,0.019
a2ca4f4e-aa74-325a-b8ba-301fab152372,01dc1a65-b6f6-3a0a-a2c0-1faba0c8fc0b,Mass,kg,,0.032
a2ca4f4e-aa74-325a-b8ba-301fab152372,02033840-8e44-3d26-8d27-fe66571d2076,Mass,kg,,0.12
a2ca4f4e-aa74-325a-b8ba-301fab152372,033d3a16-e1a2-4ce8-8769-f4ea867801ca,Mass,kg,,0.12
a2ca4f4e-aa74-325a-b8ba-301fab152372,04a6edb8-624a-484e-8f85-d771657adae7,Mass,kg,,0.04
a2ca4f4e-aa74-325a-b8ba-301fab152372,050da0cd-2957-45a9-ae7a-ace372083fe5,Mass,kg,,0.02
a2ca4f4e-aa74-325a-b8ba-301fab152372,05296de2-6d44-3019-84ed-938709ec05e3,Mass,kg,,0.55
a2ca4f4e-aa74-325a-b8ba-301fab152372,05955330-496e-3f20-9183-0eccc9de4c1e,Mass,kg,,0.03
a2ca4f4e-aa74-325a-b8ba-301fab152372,06a4fedf-dab4-4ef1-90df-1d0ce8fe6477,Mass,kg,,6.0
a2ca4f4e-aa74-325a-b8ba-301fab152372,073ea938-209b-3fa3-a4f4-40eba1cc2538,Mass,kg,,1.0
a2ca4f4e-aa74-325a-b8ba-301fab152372,08d09a8d-927a-3542-a297-4f87ad0417d8,Mass,kg,,0.019
a2ca4f4e-aa74-325a-b8ba-301fab152372,09e231fa-b1c2-4d63-9c57-7ea0e2210858,Mass,kg,,0.38
a2ca4f4e-aa74-325a-b8ba-301fab152372,0bf92802-8b5e-43f5-a261-95c06bd5c551,Mass,kg,,0.02
a2ca4f4e-aa74-325a-b8ba-301fab152372,0d130d94-3e5d-3e5a-943d-38edb6ab26af,Mass,kg,,1.1
a2ca4f4e-aa74-325a-b8ba-301fab152372,0d20183a-fb02-358f-b629-1bf6854d4caf,Mass,kg,,0.47
a2ca4f4e-aa74-325a-b8ba-301fab152372,0e245d81-9cc2-3342-8297-cedce3866ec9,Mass,kg,,0.12
