LCIA category,Flow,Flow property,Flow unit,Location,Factor
a3ba16ba-0377-3317-a297-af193740c39c,0305b169-255d-4041-8f5d-6e095bcb6358,Mass,kg,,2.38
a3ba16ba-0377-3317-a297-af193740c39c,06874cbb-2daf-4981-a55e-2c38be5b7277,Mass,kg,,410.0
a3ba16ba-0377-3317-a297-af193740c39c,0995f4ad-2655-43a3-b98e-65d08af753a5,Mass,kg,,23.75
a3ba16ba-0377-3317-a297-af193740c39c,0b5f0a27-ef5b-41ad-985e-3f7d85ecfa5f,Mass,kg,,0.0164
a3ba16ba-0377-3317-a297-af193740c39c,10e3b9bc-648f-4321-be48-5df740b07e04,Mass,kg,,7.35
a3ba16ba-0377-3317-a297-af193740c39c,15545dca-018d-4f7f-aa1f-796b707180af,Mass,kg,,165.5
a3ba16ba-0377-3317-a297-af193740c39c,17dfe28e-1351-4223-9329-819c1ba6904e,Mass,kg,,600.0
a3ba16ba-0377-3317-a297-af193740c39c,17f04213-ecb8-3561-aac6-0fdb3295777a,Mass,kg,,962.0
a3ba16ba-0377-3317-a297-af193740c39c,1812b512-f2ea-43b7-a68d-8ec8eb1f0c44,Mass,kg,,410.0
a3ba16ba-0377-3317-a297-af193740c39c,195e2726-7b5e-4320-bf1e-990d0a22fd18,Mass,kg,,0.415
a3ba16ba-0377-3317-a297-af193740c39c,19988f5b-a9a6-48f3-9e8e-150b66a1bf12,Mass,kg,,41.8
a3ba16ba-0377-3317-a297-af193740c39c,1aee4aa7-32e0-48e7-a6b5-73d8acf672d3,Mass,kg,,79.8
a3ba16ba-0377-3317-a297-af193740c39c,1b35070a-eb57-4f0f-a27f-5ba181ff0d4d,Mass,kg,,70.3
a3ba16ba-0377-3317-a297-af193740c39c,22c4fde1-3c61-33f6-80d6-a575560c85ee,Mass,kg,,962.0
a3ba16ba-0377-3317-a297-af193740c39c,22ddd3d2-bea3-3561-981d-08cb5d548926,Mass,kg,,0.368
a3ba16ba-0377-3317-a297-af193740c39c,2737dccb-d7b8-4002-a3f5-1ab6e1c6515e,Mass,kg,,0.313
a3ba16ba-0377-3317-a297-af193740c39c,296a7d5b-e4b0-468d-9032-73e97cf86a7e,Mass,kg,,186.0
a3ba16ba-0377-3317-a297-af193740c39c,2a73815a-9774-35ed-a8fa-6952fa17a3e0,Mass,kg,,7.35
a3ba16ba-0377-3317-a297-af193740c39c,2d9f9c6b-8dca-4641-8ff9-53cb8beabd13,Mass,kg,,7.35
a3ba16ba-0377-3317-a297-af193740c39c,30fed59d-d722-482f-be4f-f3d93bdd2527,Mass,kg,,186.0
a3ba16ba-0377-3317-a297-af193740c39c,31998285-fb5c-411d-b853-ce78be2a0b49,Mass,kg,,35.2
a3ba16ba-0377-3317-a297-af193740c39c,31b4eea9-640e-4056-ac2f-0555627af18a,Mass,kg,,600.0
a3ba16ba-0377-3317-a297-af193740c39c,363646d2-999e-4a69-a8b4-7ccfa4ec3790,Mass,kg,,164.0
a3ba16ba-0377-3317-a297-af193740c39c,38cd88d2-3834-4763-9ed3-31adce2bdfbb,Mass,kg,,186.0
a3ba16ba-0377-3317-a297-af193740c39c,397289f3-474e-4711-92d5-157942f488a4,Mass,kg,,0.275
a3ba16ba-0377-3317-a297-af193740c39c,3ae47837-9e71-410d-9d93-7caea4f0e54b,Mass,kg,,2.6
a3ba16ba-0377-3317-a297-af193740c39c,3f891fb6-cf17-484d-a1a2-e63b45245648,Mass,kg,,0.051
a3ba16ba-0377-3317-a297-af193740c39c,3faef344-9e52-47a3-a317-e17b824cc540,Mass,kg,,4.09
a3ba16ba-0377-3317-a297-af193740c39c,4382a809-3099-4528-bbbf-5f6b1b3e719d,Mass,kg,,7.35
a3ba16ba-0377-3317-a297-af193740c39c,4390a7a6-ede6-4e7c-8176-7a348493c0d0,Mass,kg,,0.275
a3ba16ba-0377-3317-a297-af193740c39c,4a89f19c-ac7d-3ca8-ad96-72c4c5f779bf,Mass,kg,,798.0
a3ba16ba-0377-3317-a297-af193740c39c,4df0eac4-44bb-46b6-b588-e3513a1ead2f,Mass,kg,,7.35
