LCIA category,Flow,Flow property,Flow unit,Location,Factor
a3d8efe7-0723-3d38-b61d-b203323a29a1,033d3a16-e1a2-4ce8-8769-f4ea867801ca,Mass,kg,,0.12
a3d8efe7-0723-3d38-b61d-b203323a29a1,06a4fedf-dab4-4ef1-90df-1d0ce8fe6477,Mass,kg,,6.0
a3d8efe7-0723-3d38-b61d-b203323a29a1,09e231fa-b1c2-4d63-9c57-7ea0e2210858,Mass,kg,,0.38
a3d8efe7-0723-3d38-b61d-b203323a29a1,0a422843-73b9-4486-ba6a-7933f3037291,Mass,kg,,1.3
a3d8efe7-0723-3d38-b61d-b203323a29a1,0bf92802-8b5e-43f5-a261-95c06bd5c551,Mass,kg,,0.02
a3d8efe7-0723-3d38-b61d-b203323a29a1,0f70e720-127e-44dc-bb85-438158235ab6,Mass,kg,,0.02
a3d8efe7-0723-3d38-b61d-b203323a29a1,1013b9ec-a7b5-459c-be3d-74f61b9ce06e,Mass,kg,,1.0
a3d8efe7-0723-3d38-b61d-b203323a29a1,12bb7ba6-0cb3-39bb-b920-a7aef7adb5ce,Mass,kg,,0.12
a3d8efe7-0723-3d38-b61d-b203323a29a1,1584734d-c5c8-42a5-aa51-0f6a92a9cc0d,Mass,kg,,0.94
a3d8efe7-0723-3d38-b61d-b203323a29a1,15e54d5b-aba2-40a6-9aa8-aa2b8c432129,Mass,kg,,0.44
a3d8efe7-0723-3d38-b61d-b203323a29a1,1652c2e3-c6c5-49e1-9ad1-34c188087ca6,Mass,kg,,0.07
a3d8efe7-0723-3d38-b61d-b203323a29a1,18c582fe-7336-4138-8797-2db8b7a754c7,Mass,kg,,0.05
a3d8efe7-0723-3d38-b61d-b203323a29a1,18ddd879-5496-4419-8ab7-e0d3864d977d,Mass,kg,,12.0
a3d8efe7-0723-3d38-b61d-b203323a29a1,18ea247b-edc2-43fe-89bd-cedd04102bcc,Mass,kg,,0.02
a3d8efe7-0723-3d38-b61d-b203323a29a1,1c6084c6-f1f4-448f-badf-2ed8c7e354ee,Mass,kg,,0.02
a3d8efe7-0723-3d38-b61d-b203323a29a1,1e060d5a-cd41-4f30-9c93-272403b7e004,Mass,kg,,0.94
a3d8efe7-0723-3d38-b61d-b203323a29a1,246c87af-4495-4977-8d39-eae397c1c8f1,Mass,kg,,0.02
a3d8efe7-0723-3d38-b61d-b203323a29a1,26991da1-c263-4707-9f85-78685acc94dc,Mass,kg,,0.05
a3d8efe7-0723-3d38-b61d-b203323a29a1,27f61651-96a5-45c7-9873-832626cf6905,Mass,kg,,0.02
a3d8efe7-0723-3d38-b61d-b203323a29a1,2849950e-a427-4f15-b5e9-d2f0362e5cd3,Mass,kg,,8.5
a3d8efe7-0723-3d38-b61d-b203323a29a1,30533fd3-b19c-44fc-9a88-fb6b12409b47,Mass,kg,,0.44
a3d8efe7-0723-3d38-b61d-b203323a29a1,31a3e44c-4098-461e-aba2-f79540e05087,Mass,kg,,1.0
a3d8efe7-0723-3d38-b61d-b203323a29a1,31f8976a-6f7d-487e-a850-eb495dbf0351,Mass,kg,,1.0
a3d8efe7-0723-3d38-b61d-b203323a29a1,33a69662-583b-45b8-8cb9-94f59fca9133,Mass,kg,,1.0
a3d8efe7-0723-3d38-b61d-b203323a29a1,3613c452-7500-4753-819d-4a310943ce48,Mass,kg,,0.03
a3d8efe7-0723-3d38-b61d-b203323a29a1,370447a7-70d1-47bd-8577-0a32c4f53570,Mass,kg,,0.02
a3d8efe7-0723-3d38-b61d-b203323a29a1,3b30d058-02ef-4ed2-b357-5fc1a45c63e7,Mass,kg,,0.94
a3d8efe7-0723-3d38-b61d-b203323a29a1,3feb6415-ae50-4bb7-b9d1-c18d99f8a87f,Mass,kg,,1.0
a3d8efe7-0723-3d38-b61d-b203323a29a1,400be66e-4383-482a-93e3-c005e96de261,Mass,kg,,0.07
a3d8efe7-0723-3d38-b61d-b203323a29a1,416eedbd-a7b4-4693-8031-9bfaa2f20ebc,Mass,kg,,0.12
a3d8efe7-0723-3d38-b61d-b203323a29a1,45d459a5-33fc-37fa-bcfa-16cc05ebe2b1,Mass,kg,,0.02
a3d8efe7-0723-3d38-b61d-b203323a29a1,46d70535-e74d-3c0e-8aa9-d52233b755d6,Mass,kg,,0.38
a3d8efe7-0723-3d38-b61d-b203323a29a1,47c12d99-c2dc-41cf-bad1-cd31c2fe0421,Mass,kg,,0.9
a3d8efe7-0723-3d38-b61d-b203323a29a1,48c0daa7-79f4-43bd-a809-9f57c102cc7b,Mass,kg,,0.02
a3d8efe7-0723-3d38-b61d-b203323a29a1,4925cde1-9f43-43d3-bcf1-4865b8de6634,Mass,kg,,0.44
a3d8efe7-0723-3d38-b61d-b203323a29a1,494eb62d-3e16-4a81-b344-6d6dfd9fd4e2,Mass,kg,,6.0
a3d8efe7-0723-3d38-b61d-b203323a29a1,4981fdec-9dbd-4688-9fd4-6a6b3191161f,Mass,kg,,8.5
a3d8efe7-0723-3d38-b61d-b203323a29a1,4ac2ffc3-312e-4e2d-88c4-2630d4a73d8c,Mass,kg,,12.0
a3d8efe7-0723-3d38-b61d-b203323a29a1,4bf1c333-419b-4278-ac14-247c8bf563d6,Mass,kg,,0.38
a3d8efe7-0723-3d38-b61d-b203323a29a1,50432644-8568-444e-b7e7-8e37a7e1f3e3,Mass,kg,,0.07
a3d8efe7-0723-3d38-b61d-b203323a29a1,50f528ca-45e7-42d0-b399-998ea63ddabf,Mass,kg,,6.0
a3d8efe7-0723-3d38-b61d-b203323a29a1,51e99a55-bcdb-4d18-9484-6de4b142e09d,Mass,kg,,1.0
a3d8efe7-0723-3d38-b61d-b203323a29a1,53b28283-1c71-358d-b5c6-d17d517d41ef,Mass,kg,,0.9
a3d8efe7-0723-3d38-b61d-b203323a29a1,53b87932-00c8-4bf4-b519-ecd3c401ed4d,Mass,kg,,0.9
a3d8efe7-0723-3d38-b61d-b203323a29a1,56b7d3b6-83d7-42b0-a65b-5ad23e29db47,Mass,kg,,0.05
a3d8efe7-0723-3d38-b61d-b203323a29a1,56bda39a-8b52-4ea0-882b-a59ec2fec7be,Mass,kg,,1.3
