LCIA category,Flow,Flow property,Flow unit,Location,Factor
a3eafba2-4999-31ff-b2d3-a312b625eac1,0124b342-4bdd-5cbf-ba2a-dce8a259755c,Mass,kg,,4.49
a3eafba2-4999-31ff-b2d3-a312b625eac1,0305b169-255d-4041-8f5d-6e095bcb6358,Mass,kg,,2.53E-5
a3eafba2-4999-31ff-b2d3-a312b625eac1,05a7548c-51aa-35d7-bfc9-dc95fcbb5218,Mass,kg,,8.42
a3eafba2-4999-31ff-b2d3-a312b625eac1,06874cbb-2daf-4981-a55e-2c38be5b7277,Mass,kg,,0.0711
a3eafba2-4999-31ff-b2d3-a312b625eac1,080132f4-d8a5-4ff3-b926-c85847efd77c,Mass,kg,,0.816
a3eafba2-4999-31ff-b2d3-a312b625eac1,08a91e70-3ddc-11dd-96d2-0050c2490048,Mass,kg,,0.0655
a3eafba2-4999-31ff-b2d3-a312b625eac1,08a91e70-3ddc-11dd-a0f6-0050c2490048,Mass,kg,,4.49
a3eafba2-4999-31ff-b2d3-a312b625eac1,094ded20-e873-4338-8d81-b570a1d65acc,Mass,kg,,0.00528
a3eafba2-4999-31ff-b2d3-a312b625eac1,095dbf93-42f8-4aa6-a6df-2e3d1461ad0d,Mass,kg,,11.5
a3eafba2-4999-31ff-b2d3-a312b625eac1,0995f4ad-2655-43a3-b98e-65d08af753a5,Mass,kg,,0.00418
a3eafba2-4999-31ff-b2d3-a312b625eac1,0e8ab9d2-cc60-4fbb-9cd8-2cc9a7e3d56d,Mass,kg,,0.254
a3eafba2-4999-31ff-b2d3-a312b625eac1,0f1b21d0-2780-4742-87f2-28fb21a44db5,Mass,kg,,0.177
a3eafba2-4999-31ff-b2d3-a312b625eac1,10e3b9bc-648f-4321-be48-5df740b07e04,Mass,kg,,0.015
a3eafba2-4999-31ff-b2d3-a312b625eac1,14946240-b1ee-412c-b900-ed5728a4e684,Mass,kg,,8.42
a3eafba2-4999-31ff-b2d3-a312b625eac1,14eb7f62-3949-3a5e-83d3-32c6a6af6a4b,Mass,kg,,19500.0
a3eafba2-4999-31ff-b2d3-a312b625eac1,15ecd7f4-7734-44ec-af1c-8d3a46d27f1f,Mass,kg,,0.0256
a3eafba2-4999-31ff-b2d3-a312b625eac1,16ddda12-daf4-460c-83fb-c361bdbbc9e9,Mass,kg,,36.0
a3eafba2-4999-31ff-b2d3-a312b625eac1,17dfe28e-1351-4223-9329-819c1ba6904e,Mass,kg,,0.115
a3eafba2-4999-31ff-b2d3-a312b625eac1,17f04213-ecb8-3561-aac6-0fdb3295777a,Mass,kg,,0.00418
a3eafba2-4999-31ff-b2d3-a312b625eac1,1812b512-f2ea-43b7-a68d-8ec8eb1f0c44,Mass,kg,,0.0711
a3eafba2-4999-31ff-b2d3-a312b625eac1,19988f5b-a9a6-48f3-9e8e-150b66a1bf12,Mass,kg,,0.0025
a3eafba2-4999-31ff-b2d3-a312b625eac1,1aee4aa7-32e0-48e7-a6b5-73d8acf672d3,Mass,kg,,0.0025
a3eafba2-4999-31ff-b2d3-a312b625eac1,1b35070a-eb57-4f0f-a27f-5ba181ff0d4d,Mass,kg,,0.0025
a3eafba2-4999-31ff-b2d3-a312b625eac1,2258583e-4857-49f1-a7a8-3a653a023fbf,Mass,kg,,8.42
a3eafba2-4999-31ff-b2d3-a312b625eac1,22c4fde1-3c61-33f6-80d6-a575560c85ee,Mass,kg,,0.00418
a3eafba2-4999-31ff-b2d3-a312b625eac1,240177d8-6f3b-43f5-8d1e-0c18114dfa02,Mass,kg,,0.00337
a3eafba2-4999-31ff-b2d3-a312b625eac1,243cfaf5-4060-3794-bb58-5560aa86651c,Mass,kg,,9.36
a3eafba2-4999-31ff-b2d3-a312b625eac1,2619aa71-378c-415c-8ece-77ee28d7b9c5,Mass,kg,,36.0
a3eafba2-4999-31ff-b2d3-a312b625eac1,2737dccb-d7b8-4002-a3f5-1ab6e1c6515e,Mass,kg,,2.35E-5
a3eafba2-4999-31ff-b2d3-a312b625eac1,296a7d5b-e4b0-468d-9032-73e97cf86a7e,Mass,kg,,0.0711
a3eafba2-4999-31ff-b2d3-a312b625eac1,2a73815a-9774-35ed-a8fa-6952fa17a3e0,Mass,kg,,0.015
a3eafba2-4999-31ff-b2d3-a312b625eac1,2ba5e39b-adb6-4767-a51d-90c1cf32fe98,Mass,kg,,0.0656
a3eafba2-4999-31ff-b2d3-a312b625eac1,2c3bad90-9c15-3c4c-9ef7-8517678060a5,Mass,kg,,0.0656
a3eafba2-4999-31ff-b2d3-a312b625eac1,2d65a3f7-2a10-4a10-ac9e-a0cc7cd57979,Mass,kg,,36.0
a3eafba2-4999-31ff-b2d3-a312b625eac1,2d75f8a4-4792-3f17-bd60-013a9fcd6e9a,Mass,kg,,0.0656
a3eafba2-4999-31ff-b2d3-a312b625eac1,2d9f9c6b-8dca-4641-8ff9-53cb8beabd13,Mass,kg,,0.015
a3eafba2-4999-31ff-b2d3-a312b625eac1,2ddb38cc-c07f-3e2f-9d8d-a1e51d2c7520,Mass,kg,,31.9
a3eafba2-4999-31ff-b2d3-a312b625eac1,2ee5e952-3cf2-354d-945a-e1471754c2c8,Mass,kg,,6.21E-5
