LCIA category,Flow,Flow property,Flow unit,Location,Factor
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,0267272f-ea07-498a-9723-43583f115b46,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,02703daf-fde4-489a-b7e5-523e46151312,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,046887e9-5de9-44c0-8461-3c6da8e9e4b1,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,08ebf986-d40a-4538-8aa7-21da2f99edf7,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,0d6def86-f116-4da2-9f2f-c3d9dab2248d,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,14ee3991-b63b-47bc-989f-0f4db81f7c72,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,16916dd2-a145-4cb2-9769-19c551b2ff5e,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,16d7b9bd-003a-493b-8b98-b6986d3cae24,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,22d1736f-baa9-481e-9583-42654a6a7c26,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,26328cc0-eaef-49b4-9c42-2396313bbb5e,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,2f38ead0-f60f-4a9b-a7ca-31219c1a2f65,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,31cda69b-c54e-4f82-a88d-e01c1c7fff2b,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,32aaf6ef-c3e7-4c81-8e37-4c3c8768454f,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,336fca6f-2dc9-4514-96ae-2a2af154c74e,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,3681c873-199a-45ec-9521-81e430bed4df,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,37c36adc-7728-4081-81f3-6cc2da7c9f9f,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,3ae6e5bb-fdd6-424a-be6f-80e7240ad8b7,Radioactivity,kBq,,1.0
a4e95db3-9fb4-3b32-8f1c-2872ac621b25,3c5a2d44-0206-427c-b34e-3b871077bd40,Radioactivity,kBq,,1.0
