LCIA category,Flow,Flow property,Flow unit,Location,Factor
a4ebc45d-c11b-32ff-b2d5-56f496c8908e,0017271e-7df5-40bc-833a-36110c1fe5d5,Mass,kg,,0.177
a4ebc45d-c11b-32ff-b2d5-56f496c8908e,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,0.096
a4ebc45d-c11b-32ff-b2d5-56f496c8908e,066872fe-7faf-4fa1-b6b7-a347c395976f,Mass,kg,,0.177
a4ebc45d-c11b-32ff-b2d5-56f496c8908e,09257c34-f323-436a-81be-ef90e9171ed2,Mass,kg,,0.177
a4ebc45d-c11b-32ff-b2d5-56f496c8908e,0b7e10a8-6ca0-4a50-a39b-f2a019cb3610,Mass,kg,,0.096
a4ebc45d-c11b-32ff-b2d5-56f496c8908e,0c150bb4-fd1a-43f8-b6c9-5dfda8dadb6c,Mass,kg,,0.59
a4ebc45d-c11b-32ff-b2d5-56f496c8908e,0e9e6b81-0a68-4350-8368-566c083bd3e0,Mass,kg,,0.0736
a4ebc45d-c11b-32ff-b2d5-56f496c8908e,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Mass,kg,,0.1886
a4ebc45d-c11b-32ff-b2d5-56f496c8908e,10d61f4b-01ce-4f02-8140-a0d22777b405,Mass,kg,,0.177
a4ebc45d-c11b-32ff-b2d5-56f496c8908e,143e1c14-8bfa-4054-8f0a-363cc02ce682,Mass,kg,,0.3186
a4ebc45d-c11b-32ff-b2d5-56f496c8908e,14855254-9651-473b-92a2-1d0e4438ddbd,Mass,kg,,0.59
a4ebc45d-c11b-32ff-b2d5-56f496c8908e,1550e897-623b-4f0a-9c90-10f88b4850e3,Mass,kg,,0.177
a4ebc45d-c11b-32ff-b2d5-56f496c8908e,15ca802b-f541-44aa-bd33-35560a053193,Mass,kg,,0.0736
a4ebc45d-c11b-32ff-b2d5-56f496c8908e,17f7e776-7934-54af-8c3c-ed0247cb697b,Mass,kg,,0.1504
a4ebc45d-c11b-32ff-b2d5-56f496c8908e,180520a0-34e8-4058-bac9-27cbbb32c527,Mass,kg,,0.1357
a4ebc45d-c11b-32ff-b2d5-56f496c8908e,1febb3ea-a4ee-4b7d-a6e7-0c4b6da28188,Mass,kg,,0.3186
