LCIA category,Flow,Flow property,Flow unit,Location,Factor
ad0660c4-968e-3272-96f8-a68b41bfb5e9,062a6faf-b1a5-4a6a-aa02-47ae3ec566a8,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,080bf4c6-fab3-4e21-88c7-20b435aa42e8,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,14b92328-e08d-4fac-b16a-da5dcd0e5627,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,190d9910-5d04-4c97-abea-3b39682b7ed6,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,1eaa9ea4-40b8-414a-b198-5626400372e1,Area*time,m2*a,,-1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,26586deb-0d0d-42b7-ae01-e6e517a743cb,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,26efe47c-92a5-4dea-b4d0-eac13e418a58,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,2aa913a6-41a4-47cd-83bd-58cc5e1b11a5,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,3259f9e3-8108-444b-9521-de12e53f6e35,Area*time,m2*a,,-1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,379ba5c9-5c3a-43d0-8e2d-605ad9c39e46,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,3b4db191-9634-4a01-a873-f3cb234785e4,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,3e7f1605-9451-4e53-9690-ab5318033227,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,44ea6f89-8780-45b4-a80a-cfc3abcfef5f,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,45091000-d7e1-459f-bac5-38b51efb4d63,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,4b6b9b76-3199-4bd0-b11d-f8f2efbeac4e,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,50b14562-ddeb-49d7-899c-dcbf9dfed004,Area*time,m2*a,,0.6
ad0660c4-968e-3272-96f8-a68b41bfb5e9,56ec994a-eb96-42e8-93eb-4970e30e6362,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,5ce41517-25bb-4da6-b839-5fd0f00baff1,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,70c4c6d8-ed81-4763-ae6d-39e54ef0b1fa,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,72745257-3534-4ca3-adfa-a2eb63f1e7d9,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,74212326-ca29-46f8-a600-4e45b0ad688e,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,7d6baa46-6ac9-4f04-9bcb-abc382574260,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,956c5f83-65c8-4607-9749-147cfb9c8f70,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,9db06277-b6d9-4c48-8cfb-de342e928a50,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,b0828a29-0261-4a12-a5d3-9e72c7e89619,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,b8210d24-4b65-3710-846b-d24edffb5f89,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,c033dd2f-87a4-435d-a7cb-477b15310066,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,c7cb5880-4219-4051-9357-10fdd08c6f2b,Area*time,m2*a,,0.6
ad0660c4-968e-3272-96f8-a68b41bfb5e9,cf39ec61-e779-4614-97b7-ec622556040d,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,d5bb94d9-1426-3366-ad9c-2facec6e4f12,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,dde38771-435a-4f90-ad87-fd944f90b437,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,faa01bcb-884e-4c79-9ea2-16da6596c6a6,Area*time,m2*a,,1.0
ad0660c4-968e-3272-96f8-a68b41bfb5e9,fe9c3a98-a6d2-452d-a9a4-a13e64f1b95b,Area*time,m2*a,,1.0
