LCIA category,Flow,Flow property,Flow unit,Location,Factor
aeb965a8-6d8f-3393-a3de-7d4170830685,049dea16-329c-3047-9d0a-d4003dfeb2f0,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,123ca625-2743-3fa5-8d00-90ed05c0f9c4,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,15264e41-3747-36df-8964-834c3e107736,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,15e28a77-38c2-3e15-972a-43c8d47cba26,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,17bcc63b-dab7-30fa-b7a2-814eed9b65e0,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,1e1b97ad-dbdc-307e-ab22-3542c6bf96d8,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,1e9c49cf-4cb8-396e-bc7f-bd1f51cdb5a0,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,2a6b34cd-08f2-3c6e-ae3f-342e957cfde0,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,36d26020-74dd-3bf9-9ef6-55da78d1e430,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,3811e08a-d742-32a5-b2a2-6508ef1417ff,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,4c74db94-155d-3e9e-9107-f5d01cdafed4,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,525454d8-2703-3ebb-8a8a-0379c7d7fd31,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,603b66f2-ef46-3411-a39e-1050292c863f,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,8bd1295e-4af1-4177-88a2-6f56ac8e4546,Volume,m3,,1600.0
aeb965a8-6d8f-3393-a3de-7d4170830685,8e95647c-5a4b-38fe-81e8-792b99f35220,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,8fb7ee00-88e5-3e6a-96d3-3b9cc0425a76,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,905e5fa3-2f02-3d5e-9c78-654f1a332509,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,a4d0f936-822b-305e-b006-06142c251afe,Volume,m3,,1600.0
aeb965a8-6d8f-3393-a3de-7d4170830685,b9ade741-a130-3a0a-ac20-4d8cd65b42a0,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,d25c0f0d-e6ca-30e0-90c0-34dc5b76a50a,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,ddb4b7e8-5259-3f2c-baf5-2935e35578ee,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,f25fdf2c-716f-3a3d-a3f8-86d94ab82d89,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,f4a5dc3d-3db5-3964-83ef-06440d298df7,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,faef29a9-45bd-36c8-925f-31fd0237f7bc,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,fb8ce04a-4b7c-3eb9-bd2c-6875e6a349c6,Mass,kg,,1.0
aeb965a8-6d8f-3393-a3de-7d4170830685,fd265cb4-b88a-3aa8-9b63-c338f1894c31,Mass,kg,,1.0
