LCIA category,Flow,Flow property,Flow unit,Location,Factor
b3d5b4e1-cf11-3960-b71f-b780295d28c6,007f79d8-5492-3378-a2cf-4de2cdd8a165,Mass,kg,,1.49E-5
b3d5b4e1-cf11-3960-b71f-b780295d28c6,01918e03-46b5-4d15-9e48-01e3332859cc,Mass,kg,,3.95E-5
b3d5b4e1-cf11-3960-b71f-b780295d28c6,024c9722-1e88-412b-8c4b-10c532be8dca,Mass,kg,,1.49E-5
b3d5b4e1-cf11-3960-b71f-b780295d28c6,0305b169-255d-4041-8f5d-6e095bcb6358,Mass,kg,,0.0015
b3d5b4e1-cf11-3960-b71f-b780295d28c6,03599e77-3732-41ae-8d66-5e15c8bb34ba,Mass,kg,,1.34E-5
b3d5b4e1-cf11-3960-b71f-b780295d28c6,05a7548c-51aa-35d7-bfc9-dc95fcbb5218,Mass,kg,,23.7
b3d5b4e1-cf11-3960-b71f-b780295d28c6,06874cbb-2daf-4981-a55e-2c38be5b7277,Mass,kg,,0.744
b3d5b4e1-cf11-3960-b71f-b780295d28c6,079339c7-49a2-3a17-9aa7-9b14b5c47560,Mass,kg,,3.95E-5
b3d5b4e1-cf11-3960-b71f-b780295d28c6,080132f4-d8a5-4ff3-b926-c85847efd77c,Mass,kg,,14.9
b3d5b4e1-cf11-3960-b71f-b780295d28c6,08d8474a-1b6a-42e4-b509-e9684d170ea1,Volume,m3,,3.52E-5
b3d5b4e1-cf11-3960-b71f-b780295d28c6,095dbf93-42f8-4aa6-a6df-2e3d1461ad0d,Mass,kg,,149.0
b3d5b4e1-cf11-3960-b71f-b780295d28c6,0995f4ad-2655-43a3-b98e-65d08af753a5,Mass,kg,,0.103
b3d5b4e1-cf11-3960-b71f-b780295d28c6,0a0aa3d6-72c7-36d3-8a81-ed1056109de4,Mass,kg,,1.34E-5
b3d5b4e1-cf11-3960-b71f-b780295d28c6,0cd5f087-e6bd-3261-9178-e87062589125,Mass,kg,,0.31
b3d5b4e1-cf11-3960-b71f-b780295d28c6,0e3139fc-4b5d-37e1-b328-2f4ae75b6482,Mass,kg,,1.34E-5
b3d5b4e1-cf11-3960-b71f-b780295d28c6,0e652c80-3587-4af3-8c40-d6e6607f7ea8,Mass,kg,,3.95E-5
b3d5b4e1-cf11-3960-b71f-b780295d28c6,0e8ab9d2-cc60-4fbb-9cd8-2cc9a7e3d56d,Mass,kg,,2.21
b3d5b4e1-cf11-3960-b71f-b780295d28c6,0f1b21d0-2780-4742-87f2-28fb21a44db5,Mass,kg,,0.941
b3d5b4e1-cf11-3960-b71f-b780295d28c6,10e3b9bc-648f-4321-be48-5df740b07e04,Mass,kg,,0.0955
b3d5b4e1-cf11-3960-b71f-b780295d28c6,116985c9-8bd9-3925-afbe-1127b16a7e1c,Volume,m3,,0.0361
b3d5b4e1-cf11-3960-b71f-b780295d28c6,14946240-b1ee-412c-b900-ed5728a4e684,Mass,kg,,23.7
b3d5b4e1-cf11-3960-b71f-b780295d28c6,15545dca-018d-4f7f-aa1f-796b707180af,Mass,kg,,46.0
b3d5b4e1-cf11-3960-b71f-b780295d28c6,15ecd7f4-7734-44ec-af1c-8d3a46d27f1f,Mass,kg,,0.914
b3d5b4e1-cf11-3960-b71f-b780295d28c6,16ddda12-daf4-460c-83fb-c361bdbbc9e9,Mass,kg,,152.0
b3d5b4e1-cf11-3960-b71f-b780295d28c6,17604ce7-783f-4f9e-be49-09ad847fa75d,Mass,kg,,4.24E-5
b3d5b4e1-cf11-3960-b71f-b780295d28c6,176598c1-699c-5dd8-8c33-d269ff7f5edd,Mass,kg,,0.31
b3d5b4e1-cf11-3960-b71f-b780295d28c6,17dfe28e-1351-4223-9329-819c1ba6904e,Mass,kg,,1.05
b3d5b4e1-cf11-3960-b71f-b780295d28c6,17f04213-ecb8-3561-aac6-0fdb3295777a,Mass,kg,,0.103
b3d5b4e1-cf11-3960-b71f-b780295d28c6,17fe5abb-4e12-3050-b173-f1fa379c757e,Mass,kg,,3.95E-5
b3d5b4e1-cf11-3960-b71f-b780295d28c6,1812b512-f2ea-43b7-a68d-8ec8eb1f0c44,Mass,kg,,0.744
b3d5b4e1-cf11-3960-b71f-b780295d28c6,19988f5b-a9a6-48f3-9e8e-150b66a1bf12,Mass,kg,,0.0136
b3d5b4e1-cf11-3960-b71f-b780295d28c6,1aee4aa7-32e0-48e7-a6b5-73d8acf672d3,Mass,kg,,0.0136
b3d5b4e1-cf11-3960-b71f-b780295d28c6,1b35070a-eb57-4f0f-a27f-5ba181ff0d4d,Mass,kg,,0.0136
b3d5b4e1-cf11-3960-b71f-b780295d28c6,1be19e70-468e-43dc-bfd0-f650dfb1db40,Mass,kg,,1.34E-5
b3d5b4e1-cf11-3960-b71f-b780295d28c6,2258583e-4857-49f1-a7a8-3a653a023fbf,Mass,kg,,23.7
b3d5b4e1-cf11-3960-b71f-b780295d28c6,22c4fde1-3c61-33f6-80d6-a575560c85ee,Mass,kg,,0.103
b3d5b4e1-cf11-3960-b71f-b780295d28c6,243cfaf5-4060-3794-bb58-5560aa86651c,Mass,kg,,220.0
b3d5b4e1-cf11-3960-b71f-b780295d28c6,2619aa71-378c-415c-8ece-77ee28d7b9c5,Mass,kg,,152.0
b3d5b4e1-cf11-3960-b71f-b780295d28c6,2737dccb-d7b8-4002-a3f5-1ab6e1c6515e,Mass,kg,,0.0168
b3d5b4e1-cf11-3960-b71f-b780295d28c6,296a7d5b-e4b0-468d-9032-73e97cf86a7e,Mass,kg,,0.744
b3d5b4e1-cf11-3960-b71f-b780295d28c6,2a73815a-9774-35ed-a8fa-6952fa17a3e0,Mass,kg,,0.0955
b3d5b4e1-cf11-3960-b71f-b780295d28c6,2b648e3c-dfe7-314d-8248-58d4e40656c1,Mass,kg,,3.95E-5
b3d5b4e1-cf11-3960-b71f-b780295d28c6,2ba5e39b-adb6-4767-a51d-90c1cf32fe98,Mass,kg,,1.81
b3d5b4e1-cf11-3960-b71f-b780295d28c6,2c3bad90-9c15-3c4c-9ef7-8517678060a5,Mass,kg,,1.81
