LCIA category,Flow,Flow property,Flow unit,Location,Factor
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,0015315d-a2b8-4b72-8e60-0d34a72e6de8,Mass,kg,,5.96E-4
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,007550ae-27b1-3caa-98f3-2d0e035eb3e7,Mass,kg,,0.0612
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,00793b76-e63c-44c5-854c-0dad4a247dcc,Mass,kg,,0.265
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,009ccb2d-86d7-417c-8db1-2f4582895b3a,Mass,kg,,1.22E-4
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,013726e0-f36f-4513-a8ba-a5bf020a0935,Mass,kg,,0.0156
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,014bd81b-88c7-4a81-b872-201dcbfb8bbf,Mass,kg,,4.11E-6
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,0150a187-8565-4ea0-b65a-cb9126452ee0,Mass,kg,,0.0612
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,015325ea-d20f-4aa8-bb2a-81fbbe8dc8e2,Mass,kg,,2.29E-4
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,0170952d-4aeb-3363-adf8-3918f6fd76ac,Mass,kg,,4.57E-5
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,01a0ee45-df98-4286-a8ee-fe5660c3177a,Mass,kg,,1.22E-4
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,01d719e4-2462-4175-8b07-a2c819f64259,Mass,kg,,1.42E-4
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,032f324c-555e-450f-bc87-f012497f0e19,Mass,kg,,0.0836
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,033d3a16-e1a2-4ce8-8769-f4ea867801ca,Mass,kg,,0.115
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,03758df7-503a-400e-bc7b-ec05825761a5,Mass,kg,,1.22E-4
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,0382b086-1202-4877-86de-9aee1bac8fdf,Mass,kg,,4.88E-6
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,038a4e3f-7406-4ed3-a076-7ebb3433e02e,Mass,kg,,4.1
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,045ede3d-bca7-4aa0-887f-45476e768a1f,Mass,kg,,0.0266
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,04a6edb8-624a-484e-8f85-d771657adae7,Mass,kg,,0.0152
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,04e44140-9bcd-30c2-9d1e-0fbfc7d9d1e8,Mass,kg,,9.58E-5
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,050da0cd-2957-45a9-ae7a-ace372083fe5,Mass,kg,,0.00857
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,05b046ff-5ae5-37e8-b908-2533621b33bb,Mass,kg,,0.0218
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,065b12f0-582c-3dfa-8aa7-0649c22ee023,Mass,kg,,0.0197
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,0672d2f6-109b-485b-bedd-42b743dbddec,Mass,kg,,4.59
b64ae94b-d9e6-4714-bdde-fdd5e68ee791,06a4fedf-dab4-4ef1-90df-1d0ce8fe6477,Mass,kg,,0.458
