LCIA category,Flow,Flow property,Flow unit,Location,Factor
b9260378-00a5-30c5-b825-606840290b3d,21f77eaa-6f3e-426d-8932-fde33cd936d6,Mass,kg,,1.0
b9260378-00a5-30c5-b825-606840290b3d,3ea439c3-64aa-4c90-a265-188350e7a4a6,Mass,kg,,1.0
b9260378-00a5-30c5-b825-606840290b3d,5d830756-4153-4cc9-ade4-69f8c19e150f,Mass,kg,,1.0
b9260378-00a5-30c5-b825-606840290b3d,68ba42b2-62fc-49c1-b9d6-e3bda8b179ec,Mass,kg,,1.0
b9260378-00a5-30c5-b825-606840290b3d,6da0e891-3648-43a5-b0cf-f1872c57db8d,Mass,kg,,1.0
b9260378-00a5-30c5-b825-606840290b3d,6e86844e-4577-42fa-90e2-9e2812119b40,Mass,kg,,1.0
b9260378-00a5-30c5-b825-606840290b3d,7538ab50-2ef6-4e49-880d-48d5b283a79b,Mass,kg,,1.0
b9260378-00a5-30c5-b825-606840290b3d,79459b74-727a-465f-b0cb-aae38d1d39cc,Mass,kg,,1.0
b9260378-00a5-30c5-b825-606840290b3d,82c27b2a-69a8-4b1e-ad4e-4de9475630c6,Mass,kg,,1.0
b9260378-00a5-30c5-b825-606840290b3d,85403ceb-612c-494a-bcab-901946278f58,Mass,kg,,1.0
b9260378-00a5-30c5-b825-606840290b3d,9e70ea99-26f7-40b6-a792-e28c073aa339,Mass,kg,,1.0
b9260378-00a5-30c5-b825-606840290b3d,be4835bf-5252-48c1-be48-14f59d533bbd,Mass,kg,,1.0
b9260378-00a5-30c5-b825-606840290b3d,c161d9b4-2237-4053-b549-9e0cfc201e0d,Mass,kg,,1.0
b9260378-00a5-30c5-b825-606840290b3d,ca60a7ce-158c-4392-978e-e143db7ad484,Mass,kg,,1.0
b9260378-00a5-30c5-b825-606840290b3d,d41ee922-fa80-45e3-a317-3e9b72ee385d,Mass,kg,,1.0
b9260378-00a5-30c5-b825-606840290b3d,e9bf9e2d-4bd1-4679-86ff-e34f6b750ea0,Mass,kg,,1.0
b9260378-00a5-30c5-b825-606840290b3d,f65171a0-5a6a-4cab-b68e-bf56db68907a,Mass,kg,,1.0
