LCIA category,Flow,Flow property,Flow unit,Location,Factor
ba641202-f60b-38d9-909b-fedfdc846a5d,0305b169-255d-4041-8f5d-6e095bcb6358,Mass,kg,,0.0901
ba641202-f60b-38d9-909b-fedfdc846a5d,05a7548c-51aa-35d7-bfc9-dc95fcbb5218,Mass,kg,,286.0
ba641202-f60b-38d9-909b-fedfdc846a5d,06874cbb-2daf-4981-a55e-2c38be5b7277,Mass,kg,,208.0
ba641202-f60b-38d9-909b-fedfdc846a5d,0995f4ad-2655-43a3-b98e-65d08af753a5,Mass,kg,,12.5
ba641202-f60b-38d9-909b-fedfdc846a5d,0b5f0a27-ef5b-41ad-985e-3f7d85ecfa5f,Mass,kg,,2.25
ba641202-f60b-38d9-909b-fedfdc846a5d,0f8f6c8b-518f-4fb9-92cb-c2668d661428,Mass,kg,,20300.0
ba641202-f60b-38d9-909b-fedfdc846a5d,10e3b9bc-648f-4321-be48-5df740b07e04,Mass,kg,,1.77
ba641202-f60b-38d9-909b-fedfdc846a5d,14946240-b1ee-412c-b900-ed5728a4e684,Mass,kg,,286.0
ba641202-f60b-38d9-909b-fedfdc846a5d,15ecd7f4-7734-44ec-af1c-8d3a46d27f1f,Mass,kg,,1.01
ba641202-f60b-38d9-909b-fedfdc846a5d,16ddda12-daf4-460c-83fb-c361bdbbc9e9,Mass,kg,,69900.0
ba641202-f60b-38d9-909b-fedfdc846a5d,17dfe28e-1351-4223-9329-819c1ba6904e,Mass,kg,,1270.0
ba641202-f60b-38d9-909b-fedfdc846a5d,17f04213-ecb8-3561-aac6-0fdb3295777a,Mass,kg,,12.5
ba641202-f60b-38d9-909b-fedfdc846a5d,1812b512-f2ea-43b7-a68d-8ec8eb1f0c44,Mass,kg,,208.0
ba641202-f60b-38d9-909b-fedfdc846a5d,19988f5b-a9a6-48f3-9e8e-150b66a1bf12,Mass,kg,,42.7
ba641202-f60b-38d9-909b-fedfdc846a5d,1aee4aa7-32e0-48e7-a6b5-73d8acf672d3,Mass,kg,,42.7
ba641202-f60b-38d9-909b-fedfdc846a5d,1b35070a-eb57-4f0f-a27f-5ba181ff0d4d,Mass,kg,,42.7
ba641202-f60b-38d9-909b-fedfdc846a5d,2258583e-4857-49f1-a7a8-3a653a023fbf,Mass,kg,,286.0
ba641202-f60b-38d9-909b-fedfdc846a5d,22c4fde1-3c61-33f6-80d6-a575560c85ee,Mass,kg,,12.5
ba641202-f60b-38d9-909b-fedfdc846a5d,243cfaf5-4060-3794-bb58-5560aa86651c,Mass,kg,,3810.0
ba641202-f60b-38d9-909b-fedfdc846a5d,2619aa71-378c-415c-8ece-77ee28d7b9c5,Mass,kg,,69900.0
ba641202-f60b-38d9-909b-fedfdc846a5d,2737dccb-d7b8-4002-a3f5-1ab6e1c6515e,Mass,kg,,76.6
ba641202-f60b-38d9-909b-fedfdc846a5d,296a7d5b-e4b0-468d-9032-73e97cf86a7e,Mass,kg,,208.0
ba641202-f60b-38d9-909b-fedfdc846a5d,2a73815a-9774-35ed-a8fa-6952fa17a3e0,Mass,kg,,1.77
ba641202-f60b-38d9-909b-fedfdc846a5d,2ba5e39b-adb6-4767-a51d-90c1cf32fe98,Mass,kg,,123.0
ba641202-f60b-38d9-909b-fedfdc846a5d,2d65a3f7-2a10-4a10-ac9e-a0cc7cd57979,Mass,kg,,69900.0
ba641202-f60b-38d9-909b-fedfdc846a5d,2d9f9c6b-8dca-4641-8ff9-53cb8beabd13,Mass,kg,,1.77
ba641202-f60b-38d9-909b-fedfdc846a5d,30fed59d-d722-482f-be4f-f3d93bdd2527,Mass,kg,,208.0
ba641202-f60b-38d9-909b-fedfdc846a5d,31998285-fb5c-411d-b853-ce78be2a0b49,Mass,kg,,42.7
ba641202-f60b-38d9-909b-fedfdc846a5d,31b4eea9-640e-4056-ac2f-0555627af18a,Mass,kg,,1270.0
