LCIA category,Flow,Flow property,Flow unit,Location,Factor
be35f2f6-399f-3b5a-b7c5-efd23a90d10c,16eeda8a-1ea2-408e-ab37-2648495058dd,Mass,kg,,1.0
be35f2f6-399f-3b5a-b7c5-efd23a90d10c,349b29d1-3e58-4c66-98b9-9d1a076efd2e,Mass,kg,,1.0
be35f2f6-399f-3b5a-b7c5-efd23a90d10c,5188df39-2bb8-4826-b469-fa9f86bacc09,Mass,kg,,1.0
be35f2f6-399f-3b5a-b7c5-efd23a90d10c,53487f42-0668-400b-be1f-19f3dd46709c,Mass,kg,,1.0
be35f2f6-399f-3b5a-b7c5-efd23a90d10c,643975a8-03da-44bb-873f-4fe8e7740fe6,Mass,kg,,1.0
be35f2f6-399f-3b5a-b7c5-efd23a90d10c,6d89125e-e9b7-4d7e-a1fc-ada45dbd8815,Mass,kg,,1.0
be35f2f6-399f-3b5a-b7c5-efd23a90d10c,78eb1859-abd9-44c6-9ce3-f3b5b33d619c,Mass,kg,,1.0
be35f2f6-399f-3b5a-b7c5-efd23a90d10c,7ae371a9-8532-11e0-9d78-0800200c9a66,Mass,kg,,1.0
be35f2f6-399f-3b5a-b7c5-efd23a90d10c,7ae371aa-8532-11e0-9d78-0800200c9a66,Mass,kg,,1.0
be35f2f6-399f-3b5a-b7c5-efd23a90d10c,aa7cac3a-3625-41d4-bc54-33e2cf11ec46,Mass,kg,,1.0
be35f2f6-399f-3b5a-b7c5-efd23a90d10c,e1c597cc-14cb-4ebb-af07-7a93a5b77d34,Mass,kg,,1.0
be35f2f6-399f-3b5a-b7c5-efd23a90d10c,e259263c-d1f1-449f-bb9b-73c6d0a32a00,Mass,kg,,1.0
be35f2f6-399f-3b5a-b7c5-efd23a90d10c,e4e9febc-07c1-403d-8d3a-6707bb4d96e6,Mass,kg,,1.0
be35f2f6-399f-3b5a-b7c5-efd23a90d10c,e8787b5e-d927-446d-81a9-f56977bbfeb4,Mass,kg,,1.0
be35f2f6-399f-3b5a-b7c5-efd23a90d10c,f8b49a6e-fac7-4373-97fb-8ddf3bbb27f5,Mass,kg,,1.0
be35f2f6-399f-3b5a-b7c5-efd23a90d10c,f9749677-9c9f-4678-ab55-c607dfdc2cb9,Mass,kg,,1.0
