LCIA category,Flow,Flow property,Flow unit,Location,Factor
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,00637e13-cdda-3715-97c6-e0b881ea5969,Area,m2,,131.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,00907a61-b501-4f47-b688-1dc2b51d48c1,Area,m2,,-288.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,01fa974b-b5b5-3a42-bd53-fd95cd3f3ebc,Area,m2,,-243.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,023aa5cc-a9cd-39d4-b10b-91e92ed69b1d,Area,m2,,131.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,032542d3-7078-4f85-bd95-75fdac9268d2,Area,m2,,-158.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,04eb0695-e67b-46e5-9516-da6bde119822,Area,m2,,192.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,04eb6f40-8671-3a31-b27b-ef82f04be46f,Area*time,m2*a,,131.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,05a9f970-d413-321a-8161-88b70933593f,Area,m2,,78.2
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,06037f74-fb71-3996-bdd1-2c5ef86bc048,Area,m2,,-63.6
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,061259d7-7bcc-4298-af3a-63d084191988,Area*time,m2*a,,103.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,062a6faf-b1a5-4a6a-aa02-47ae3ec566a8,Area*time,m2*a,,244.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,0775d4c9-2c91-4a0d-a4a7-1c6b96e47ea4,Area,m2,,78.2
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,0782d8ff-80e5-47a7-a2ba-3ba40ab60b60,Area,m2,,-55.4
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,07a366fe-1c9e-4651-ad1a-1da666316417,Area,m2,,131.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,07d4460c-ae27-4717-9db9-9e0b1ea12dd5,Area,m2,,-121.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,07f05619-bee3-3524-a7d8-b2b3dac9cbb2,Area,m2,,101.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,080bf4c6-fab3-4e21-88c7-20b435aa42e8,Area*time,m2*a,,184.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,0930b6b8-d9c6-4462-966f-ac7495b63bed,Area,m2,,-71.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,0abf9db7-b5a2-4c18-8ec6-aca3a7fb5579,Area,m2,,244.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,0b062583-0e24-373c-beb5-e3e639619895,Area,m2,,121.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,0b71699f-f013-3465-b171-b25083c0c257,Area*time,m2*a,,101.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,0cab58d3-f449-48d4-94bd-ec09d19736d6,Area,m2,,78.2
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,0d7c280e-9f07-48b7-bf01-5cfd0d475e1c,Area,m2,,-158.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,0e1c3d27-fb97-457a-a5d0-a324e7043402,Area,m2,,-78.2
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,0ecf9899-f14e-3d0d-b3dd-ac895bf518f2,Area,m2,,98.7
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,0ee752cd-5b6b-458d-b660-3e45a6798413,Area,m2,,288.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,0f361e17-252c-3f5f-bec2-e11e0f681bed,Area,m2,,-103.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,0f923637-e322-44d8-9ff2-9c765d75e253,Area*time,m2*a,,63.6
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,101f15ac-0698-49dd-b177-471a813ef78e,Area,m2,,-89.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,104e2de4-047b-3274-abeb-888c37cbc00f,Area,m2,,119.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,10ebc72c-2c4b-45ea-abd8-cb7fe0805883,Area,m2,,-136.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,11700b93-5c22-4714-a468-0859f6b46b17,Area,m2,,-131.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,11b3f160-360b-3d4d-8481-e32dd5113c14,Area*time,m2*a,,136.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,11cf29f4-49fa-321a-b8d0-36dea84e9d84,Area,m2,,-131.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,122644b3-642e-30da-8ecd-9b6cfad1ac1b,Area,m2,,117.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,12be05aa-48ad-49a8-a864-7a51ba56075b,Area,m2,,-244.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,135816ab-f119-4a64-b608-a61cb788af7d,Area*time,m2*a,,68.5
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,13de50d5-fce8-3f57-a3ba-3bb7e5ada81b,Area,m2,,-71.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,14a00c9f-9976-44fd-aa01-e8bba2835841,Area,m2,,-301.0
c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,14b92328-e08d-4fac-b16a-da5dcd0e5627,Area*time,m2*a,,192.0
