LCIA category,Flow,Flow property,Flow unit,Location,Factor
c26489d8-cbb4-3944-962b-81d2aeeea488,0c5da324-34a7-4e38-98e5-18a8625a2b7c,Mass,kg,,3.5E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,0ff15165-d761-48c9-9814-2d1dcdd56857,Mass,kg,,5.14E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,125349bb-041b-4de3-aa95-d4862eddcf52,Mass,kg,,3.5E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,1a002089-bf1f-497c-a4d8-336542f7b38d,Mass,kg,,5.14E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,2712fe5f-0d3c-4c8e-8bc4-26c604413849,Mass,kg,,3.5E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,31c4d160-b21e-41b3-b9c1-3d7a72377653,Mass,kg,,5.14E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,3937f5a5-b4a4-434d-9fc3-1d29064fc3f8,Mass,kg,,3.5E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,4ce23896-a82f-49f1-a8e3-8848734805a3,Mass,kg,,3.5E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,522e7bd8-194b-4fa8-9f6a-6211958fc040,Mass,kg,,3.5E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,540106ac-eb8e-446b-91f5-3fdbad5a5886,Mass,kg,,5.14E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,557575d3-a808-4336-88d4-0e7b8b178f32,Mass,kg,,3.5E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,5958a968-d153-415f-acbf-81719c1aa09f,Mass,kg,,5.14E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,62fcd384-906d-474f-a84b-9f944b78f804,Mass,kg,,3.5E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,67b5b669-06b1-4be6-87bd-b68bbbe4bd5a,Mass,kg,,3.5E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,68701316-d3f5-4e08-8814-6b3b28712d85,Mass,kg,,3.5E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,6cefe674-1076-45e2-846d-af7ad46bcbcb,Mass,kg,,1.16E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,79fdbb2d-a497-4198-9b2a-094f98b8aee6,Mass,kg,,3.5E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,7fbd75df-f7eb-4671-b400-dc330cb7db43,Mass,kg,,1.16E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,8041cd06-58ce-450d-9f44-40922eeafc29,Mass,kg,,3.5E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,80b3c2a1-af98-4dde-b298-abf7e78e38ee,Mass,kg,,5.14E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,810b11b4-6438-4b30-b9a1-8202b2a53145,Mass,kg,,3.5E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,81b3321a-c9d8-4104-a974-5460f1bc5029,Mass,kg,,1.16E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,8216fc31-15a1-4d33-858f-e09650b14c63,Mass,kg,,1.16E-6
c26489d8-cbb4-3944-962b-81d2aeeea488,8ccf40b6-eee0-4b71-9bc5-965328e2ef95,Mass,kg,,5.14E-6
