LCIA category,Flow,Flow property,Flow unit,Location,Factor
c35a82f8-c6bc-3408-ae84-fb4323e06f23,00793b76-e63c-44c5-854c-0dad4a247dcc,Mass,kg,,390.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,01d719e4-2462-4175-8b07-a2c819f64259,Mass,kg,,1.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,032f324c-555e-450f-bc87-f012497f0e19,Mass,kg,,200.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,033d3a16-e1a2-4ce8-8769-f4ea867801ca,Mass,kg,,220.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,038a4e3f-7406-4ed3-a076-7ebb3433e02e,Mass,kg,,13200.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,04a6edb8-624a-484e-8f85-d771657adae7,Mass,kg,,65.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,050da0cd-2957-45a9-ae7a-ace372083fe5,Mass,kg,,36.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,065b12f0-582c-3dfa-8aa7-0649c22ee023,Mass,kg,,59.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,06a4fedf-dab4-4ef1-90df-1d0ce8fe6477,Mass,kg,,390.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,06d50647-91a7-4b0b-959c-aa0b083aa9f7,Mass,kg,,150.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,0795345f-c7ae-410c-ad25-1845784c75f5,Mass,kg,,10.35
c35a82f8-c6bc-3408-ae84-fb4323e06f23,08a91e70-3ddc-11dd-9252-0050c2490048,Mass,kg,,1.57
c35a82f8-c6bc-3408-ae84-fb4323e06f23,0974d429-0b86-4bc7-9a55-a3124f711901,Mass,kg,,330.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,099b36ab-4c03-4587-87f4-2f81e337afb8,Mass,kg,,1.57
c35a82f8-c6bc-3408-ae84-fb4323e06f23,09e231fa-b1c2-4d63-9c57-7ea0e2210858,Mass,kg,,1.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,0b379b2d-dcd5-4b27-a61d-c14193251189,Mass,kg,,850.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,0bedb00e-da1d-4861-8609-5608ea83c0f5,Mass,kg,,4.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,0bf92802-8b5e-43f5-a261-95c06bd5c551,Mass,kg,,190.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,0c01bc32-1f7a-4159-8082-a4d90f715caa,Mass,kg,,13200.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,0c4afee9-d989-4642-9e9a-3bc2341e3367,Mass,kg,,180.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,0d9f1f58-e5b6-4387-a22e-ae28c4ccfc6a,Mass,kg,,100.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,0f70e720-127e-44dc-bb85-438158235ab6,Mass,kg,,5.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,1013b9ec-a7b5-459c-be3d-74f61b9ce06e,Mass,kg,,5200.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,119c9554-351e-417b-ad7d-8c94dc499d1d,Mass,kg,,110.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,12bb7ba6-0cb3-39bb-b920-a7aef7adb5ce,Mass,kg,,220.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,1346c00b-3aa0-4f3b-a036-b2060128dde9,Mass,kg,,1100.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,14f28ac8-187a-435d-89de-39a6ad595a71,Mass,kg,,110.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,151212b4-079b-43a2-96d5-a6eef59166ac,Mass,kg,,170.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,1584734d-c5c8-42a5-aa51-0f6a92a9cc0d,Mass,kg,,8700.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,15d34aed-2d4b-3173-8b63-14a6278c742e,Mass,kg,,59.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,15e54d5b-aba2-40a6-9aa8-aa2b8c432129,Mass,kg,,9900.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,1652c2e3-c6c5-49e1-9ad1-34c188087ca6,Mass,kg,,740.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,167d959c-fd63-48be-8bb4-e78415b17180,Mass,kg,,100.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,16eeda8a-1ea2-408e-ab37-2648495058dd,Mass,kg,,1.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,16fcd4f9-0bb8-4b84-8334-3ffb1a17aa74,Mass,kg,,400.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,18c582fe-7336-4138-8797-2db8b7a754c7,Mass,kg,,540.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,18ddd879-5496-4419-8ab7-e0d3864d977d,Mass,kg,,2700.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,18ea247b-edc2-43fe-89bd-cedd04102bcc,Mass,kg,,5.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,1963a3ba-6d77-4571-bb8f-0e9c8ac28a65,Mass,kg,,7100.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,1a7c6089-6946-410d-821a-5bcae7cb26ad,Mass,kg,,1.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,1aadf4e4-f749-4b0e-83e0-6d99ab05d498,Mass,kg,,9.0
c35a82f8-c6bc-3408-ae84-fb4323e06f23,1b3e4e3a-d2ff-4974-b785-91e909c413b9,Mass,kg,,1.0
