LCIA category,Flow,Flow property,Flow unit,Location,Factor
c531b2a4-cc36-3862-90be-1a2d968f359b,000080c6-0c78-3cf1-b49a-ef60e1cac45d,Mass,kg,,3.54E-7
c531b2a4-cc36-3862-90be-1a2d968f359b,0000f1e6-dd12-3951-bc45-e4f2135426b5,Mass,kg,,4.4E-6
c531b2a4-cc36-3862-90be-1a2d968f359b,00012c0a-9bff-4787-a7eb-56c3d2f43692,Mass,kg,,6.21E-7
c531b2a4-cc36-3862-90be-1a2d968f359b,00014e78-9ad7-3610-be31-e7dc3c1250d1,Mass,kg,,1.35E-7
c531b2a4-cc36-3862-90be-1a2d968f359b,0004ed45-5ba5-3110-bb9b-b2bec8bf32b9,Mass,kg,,1.74E-9
c531b2a4-cc36-3862-90be-1a2d968f359b,00062e88-f6d1-478d-aa3a-3f35c8c00127,Mass,kg,,4.6E-6
c531b2a4-cc36-3862-90be-1a2d968f359b,0015315d-a2b8-4b72-8e60-0d34a72e6de8,Mass,kg,,0.0
c531b2a4-cc36-3862-90be-1a2d968f359b,0015ec22-72cb-4af1-8c7b-0ba0d041553c,Mass,kg,,3.99E-6
c531b2a4-cc36-3862-90be-1a2d968f359b,0017457a-c9ad-43a5-80da-5228b3939750,Mass,kg,,2.47E-7
c531b2a4-cc36-3862-90be-1a2d968f359b,001aa5b1-9df4-4c2f-a579-8f49989fe2c0,Mass,kg,,2.63E-7
c531b2a4-cc36-3862-90be-1a2d968f359b,001d5a8c-19a5-3bfc-bb6c-4ba2db4bda2c,Mass,kg,,0.0
c531b2a4-cc36-3862-90be-1a2d968f359b,0027ca6f-375a-415d-a712-853ece69e0a8,Mass,kg,,6.43E-7
c531b2a4-cc36-3862-90be-1a2d968f359b,0038c8df-9f90-34bb-9969-0f2640a2998b,Mass,kg,,0.002762
c531b2a4-cc36-3862-90be-1a2d968f359b,003d5c50-a2bc-3f20-b766-253963bd0df3,Mass,kg,,1.82E-7
c531b2a4-cc36-3862-90be-1a2d968f359b,00470530-4d8b-41b1-a27b-0f3fd6283650,Mass,kg,,1.84E-8
c531b2a4-cc36-3862-90be-1a2d968f359b,00472fc2-eda8-3a16-bf29-6775f490e5d3,Mass,kg,,9.21E-10
c531b2a4-cc36-3862-90be-1a2d968f359b,0059893e-77af-3691-9259-9bb80a19fed7,Mass,kg,,3.1E-6
c531b2a4-cc36-3862-90be-1a2d968f359b,0060f434-3b31-3556-8306-103bb07df36e,Mass,kg,,1.57E-5
c531b2a4-cc36-3862-90be-1a2d968f359b,0062f19c-4266-423f-866d-9361183a9a71,Mass,kg,,9.88E-9
c531b2a4-cc36-3862-90be-1a2d968f359b,006aebb1-5682-43d8-ae3c-d81b9b8f169c,Mass,kg,,2.56E-8
c531b2a4-cc36-3862-90be-1a2d968f359b,007a9c38-0de9-49b2-909f-f42903798cea,Mass,kg,,7.62E-6
c531b2a4-cc36-3862-90be-1a2d968f359b,007de693-1d9e-40a5-a8b4-3d11bce8be9a,Mass,kg,,0.0
c531b2a4-cc36-3862-90be-1a2d968f359b,00839209-0af1-4662-963b-8172359ce441,Mass,kg,,1.56E-6
c531b2a4-cc36-3862-90be-1a2d968f359b,0085c3d4-4c85-39b3-b41a-4e7054e87193,Mass,kg,,3.76E-7
c531b2a4-cc36-3862-90be-1a2d968f359b,008e1594-fc86-3e9f-9e10-8a88c74f9a30,Mass,kg,,4.86E-7
c531b2a4-cc36-3862-90be-1a2d968f359b,008e978b-34f4-48af-a19f-87106447394d,Mass,kg,,9.77E-5
c531b2a4-cc36-3862-90be-1a2d968f359b,009ccb2d-86d7-417c-8db1-2f4582895b3a,Mass,kg,,1.94E-7
c531b2a4-cc36-3862-90be-1a2d968f359b,00a02270-11b3-380b-bf24-89522de349a2,Mass,kg,,0.0
c531b2a4-cc36-3862-90be-1a2d968f359b,00a2a7bc-77ce-4eb7-a56a-900689923e63,Mass,kg,,6.76E-6
c531b2a4-cc36-3862-90be-1a2d968f359b,00a6e6a5-950b-440f-bfb5-632da234aa42,Mass,kg,,2.51E-6
