LCIA category,Flow,Flow property,Flow unit,Location,Factor
c5c56f77-b1ad-36dd-868b-057b4d022200,0015315d-a2b8-4b72-8e60-0d34a72e6de8,Mass,kg,,363.6
c5c56f77-b1ad-36dd-868b-057b4d022200,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,0.00742
c5c56f77-b1ad-36dd-868b-057b4d022200,0059893e-77af-3691-9259-9bb80a19fed7,Mass,kg,,241.2
c5c56f77-b1ad-36dd-868b-057b4d022200,0061bdfe-e7a2-3a33-b56b-42381d4b0495,Mass,kg,,2.15E-6
c5c56f77-b1ad-36dd-868b-057b4d022200,00732717-35c6-3d60-8aff-4aebc3819eb2,Mass,kg,,279900.0
c5c56f77-b1ad-36dd-868b-057b4d022200,007d4ecd-0831-4984-b5e2-814d129c932b,Mass,kg,,3710.0
c5c56f77-b1ad-36dd-868b-057b4d022200,0084f973-7133-4d7a-9009-fa46c1f7460c,Mass,kg,,318000.0
c5c56f77-b1ad-36dd-868b-057b4d022200,00946913-24e1-4db7-ab0f-940016ce2343,Mass,kg,,16770.0
c5c56f77-b1ad-36dd-868b-057b4d022200,00a6e6a5-950b-440f-bfb5-632da234aa42,Mass,kg,,6452.0
c5c56f77-b1ad-36dd-868b-057b4d022200,00d2fef1-e4d4-4a16-8e81-b8cc514e4c25,Mass,kg,,12.37
c5c56f77-b1ad-36dd-868b-057b4d022200,00d46874-7024-4302-adef-20cfeec24169,Mass,kg,,51.94
c5c56f77-b1ad-36dd-868b-057b4d022200,00ef96ed-55fd-401e-96f8-3b0c783404c3,Mass,kg,,432.8
c5c56f77-b1ad-36dd-868b-057b4d022200,01056d4b-f9b0-4dfc-b8d9-8407c8376efb,Mass,kg,,1.953
c5c56f77-b1ad-36dd-868b-057b4d022200,0125d40c-b7e8-4f98-a5ac-09115efeb568,Mass,kg,,1.464
c5c56f77-b1ad-36dd-868b-057b4d022200,014bd81b-88c7-4a81-b872-201dcbfb8bbf,Mass,kg,,0.9107
c5c56f77-b1ad-36dd-868b-057b4d022200,015859c9-3e5e-38da-99cc-c9b5e4c38775,Mass,kg,,0.5228
c5c56f77-b1ad-36dd-868b-057b4d022200,01a0ee45-df98-4286-a8ee-fe5660c3177a,Mass,kg,,19.59
